node,layer,lat,lon,degree,geometry
1,5,51.85401,0.99745,26,"0.99745, 51.85401"
1151,5,51.98684,0.75227,4,"0.75227, 51.98684"
1152,5,51.94498,0.73461,4,"0.73461, 51.94498"
1153,5,52.02275,0.72714,6,"0.72714, 52.02275"
1395,5,51.90771,0.92496,4,"0.92496, 51.90771"
1396,5,51.92048,0.93354,5,"0.93354, 51.92048"
1397,5,51.9111,0.92766,4,"0.92766, 51.9111"
1398,5,51.90869,0.92149,5,"0.92149, 51.90869"
1400,5,51.9096,0.91503,4,"0.91503, 51.9096"
1401,5,51.91162,0.91494,4,"0.91494, 51.91162"
1402,5,51.9141,0.91798,6,"0.91798, 51.9141"
1403,5,51.91148,0.9193,7,"0.9193, 51.91148"
1404,5,51.91014,0.92496,8,"0.92496, 51.91014"
1458,5,51.89244,0.86338,4,"0.86338, 51.89244"
1657,5,51.83387,0.81962,5,"0.81962, 51.83387"
1658,5,51.8282,0.82189,4,"0.82189, 51.8282"
1659,5,51.78915,0.81583,4,"0.81583, 51.78915"
1660,5,51.78492,0.81429,4,"0.81429, 51.78492"
2417,5,51.87768,0.84451,4,"0.84451, 51.87768"
2418,5,51.87781,0.84853,4,"0.84853, 51.87781"
2419,5,51.88459,0.83253,8,"0.83253, 51.88459"
2420,5,51.87945,0.83664,5,"0.83664, 51.87945"
2421,5,51.87147,0.87299,4,"0.87299, 51.87147"
2422,5,51.87173,0.86661,4,"0.86661, 51.87173"
2423,5,51.86737,0.87339,4,"0.87339, 51.86737"
2424,5,51.86944,0.87217,4,"0.87217, 51.86944"
2428,5,51.87811,0.85235,4,"0.85235, 51.87811"
2429,5,51.87856,0.85551,7,"0.85551, 51.87856"
2487,5,51.93335,0.68886,4,"0.68886, 51.93335"
2488,5,51.93934,0.68758,6,"0.68758, 51.93934"
2489,5,52.004,0.74225,4,"0.74225, 52.004"
2490,5,51.9637,0.77953,4,"0.77953, 51.9637"
2491,5,51.95801,0.78688,4,"0.78688, 51.95801"
2492,5,51.95013,0.80367,4,"0.80367, 51.95013"
3292,5,51.88157,0.86161,4,"0.86161, 51.88157"
3297,5,51.8851,0.85851,4,"0.85851, 51.8851"
3361,5,51.97117,0.76916,18,"0.76916, 51.97117"
3494,5,51.92558,0.70894,4,"0.70894, 51.92558"
4256,5,51.87793,0.77081,7,"0.77081, 51.87793"
4662,5,51.80641,0.73917,6,"0.73917, 51.80641"
4872,5,51.89184,0.93675,9,"0.93675, 51.89184"
4873,5,51.88962,0.93692,6,"0.93692, 51.88962"
4874,5,51.89599,0.93844,5,"0.93844, 51.89599"
4875,5,51.89428,0.9374,4,"0.9374, 51.89428"
4876,5,51.89079,0.93156,5,"0.93156, 51.89079"
4877,5,51.89274,0.93399,4,"0.93399, 51.89274"
4878,5,51.88897,0.93499,4,"0.93499, 51.88897"
4879,5,51.89187,0.93176,4,"0.93176, 51.89187"
4903,5,51.92592,0.75852,19,"0.75852, 51.92592"
4933,5,51.87735,1.03784,4,"1.03784, 51.87735"
4934,5,51.91409,0.92895,7,"0.92895, 51.91409"
5453,5,51.81097,1.02539,6,"1.02539, 51.81097"
5454,5,51.81033,1.03024,5,"1.03024, 51.81033"
5455,5,51.81087,1.03221,4,"1.03221, 51.81087"
5456,5,51.81392,1.03257,4,"1.03257, 51.81392"
5457,5,51.81718,1.02266,4,"1.02266, 51.81718"
5458,5,51.81438,1.02201,4,"1.02201, 51.81438"
5459,5,51.81288,1.01998,6,"1.01998, 51.81288"
5460,5,51.80949,1.02101,5,"1.02101, 51.80949"
6567,5,51.9398,0.95263,11,"0.95263, 51.9398"
6573,5,51.91073,0.91832,7,"0.91832, 51.91073"
6749,5,51.86291,0.88399,6,"0.88399, 51.86291"
6752,5,51.92593,0.98507,9,"0.98507, 51.92593"
7307,5,51.91687,0.92088,4,"0.92088, 51.91687"
7431,5,51.87938,0.91626,4,"0.91626, 51.87938"
7851,5,52.03173,0.79271,4,"0.79271, 52.03173"
8081,5,51.8862,0.89205,6,"0.89205, 51.8862"
8082,5,51.88127,0.90364,7,"0.90364, 51.88127"
8083,5,51.87304,0.90074,6,"0.90074, 51.87304"
8084,5,51.87664,0.90841,6,"0.90841, 51.87664"
8085,5,51.86151,0.9057,7,"0.9057, 51.86151"
8086,5,51.86383,0.9068,4,"0.9068, 51.86383"
8087,5,51.86591,0.90163,4,"0.90163, 51.86591"
8088,5,51.86357,0.90283,5,"0.90283, 51.86357"
8228,5,51.94187,0.90576,4,"0.90576, 51.94187"
8229,5,51.90259,0.81381,4,"0.81381, 51.90259"
8230,5,51.92692,0.89505,4,"0.89505, 51.92692"
8231,5,51.94757,0.9101,4,"0.9101, 51.94757"
8232,5,51.94999,0.91193,5,"0.91193, 51.94999"
8233,5,51.94368,0.90717,4,"0.90717, 51.94368"
8234,5,51.94644,0.90926,5,"0.90926, 51.94644"
8238,5,51.91983,0.89196,8,"0.89196, 51.91983"
8239,5,51.91467,0.80146,4,"0.80146, 51.91467"
8310,5,51.9076,0.91749,6,"0.91749, 51.9076"
8376,5,51.99129,0.99885,6,"0.99885, 51.99129"
8840,5,51.85787,0.9471,4,"0.9471, 51.85787"
8841,5,51.8572,0.94402,4,"0.94402, 51.8572"
8842,5,51.85687,0.93993,4,"0.93993, 51.85687"
8843,5,51.85569,0.93827,3,"0.93827, 51.85569"
8844,5,51.87083,0.92553,4,"0.92553, 51.87083"
8845,5,51.87078,0.92156,4,"0.92156, 51.87078"
8846,5,51.87252,0.91116,4,"0.91116, 51.87252"
8847,5,51.87653,0.9306,4,"0.9306, 51.87653"
8848,5,51.87447,0.92678,4,"0.92678, 51.87447"
8849,5,51.8756,0.92079,5,"0.92079, 51.8756"
8863,5,51.92259,0.92608,6,"0.92608, 51.92259"
8864,5,51.92108,0.92762,4,"0.92762, 51.92108"
8866,5,51.92322,0.9215,6,"0.9215, 51.92322"
9169,5,51.94365,1.08141,18,"1.08141, 51.94365"
9800,5,51.83435,0.91038,8,"0.91038, 51.83435"
9801,5,51.81517,0.88652,4,"0.88652, 51.81517"
9802,5,51.79821,0.99447,2,"0.99447, 51.79821"
9803,5,51.85528,0.91319,4,"0.91319, 51.85528"
9804,5,51.79239,0.98004,4,"0.98004, 51.79239"
9805,5,51.79356,0.9839,4,"0.9839, 51.79356"
9806,5,51.79008,0.96279,6,"0.96279, 51.79008"
9807,5,51.79072,0.97046,4,"0.97046, 51.79072"
9808,5,51.84673,0.85763,4,"0.85763, 51.84673"
9809,5,51.84829,0.86021,4,"0.86021, 51.84829"
9890,5,51.87686,0.7699,4,"0.7699, 51.87686"
9891,5,51.87616,0.76632,4,"0.76632, 51.87616"
9893,5,51.9213,0.97201,4,"0.97201, 51.9213"
10625,5,51.88761,0.94333,4,"0.94333, 51.88761"
10626,5,51.88521,0.93791,6,"0.93791, 51.88521"
10628,5,51.89619,0.93174,6,"0.93174, 51.89619"
10629,5,51.8971,0.93607,10,"0.93607, 51.8971"
10630,5,51.9021,0.93955,6,"0.93955, 51.9021"
10631,5,51.89574,0.94279,8,"0.94279, 51.89574"
10632,5,51.89526,0.946,4,"0.946, 51.89526"
10634,5,51.88953,0.94628,6,"0.94628, 51.88953"
11778,5,51.97391,0.87738,4,"0.87738, 51.97391"
11779,5,52.0109,0.74978,4,"0.74978, 52.0109"
12006,5,51.91775,0.9202,4,"0.9202, 51.91775"
12070,5,51.92026,0.9147,4,"0.9147, 51.92026"
12561,5,51.90543,0.92793,4,"0.92793, 51.90543"
12871,5,51.89973,0.93776,6,"0.93776, 51.89973"
12877,5,51.89141,0.94832,4,"0.94832, 51.89141"
12956,5,51.88095,0.78335,35,"0.78335, 51.88095"
13040,5,51.84411,0.81081,4,"0.81081, 51.84411"
13041,5,51.85634,0.81895,4,"0.81895, 51.85634"
13042,5,51.85208,0.81749,6,"0.81749, 51.85208"
13043,5,51.8608,0.82517,4,"0.82517, 51.8608"
13044,5,51.83378,0.78705,4,"0.78705, 51.83378"
13045,5,51.88228,0.80948,4,"0.80948, 51.88228"
13046,5,51.88082,0.80333,4,"0.80333, 51.88082"
13048,5,51.88384,0.81746,4,"0.81746, 51.88384"
13117,5,51.82883,0.72679,4,"0.72679, 51.82883"
13124,5,51.96974,0.70128,4,"0.70128, 51.96974"
13873,5,51.87887,0.87432,6,"0.87432, 51.87887"
13874,5,51.87664,0.87039,4,"0.87039, 51.87664"
13875,5,51.87567,0.86778,5,"0.86778, 51.87567"
13876,5,51.87471,0.86553,6,"0.86553, 51.87471"
13877,5,51.88477,0.88954,4,"0.88954, 51.88477"
13878,5,51.88293,0.88584,4,"0.88584, 51.88293"
13879,5,51.88126,0.88131,4,"0.88131, 51.88126"
13880,5,51.87921,0.87748,4,"0.87748, 51.87921"
13881,5,51.87337,0.86259,7,"0.86259, 51.87337"
13882,5,51.86419,0.836,6,"0.836, 51.86419"
13989,5,51.9547,0.9186,4,"0.9186, 51.9547"
13992,5,51.95394,0.99541,4,"0.99541, 51.95394"
13993,5,51.94545,0.9754,3,"0.9754, 51.94545"
14325,5,51.97225,0.98604,6,"0.98604, 51.97225"
14621,5,51.89351,0.8254,6,"0.8254, 51.89351"
14623,5,51.8886,0.84241,4,"0.84241, 51.8886"
14624,5,51.88793,0.83901,6,"0.83901, 51.88793"
14625,5,51.89259,0.83833,5,"0.83833, 51.89259"
14626,5,51.89107,0.84692,5,"0.84692, 51.89107"
14628,5,51.89283,0.8315,4,"0.8315, 51.89283"
14632,5,51.8898,0.85373,10,"0.85373, 51.8898"
14633,5,51.88928,0.84696,5,"0.84696, 51.88928"
14920,5,51.88286,1.04419,4,"1.04419, 51.88286"
15073,5,51.93169,0.69117,6,"0.69117, 51.93169"
15216,5,51.94907,1.04525,20,"1.04525, 51.94907"
15550,5,51.81167,0.88816,6,"0.88816, 51.81167"
15552,5,51.78646,0.92065,4,"0.92065, 51.78646"
15555,5,51.86649,0.76121,4,"0.76121, 51.86649"
15557,5,51.87385,0.77349,6,"0.77349, 51.87385"
15746,5,51.92873,0.68815,6,"0.68815, 51.92873"
15748,5,51.92726,0.70273,4,"0.70273, 51.92726"
15749,5,51.92576,0.70581,10,"0.70581, 51.92576"
15751,5,51.92801,0.69886,6,"0.69886, 51.92801"
15752,5,51.95115,0.77055,4,"0.77055, 51.95115"
15753,5,51.90811,0.79046,5,"0.79046, 51.90811"
15815,5,51.87355,0.9475,8,"0.9475, 51.87355"
15816,5,51.87909,0.95511,4,"0.95511, 51.87909"
15822,5,51.87806,0.94144,4,"0.94144, 51.87806"
15827,5,51.86967,0.96308,4,"0.96308, 51.86967"
16405,5,51.87571,0.94223,16,"0.94223, 51.87571"
16406,5,51.88109,0.95267,6,"0.95267, 51.88109"
16407,5,51.89066,0.94304,4,"0.94304, 51.89066"
16408,5,51.88985,0.92092,4,"0.92092, 51.88985"
17038,5,52.00755,1.01871,4,"1.01871, 52.00755"
17759,5,51.87682,0.75018,5,"0.75018, 51.87682"
17781,5,51.87661,0.74515,4,"0.74515, 51.87661"
18767,5,51.84224,1.02849,19,"1.02849, 51.84224"
18768,5,51.85253,1.00596,6,"1.00596, 51.85253"
18769,5,51.83865,1.0428,4,"1.0428, 51.83865"
18770,5,51.84034,1.03869,4,"1.03869, 51.84034"
18791,5,51.99545,0.69305,6,"0.69305, 51.99545"
18793,5,51.93724,0.7523,4,"0.7523, 51.93724"
18796,5,51.90309,0.81176,4,"0.81176, 51.90309"
18797,5,51.89657,0.82224,8,"0.82224, 51.89657"
19277,5,51.80009,0.83196,4,"0.83196, 51.80009"
19281,5,51.84437,0.85555,10,"0.85555, 51.84437"
19304,5,51.86812,1.02783,4,"1.02783, 51.86812"
19309,5,51.86907,1.01726,4,"1.01726, 51.86907"
19355,5,51.88094,0.99521,13,"0.99521, 51.88094"
19359,5,51.87907,1.00012,4,"1.00012, 51.87907"
20423,5,51.91344,0.92344,4,"0.92344, 51.91344"
20424,5,51.9123,0.92289,7,"0.92289, 51.9123"
20427,5,51.90431,0.90092,8,"0.90092, 51.90431"
20428,5,51.91776,0.90807,10,"0.90807, 51.91776"
20429,5,51.91501,0.91906,4,"0.91906, 51.91501"
20430,5,51.91629,0.92259,6,"0.92259, 51.91629"
20431,5,51.91551,0.89124,6,"0.89124, 51.91551"
20432,5,51.91457,0.89409,5,"0.89409, 51.91457"
20433,5,51.91254,0.90196,6,"0.90196, 51.91254"
20434,5,51.90774,0.90277,5,"0.90277, 51.90774"
20880,5,51.98985,0.89442,8,"0.89442, 51.98985"
20889,5,51.99025,0.8391,4,"0.8391, 51.99025"
21223,5,51.87166,0.89733,8,"0.89733, 51.87166"
