ori_node,des_node,ori_layer,des_layer,minutes,km
1,34938,2,2,3,2.846
3361,4903,2,2,6,5.076
4903,3361,2,2,6,5.076
4903,12956,2,2,6,5.274
9169,15216,2,2,4,2.546
12956,4903,2,2,6,5.274
12956,34872,2,2,7,7.801
15216,9169,2,2,4,2.546
15216,34872,2,2,7,11.749
21635,34872,2,2,7,1.789
21635,34938,2,2,7,4.842
21635,37748,2,2,4,1.563
34872,12956,2,2,6,7.801
34872,15216,2,2,7,11.749
34872,21635,2,2,7,1.789
34872,34938,2,2,7,6.56
34872,37748,2,2,4,2.921
34938,1,2,2,3,2.846
34938,34872,2,2,9,6.56
34938,37748,2,2,4,3.78
37748,21635,2,2,4,1.563
37748,34872,2,2,7,2.921
37748,34938,2,2,4,3.78
