node,layer,lat,lon,degree,geometry
2258,5,53.29477,-3.8334,18,"-3.8334, 53.29477"
2808,5,53.22838,-3.81828,14,"-3.81828, 53.22838"
5796,5,53.05203,-3.88514,10,"-3.88514, 53.05203"
7090,5,53.14402,-3.8029,14,"-3.8029, 53.14402"
7571,5,53.31476,-3.76957,10,"-3.76957, 53.31476"
8194,5,53.27048,-3.92352,15,"-3.92352, 53.27048"
12406,5,53.18636,-3.82265,12,"-3.82265, 53.18636"
17867,5,53.32094,-3.82702,40,"-3.82702, 53.32094"
19980,5,53.28396,-3.80912,47,"-3.80912, 53.28396"
31310,5,53.28012,-3.83054,26,"-3.83054, 53.28012"
32413,5,53.30914,-3.7522,12,"-3.7522, 53.30914"
34801,5,53.29638,-3.72543,45,"-3.72543, 53.29638"
42604,5,53.26744,-3.79774,18,"-3.79774, 53.26744"
47783,5,53.09209,-3.80088,17,"-3.80088, 53.09209"
52394,5,53.12796,-3.78447,2,"-3.78447, 53.12796"
52569,5,53.18389,-3.83934,2,"-3.83934, 53.18389"
52571,5,53.13333,-3.80381,3,"-3.80381, 53.13333"
52572,5,53.15656,-3.82537,2,"-3.82537, 53.15656"
52577,5,53.27433,-3.83494,3,"-3.83494, 53.27433"
52578,5,53.27515,-3.83483,2,"-3.83483, 53.27515"
55159,5,53.28821,-3.68867,2,"-3.68867, 53.28821"
55160,5,53.28935,-3.68354,2,"-3.68354, 53.28935"
55161,5,53.28501,-3.67232,2,"-3.67232, 53.28501"
55162,5,53.28571,-3.6736,2,"-3.6736, 53.28571"
55163,5,53.31838,-3.76528,2,"-3.76528, 53.31838"
55164,5,53.3178,-3.77136,2,"-3.77136, 53.3178"
55165,5,53.31537,-3.75262,2,"-3.75262, 53.31537"
55166,5,53.31703,-3.75886,2,"-3.75886, 53.31703"
55167,5,53.31758,-3.77547,2,"-3.77547, 53.31758"
55168,5,53.31778,-3.84041,2,"-3.84041, 53.31778"
56490,5,53.32535,-3.83269,3,"-3.83269, 53.32535"
58028,5,53.29626,-3.73086,2,"-3.73086, 53.29626"
58029,5,53.29724,-3.73363,3,"-3.73363, 53.29724"
58032,5,53.29878,-3.75245,2,"-3.75245, 53.29878"
58033,5,53.29589,-3.75946,2,"-3.75946, 53.29589"
58034,5,53.29905,-3.75033,2,"-3.75033, 53.29905"
58035,5,53.29949,-3.73896,4,"-3.73896, 53.29949"
58036,5,53.29971,-3.73906,3,"-3.73906, 53.29971"
58037,5,53.29807,-3.73479,3,"-3.73479, 53.29807"
58038,5,53.29846,-3.73641,2,"-3.73641, 53.29846"
58732,5,53.25346,-3.97898,3,"-3.97898, 53.25346"
58735,5,53.2776,-3.89769,2,"-3.89769, 53.2776"
59163,5,53.05351,-3.90369,2,"-3.90369, 53.05351"
59181,5,53.11122,-3.78245,4,"-3.78245, 53.11122"
59382,5,53.2902,-3.67106,2,"-3.67106, 53.2902"
62249,5,53.3209,-3.8308,2,"-3.8308, 53.3209"
62250,5,53.13875,-3.79317,3,"-3.79317, 53.13875"
62733,5,53.0905,-3.96479,2,"-3.96479, 53.0905"
62798,5,53.15065,-3.82439,2,"-3.82439, 53.15065"
66435,5,53.29075,-3.82426,3,"-3.82426, 53.29075"
66437,5,53.28886,-3.82107,4,"-3.82107, 53.28886"
67685,5,53.32075,-3.8141,4,"-3.8141, 53.32075"
67700,5,53.31728,-3.77598,3,"-3.77598, 53.31728"
67714,5,53.28903,-3.71175,5,"-3.71175, 53.28903"
67715,5,53.29001,-3.70517,2,"-3.70517, 53.29001"
67716,5,53.29009,-3.72,6,"-3.72, 53.29009"
67717,5,53.28882,-3.71641,5,"-3.71641, 53.28882"
67718,5,53.29044,-3.72066,6,"-3.72066, 53.29044"
68376,5,53.28001,-3.90204,5,"-3.90204, 53.28001"
68377,5,53.28581,-3.88901,2,"-3.88901, 53.28581"
68378,5,53.28377,-3.89277,2,"-3.89277, 53.28377"
68379,5,53.28075,-3.89983,5,"-3.89983, 53.28075"
68380,5,53.27353,-3.79695,4,"-3.79695, 53.27353"
68381,5,53.27057,-3.79494,3,"-3.79494, 53.27057"
69001,5,53.29151,-3.67899,4,"-3.67899, 53.29151"
69002,5,53.29004,-3.66954,3,"-3.66954, 53.29004"
69003,5,53.30875,-3.73924,4,"-3.73924, 53.30875"
70974,5,53.29954,-3.74498,4,"-3.74498, 53.29954"
70975,5,53.29556,-3.75963,2,"-3.75963, 53.29556"
70976,5,53.28896,-3.76545,2,"-3.76545, 53.28896"
70977,5,53.29932,-3.74917,2,"-3.74917, 53.29932"
70978,5,53.2987,-3.75242,2,"-3.75242, 53.2987"
77327,5,53.28556,-3.81463,6,"-3.81463, 53.28556"
77328,5,53.28552,-3.81576,6,"-3.81576, 53.28552"
77329,5,53.28368,-3.80329,3,"-3.80329, 53.28368"
77330,5,53.28377,-3.8043,3,"-3.8043, 53.28377"
77331,5,53.28223,-3.79436,4,"-3.79436, 53.28223"
77332,5,53.28273,-3.79899,2,"-3.79899, 53.28273"
