ori_node,des_node,ori_layer,des_layer,minutes,km
2258,17867,2,2,5,2.936
2258,19980,2,2,4,2.009
2808,7090,2,2,6,9.421
2808,12406,2,2,5,4.674
2808,42604,2,2,6,4.546
5796,123213,2,2,3,2.086
5796,173637,2,2,3,2.578
7090,7090,2,2,1,0
7090,12406,2,2,5,4.88
7090,47783,2,2,6,5.766
8194,31310,2,2,6,6.264
12406,2808,2,2,5,4.674
12406,7090,2,2,5,4.88
17867,2258,2,2,4,2.936
19980,2258,2,2,3,2.009
19980,2808,2,2,6,6.2
19980,7090,2,2,26,15.541
19980,31310,2,2,2,1.484
19980,34801,2,2,5,5.722
19980,42604,2,2,3,1.983
31310,8194,2,2,4,6.264
31310,19980,2,2,4,1.484
34801,19980,2,2,5,5.722
42604,2808,2,2,6,4.546
42604,19980,2,2,4,1.983
47783,7090,2,2,6,5.766
47783,123213,2,2,8,5.095
123213,5796,2,2,3,2.086
123213,47783,2,2,9,5.095
173637,5796,2,2,3,2.578
