node,layer,lat,lon,degree,geometry
2258,2,53.29477,-3.8334,18,"-3.8334, 53.29477"
2808,2,53.22838,-3.81828,14,"-3.81828, 53.22838"
5796,2,53.05203,-3.88514,10,"-3.88514, 53.05203"
7090,2,53.14402,-3.8029,14,"-3.8029, 53.14402"
8194,2,53.27048,-3.92352,15,"-3.92352, 53.27048"
12406,2,53.18636,-3.82265,12,"-3.82265, 53.18636"
17867,2,53.32094,-3.82702,40,"-3.82702, 53.32094"
19980,2,53.28396,-3.80912,47,"-3.80912, 53.28396"
31310,2,53.28012,-3.83054,26,"-3.83054, 53.28012"
34801,2,53.29638,-3.72543,45,"-3.72543, 53.29638"
42604,2,53.26744,-3.79774,18,"-3.79774, 53.26744"
47783,2,53.09209,-3.80088,17,"-3.80088, 53.09209"
123213,2,53.06515,-3.86274,4,"-3.86274, 53.06515"
173637,2,53.04444,-3.92165,4,"-3.92165, 53.04444"
