ori_node,des_node,ori_layer,des_layer,minutes,km
323,18294,5,5,1,0.496
323,18296,5,5,2,0.586
323,23852,5,5,1,0.332
323,137849,5,5,1,0.188
638,638,5,5,1,0
638,97087,5,5,1,0.512
638,126252,5,5,1,0.464
638,126259,5,5,2,0.565
638,156010,5,5,1,0.255
638,219546,5,5,1,0.376
689,15453,5,5,1,0.561
689,33020,5,5,1,0.247
689,160004,5,5,5,1.225
905,23983,5,5,1,0.314
905,35519,5,5,1,0.332
907,6733,5,5,1,0.247
907,20131,5,5,1,0.508
1057,10082,5,5,1,0.848
1057,31631,5,5,1,0.405
1057,39879,5,5,2,1.867
1079,33482,5,5,1,0.343
1079,46741,5,5,1,0.242
1108,20039,5,5,1,0.42
1108,176575,5,5,1,0.174
1820,10877,5,5,1,0.163
1820,20874,5,5,2,0.621
1820,26555,5,5,2,0.73
1928,8747,5,5,1,0.351
1928,11564,5,5,3,1.986
1928,49871,5,5,1,0.36
1929,1930,5,5,1,0.634
1929,49871,5,5,1,0.542
1930,1929,5,5,2,0.634
1930,11543,5,5,1,0.727
1930,14562,5,5,2,0.519
1933,1934,5,5,2,1.351
1933,15220,5,5,1,0.381
1934,1933,5,5,1,1.351
1934,8747,5,5,1,1.357
1962,24078,5,5,1,0.338
1962,37498,5,5,1,0.336
2058,82748,5,5,3,3.475
2058,104240,5,5,1,0.561
2058,222999,5,5,4,3.329
2058,252288,5,5,1,0.563
2060,9605,5,5,1,0.585
2060,21142,5,5,1,0.303
2102,8453,5,5,1,0.197
2102,19513,5,5,1,0.277
2186,2216,5,5,1,0.425
2186,18296,5,5,3,2.124
2186,21433,5,5,2,0.776
2186,23852,5,5,1,1.21
2216,2186,5,5,1,0.425
2216,21433,5,5,2,0.363
2441,19727,5,5,1,0.751
2441,32539,5,5,1,0.199
2441,37485,5,5,1,0.518
2443,26683,5,5,1,0.488
2443,31606,5,5,1,0.317
2443,46008,5,5,1,0.85
2443,207577,5,5,1,0.25
2522,14357,5,5,1,0.519
2522,48161,5,5,1,0.346
2522,49944,5,5,1,0.205
2901,23774,5,5,1,0.455
2901,35360,5,5,1,0.47
2974,10503,5,5,1,0.243
2974,22153,5,5,2,0.932
3071,7254,5,5,1,0.233
3071,40399,5,5,1,0.429
3071,44229,5,5,1,0.088
3146,30442,5,5,1,0.148
3146,49208,5,5,1,0.43
3298,15196,5,5,1,0.846
3298,15197,5,5,2,1.652
3368,43013,5,5,1,0.189
3410,5634,5,5,1,0.304
3410,11564,5,5,1,0.327
3594,22650,5,5,1,0.305
3594,32432,5,5,1,0.393
3819,5257,5,5,1,0.205
3819,32431,5,5,1,0.243
3819,45674,5,5,1,0.391
3841,36249,5,5,1,0.805
3841,49449,5,5,1,0.39
3945,7207,5,5,1,0.418
3945,206058,5,5,1,0.976
3956,10016,5,5,1,0.384
3956,14038,5,5,1,0.041
3956,37724,5,5,1,0.174
4030,36539,5,5,1,0.309
4030,237238,5,5,1,0.305
4182,7355,5,5,14,4.825
4182,9929,5,5,1,0.314
4182,17191,5,5,8,1.884
4182,18930,5,5,14,6.325
4182,23317,5,5,3,1.512
4213,18228,5,5,2,0.63
4213,18229,5,5,1,0.423
4213,32363,5,5,3,2.268
4213,202126,5,5,2,0.686
4292,10098,5,5,1,0.182
4292,23486,5,5,1,0.352
4293,4293,5,5,1,0
4293,21043,5,5,1,1.308
