ori_node,des_node,ori_layer,des_layer,minutes,km
638,24054,2,2,6,7.622
638,35789,2,2,7,9.194
638,37853,2,2,4,3.61
638,47235,2,2,3,1.71
2058,37358,2,2,5,6.001
2058,40739,2,2,5,7.024
2058,41487,2,2,7,11.378
4293,13573,2,2,3,4.145
4293,39980,2,2,4,4.441
7922,11542,2,2,3,2.873
8105,14357,2,2,3,2.899
8105,18421,2,2,3,3.661
8493,39925,2,2,5,3.833
10082,13573,2,2,6,6.657
10297,17812,2,2,2,1.228
10297,37358,2,2,4,4.73
11542,7922,2,2,4,2.873
11542,14357,2,2,2,1.469
11542,18421,2,2,6,7.937
11542,39980,2,2,3,2.643
11542,40174,2,2,4,2.68
11542,41487,2,2,7,9.274
13573,4293,2,2,4,4.145
13573,10082,2,2,7,6.657
13573,30726,2,2,2,1.374
13573,31911,2,2,2,1.481
13573,39925,2,2,6,6.282
13573,39980,2,2,6,8.37
13573,47235,2,2,16,19.418
14357,8105,2,2,3,2.899
14357,11542,2,2,3,1.469
14357,18421,2,2,6,6.537
17812,10297,2,2,2,1.228
17812,21758,2,2,3,3.461
17812,37358,2,2,4,5.944
18421,2058,2,2,9,12.687
18421,8105,2,2,3,3.661
18421,11542,2,2,6,7.937
18421,40739,2,2,5,5.756
18421,41487,2,2,2,1.346
19117,25029,2,2,6,6.968
19117,30043,2,2,6,7.918
21708,40174,2,2,5,5.898
21758,10297,2,2,4,4.69
21758,17812,2,2,3,3.461
21758,37358,2,2,9,9.393
22870,41079,2,2,4,3.469
22870,44659,2,2,3,2.43
24054,638,2,2,6,7.622
24054,35789,2,2,3,1.994
24054,37853,2,2,4,4.014
25029,19117,2,2,6,6.968
30043,19117,2,2,6,7.918
30043,41482,2,2,6,6.976
30043,47235,2,2,8,10.75
30726,13573,2,2,1,1.374
31911,13573,2,2,2,1.481
31911,39925,2,2,5,4.817
35789,638,2,2,7,9.194
35789,24054,2,2,2,1.994
35789,40739,2,2,3,1.852
35789,47235,2,2,8,10.571
36433,44659,2,2,6,7.587
36433,50552,2,2,2,1.616
37358,2058,2,2,5,6.001
37358,10297,2,2,4,4.73
37358,17812,2,2,5,5.944
37358,18421,2,2,14,18.567
37358,40739,2,2,9,12.997
37358,41487,2,2,11,17.286
37853,638,2,2,4,3.61
37853,24054,2,2,4,4.014
39925,8493,2,2,5,3.833
39925,13573,2,2,6,6.282
39925,31911,2,2,5,4.817
39980,4293,2,2,4,4.441
39980,11542,2,2,4,2.643
39980,13573,2,2,6,8.37
40174,11542,2,2,5,2.68
40174,21708,2,2,6,5.898
40739,2058,2,2,6,7.024
40739,18421,2,2,6,5.756
40739,35789,2,2,3,1.852
40739,37358,2,2,8,12.997
40739,41487,2,2,4,4.417
41079,22870,2,2,4,3.469
41079,50552,2,2,12,14.644
41482,30043,2,2,6,6.976
41482,47235,2,2,4,3.774
41487,2058,2,2,8,11.378
41487,11542,2,2,7,9.274
41487,18421,2,2,2,1.346
41487,37358,2,2,10,17.286
41487,40739,2,2,4,4.417
44659,22870,2,2,3,2.43
44659,36433,2,2,7,7.587
47235,638,2,2,3,1.71
47235,30043,2,2,8,10.75
47235,35789,2,2,8,10.571
47235,41482,2,2,3,3.774
47235,71931,2,2,4,3.063
50552,36433,2,2,2,1.616
71931,47235,2,2,4,3.063
