node,layer,lat,lon,degree,geometry
638,2,51.07974,-0.30797,25,"-0.30797, 51.07974"
2058,2,51.05551,-0.13693,19,"-0.13693, 51.05551"
4293,2,51.25006,-0.2664,14,"-0.2664, 51.25006"
7922,2,51.26415,-0.15022,17,"-0.15022, 51.26415"
8105,2,51.20174,-0.16249,18,"-0.16249, 51.20174"
8493,2,51.28874,-0.38401,14,"-0.38401, 51.28874"
10082,2,51.181,-0.32109,15,"-0.32109, 51.181"
10297,2,50.96378,-0.12084,25,"-0.12084, 50.96378"
11542,2,51.2402,-0.1659,48,"-0.1659, 51.2402"
13573,2,51.24093,-0.32424,42,"-0.32424, 51.24093"
14357,2,51.22733,-0.17082,27,"-0.17082, 51.22733"
15453,2,51.28214,-0.0783,16,"-0.0783, 51.28214"
17812,2,50.95361,-0.12777,33,"-0.12777, 50.95361"
18421,2,51.16877,-0.16105,29,"-0.16105, 51.16877"
19117,2,50.95735,-0.51655,23,"-0.51655, 50.95735"
21708,2,51.21815,-0.05008,16,"-0.05008, 51.21815"
21758,2,50.92461,-0.14595,26,"-0.14595, 50.92461"
22870,2,51.15517,0.00103,13,"0.00103, 51.15517"
24054,2,51.11562,-0.21477,24,"-0.21477, 51.11562"
24799,2,51.29164,-0.23596,19,"-0.23596, 51.29164"
25029,2,50.89667,-0.54199,18,"-0.54199, 50.89667"
30043,2,51.0152,-0.4503,14,"-0.4503, 51.0152"
30726,2,51.23271,-0.33902,19,"-0.33902, 51.23271"
31911,2,51.25401,-0.32848,15,"-0.32848, 51.25401"
35789,2,51.11221,-0.18667,45,"-0.18667, 51.11221"
36433,2,51.24443,0.00395,17,"0.00395, 51.24443"
37358,2,51.00525,-0.10531,50,"-0.10531, 51.00525"
37853,2,51.09588,-0.26302,16,"-0.26302, 51.09588"
39925,2,51.29738,-0.33055,26,"-0.33055, 51.29738"
39980,2,51.24196,-0.20382,22,"-0.20382, 51.24196"
40174,2,51.22687,-0.13376,16,"-0.13376, 51.22687"
40739,2,51.11692,-0.16118,41,"-0.16118, 51.11692"
41079,2,51.12627,-0.0179,25,"-0.0179, 51.12627"
41482,2,51.04818,-0.36526,12,"-0.36526, 51.04818"
41487,2,51.15669,-0.16282,135,"-0.16282, 51.15669"
44659,2,51.17645,-0.00716,21,"-0.00716, 51.17645"
47235,2,51.06606,-0.31926,51,"-0.31926, 51.06606"
50552,2,51.25791,-0.00483,26,"-0.00483, 51.25791"
71931,2,51.0929,-0.32945,4,"-0.32945, 51.0929"
