node,layer,lat,lon,degree,geometry
326,5,54.86488,-3.78679,4,"-3.78679, 54.86488"
328,5,54.90486,-3.81631,4,"-3.81631, 54.90486"
484,5,54.96422,-3.90758,4,"-3.90758, 54.96422"
1988,5,54.88895,-3.80529,6,"-3.80529, 54.88895"
2055,5,54.88475,-3.86212,6,"-3.86212, 54.88475"
2088,5,54.92878,-3.8197,5,"-3.8197, 54.92878"
2099,5,54.81508,-4.04476,4,"-4.04476, 54.81508"
2176,5,54.80249,-3.97835,4,"-3.97835, 54.80249"
3676,5,54.92332,-3.82061,4,"-3.82061, 54.92332"
3677,5,54.92575,-3.82473,5,"-3.82473, 54.92575"
4022,5,54.87337,-4.04982,4,"-4.04982, 54.87337"
4455,5,54.91145,-3.91121,5,"-3.91121, 54.91145"
5506,5,54.92963,-3.82767,5,"-3.82767, 54.92963"
5553,5,54.8442,-3.87062,4,"-3.87062, 54.8442"
5703,5,54.96062,-4.04699,4,"-4.04699, 54.96062"
5747,5,54.95909,-3.98229,4,"-3.98229, 54.95909"
5944,5,54.86367,-4.03178,4,"-4.03178, 54.86367"
5978,5,54.99831,-4.00618,4,"-4.00618, 54.99831"
6013,5,54.96283,-3.96895,8,"-3.96895, 54.96283"
6014,5,54.95061,-3.94608,4,"-3.94608, 54.95061"
6041,5,54.96502,-3.79565,4,"-3.79565, 54.96502"
6356,5,55.00771,-4.04148,4,"-4.04148, 55.00771"
6383,5,54.87945,-3.81422,4,"-3.81422, 54.87945"
6462,5,54.97833,-3.98287,4,"-3.98287, 54.97833"
6619,5,54.93817,-3.82087,4,"-3.82087, 54.93817"
6912,5,54.94501,-3.81609,4,"-3.81609, 54.94501"
7243,5,54.9323,-3.82126,8,"-3.82126, 54.9323"
7566,5,54.87172,-3.76889,6,"-3.76889, 54.87172"
7944,5,54.92372,-3.81771,6,"-3.81771, 54.92372"
9360,5,54.92968,-3.94721,4,"-3.94721, 54.92968"
12464,5,54.86852,-4.08749,6,"-4.08749, 54.86852"
13062,5,54.92793,-3.82703,4,"-3.82703, 54.92793"
13264,5,54.88015,-3.7311,4,"-3.7311, 54.88015"
13408,5,54.87258,-3.76534,4,"-3.76534, 54.87258"
13821,5,54.94868,-3.92093,6,"-3.92093, 54.94868"
15021,5,54.81068,-4.18113,4,"-4.18113, 54.81068"
15029,5,54.84113,-4.04416,4,"-4.04416, 54.84113"
15030,5,54.81131,-4.13357,5,"-4.13357, 54.81131"
15099,5,54.85758,-4.12584,4,"-4.12584, 54.85758"
15173,5,54.83551,-4.17355,4,"-4.17355, 54.83551"
15873,5,54.844,-4.04191,7,"-4.04191, 54.844"
17228,5,54.8089,-3.94723,4,"-3.94723, 54.8089"
18778,5,54.89521,-3.84173,4,"-3.84173, 54.89521"
18782,5,54.83182,-4.05196,4,"-4.05196, 54.83182"
18784,5,54.87099,-3.86904,4,"-3.86904, 54.87099"
18785,5,54.82441,-3.9036,4,"-3.9036, 54.82441"
19231,5,54.8817,-3.81111,4,"-3.81111, 54.8817"
19232,5,54.93315,-3.82358,8,"-3.82358, 54.93315"
19257,5,54.89443,-3.64231,6,"-3.64231, 54.89443"
19263,5,54.87493,-3.74577,4,"-3.74577, 54.87493"
19595,5,54.88154,-4.0545,9,"-4.0545, 54.88154"
23512,5,54.92705,-3.95778,6,"-3.95778, 54.92705"
24621,5,54.97575,-3.77599,6,"-3.77599, 54.97575"
24860,5,54.89718,-4.04599,6,"-4.04599, 54.89718"
24872,5,54.97668,-3.86309,4,"-3.86309, 54.97668"
24875,5,54.98174,-3.77341,6,"-3.77341, 54.98174"
25072,5,54.97348,-3.92783,4,"-3.92783, 54.97348"
25137,5,54.90122,-3.8836,6,"-3.8836, 54.90122"
25139,5,54.93785,-3.92914,5,"-3.92914, 54.93785"
25141,5,54.94459,-3.9375,6,"-3.9375, 54.94459"
25142,5,54.94367,-3.92255,4,"-3.92255, 54.94367"
25307,5,54.85834,-4.04005,4,"-4.04005, 54.85834"
25374,5,54.96034,-4.0608,4,"-4.0608, 54.96034"
26414,5,54.94903,-3.92827,5,"-3.92827, 54.94903"
29752,5,54.97372,-3.89553,4,"-3.89553, 54.97372"
30373,5,54.8638,-4.10356,13,"-4.10356, 54.8638"
30504,5,55.00316,-4.02029,4,"-4.02029, 55.00316"
31030,5,54.86655,-4.08248,8,"-4.08248, 54.86655"
33393,5,54.99657,-4.08822,4,"-4.08822, 54.99657"
33734,5,54.98663,-3.75553,6,"-3.75553, 54.98663"
34003,5,54.88436,-4.05301,6,"-4.05301, 54.88436"
34008,5,54.81293,-4.09362,5,"-4.09362, 54.81293"
35721,5,54.84158,-3.87508,4,"-3.87508, 54.84158"
35898,5,54.84081,-4.05362,6,"-4.05362, 54.84081"
37935,5,54.9333,-3.82675,4,"-3.82675, 54.9333"
37937,5,54.9624,-3.8478,4,"-3.8478, 54.9624"
37938,5,54.88139,-4.02341,4,"-4.02341, 54.88139"
37939,5,54.83837,-4.04734,5,"-4.04734, 54.83837"
38088,5,54.84263,-3.87223,4,"-3.87223, 54.84263"
38720,5,54.86654,-4.081,4,"-4.081, 54.86654"
39380,5,54.98264,-3.77139,4,"-3.77139, 54.98264"
40977,5,54.89186,-3.8413,4,"-3.8413, 54.89186"
41884,5,54.93656,-3.82106,5,"-3.82106, 54.93656"
41912,5,54.93127,-3.82671,8,"-3.82671, 54.93127"
42025,5,54.80441,-4.106,5,"-4.106, 54.80441"
42860,5,54.94719,-3.9229,6,"-3.9229, 54.94719"
44125,5,54.98125,-3.98741,4,"-3.98741, 54.98125"
44210,5,55.02378,-4.10635,4,"-4.10635, 55.02378"
45551,5,54.97984,-3.98447,4,"-3.98447, 54.97984"
45732,5,54.82324,-4.20049,4,"-4.20049, 54.82324"
