node,layer,lat,lon,degree,geometry
1270,5,54.51473,-1.46707,15,"-1.46707, 54.51473"
3958,5,54.52045,-1.54733,34,"-1.54733, 54.52045"
18001,5,54.61371,-1.58965,14,"-1.58965, 54.61371"
30166,5,54.51098,-1.43314,13,"-1.43314, 54.51098"
38682,5,54.5362,-1.55395,24,"-1.55395, 54.5362"
53982,5,54.59462,-1.65248,2,"-1.65248, 54.59462"
55517,5,54.52092,-1.56013,8,"-1.56013, 54.52092"
55518,5,54.52122,-1.55968,5,"-1.55968, 54.52122"
55519,5,54.51743,-1.56317,3,"-1.56317, 54.51743"
55520,5,54.51772,-1.56285,3,"-1.56285, 54.51772"
55521,5,54.54252,-1.50665,2,"-1.50665, 54.54252"
55522,5,54.54214,-1.51044,5,"-1.51044, 54.54214"
55523,5,54.54227,-1.51059,5,"-1.51059, 54.54227"
55524,5,54.51412,-1.56505,3,"-1.56505, 54.51412"
55525,5,54.51476,-1.56502,4,"-1.56502, 54.51476"
57123,5,54.52465,-1.50847,2,"-1.50847, 54.52465"
57124,5,54.52247,-1.50717,2,"-1.50717, 54.52247"
57125,5,54.52123,-1.51675,2,"-1.51675, 54.52123"
57126,5,54.5213,-1.51639,2,"-1.51639, 54.5213"
57127,5,54.51886,-1.50846,5,"-1.50846, 54.51886"
57128,5,54.51874,-1.50911,5,"-1.50911, 54.51874"
57129,5,54.52093,-1.50746,3,"-1.50746, 54.52093"
59743,5,54.54217,-1.70998,2,"-1.70998, 54.54217"
59744,5,54.5422,-1.70911,2,"-1.70911, 54.5422"
60361,5,54.54538,-1.47686,2,"-1.47686, 54.54538"
60362,5,54.54644,-1.47268,4,"-1.47268, 54.54644"
60363,5,54.54617,-1.47241,3,"-1.47241, 54.54617"
60364,5,54.54429,-1.45917,2,"-1.45917, 54.54429"
60365,5,54.54409,-1.45931,2,"-1.45931, 54.54409"
60366,5,54.59188,-1.47881,2,"-1.47881, 54.59188"
60367,5,54.58525,-1.4373,3,"-1.4373, 54.58525"
65090,5,54.5798,-1.55739,2,"-1.55739, 54.5798"
65091,5,54.57271,-1.55165,4,"-1.55165, 54.57271"
65092,5,54.57961,-1.5571,3,"-1.5571, 54.57961"
65093,5,54.56781,-1.54874,2,"-1.54874, 54.56781"
65094,5,54.56215,-1.54933,2,"-1.54933, 54.56215"
65095,5,54.57256,-1.55127,2,"-1.55127, 54.57256"
65096,5,54.56829,-1.54848,2,"-1.54848, 54.56829"
65097,5,54.542,-1.49446,4,"-1.49446, 54.542"
66752,5,54.52192,-1.52151,2,"-1.52151, 54.52192"
66753,5,54.52219,-1.52392,2,"-1.52392, 54.52219"
66754,5,54.52162,-1.51907,4,"-1.51907, 54.52162"
66755,5,54.52174,-1.52105,2,"-1.52105, 54.52174"
66756,5,54.52384,-1.51906,3,"-1.51906, 54.52384"
66758,5,54.5249,-1.51369,3,"-1.51369, 54.5249"
66759,5,54.52423,-1.51914,2,"-1.51914, 54.52423"
66764,5,54.52269,-1.52756,2,"-1.52756, 54.52269"
67904,5,54.52833,-1.57946,2,"-1.57946, 54.52833"
69304,5,54.54602,-1.73281,4,"-1.73281, 54.54602"
69305,5,54.54593,-1.73308,3,"-1.73308, 54.54593"
71581,5,54.48629,-1.53221,3,"-1.53221, 54.48629"
71582,5,54.48575,-1.52453,3,"-1.52453, 54.48575"
71583,5,54.48594,-1.52882,2,"-1.52882, 54.48594"
71584,5,54.48594,-1.52153,4,"-1.52153, 54.48594"
71585,5,54.48574,-1.5243,3,"-1.5243, 54.48574"
71586,5,54.48797,-1.52178,3,"-1.52178, 54.48797"
71587,5,54.61031,-1.63479,2,"-1.63479, 54.61031"
71588,5,54.48775,-1.52319,3,"-1.52319, 54.48775"
71665,5,54.59261,-1.7465,2,"-1.7465, 54.59261"
72587,5,54.50623,-1.72938,3,"-1.72938, 54.50623"
72595,5,54.50615,-1.72938,4,"-1.72938, 54.50615"
74552,5,54.48776,-1.49298,2,"-1.49298, 54.48776"
74553,5,54.48619,-1.4985,2,"-1.4985, 54.48619"
74555,5,54.51808,-1.57515,2,"-1.57515, 54.51808"
74556,5,54.51805,-1.57634,3,"-1.57634, 54.51805"
74557,5,54.5179,-1.57668,3,"-1.57668, 54.5179"
74558,5,54.51612,-1.57751,5,"-1.57751, 54.51612"
76309,5,54.52327,-1.53588,2,"-1.53588, 54.52327"
76310,5,54.52333,-1.53225,2,"-1.53225, 54.52333"
76311,5,54.52341,-1.53172,3,"-1.53172, 54.52341"
76312,5,54.52304,-1.53001,3,"-1.53001, 54.52304"
76313,5,54.5232,-1.54357,2,"-1.54357, 54.5232"
76314,5,54.52319,-1.54297,3,"-1.54297, 54.52319"
76315,5,54.52328,-1.53936,3,"-1.53936, 54.52328"
76316,5,54.52338,-1.53724,2,"-1.53724, 54.52338"
76319,5,54.5343,-1.51399,2,"-1.51399, 54.5343"
76492,5,54.47961,-1.63162,2,"-1.63162, 54.47961"
79048,5,54.54544,-1.72799,2,"-1.72799, 54.54544"
79050,5,54.54542,-1.72673,2,"-1.72673, 54.54542"
80114,5,54.48388,-1.74881,2,"-1.74881, 54.48388"
80116,5,54.48375,-1.74814,2,"-1.74814, 54.48375"
81301,5,54.4851,-1.5386,2,"-1.5386, 54.4851"
81302,5,54.48638,-1.53242,3,"-1.53242, 54.48638"
81303,5,54.4841,-1.5439,2,"-1.5439, 54.4841"
81304,5,54.48488,-1.53912,2,"-1.53912, 54.48488"
81305,5,54.4832,-1.54794,2,"-1.54794, 54.4832"
81306,5,54.48367,-1.54551,2,"-1.54551, 54.48367"
81307,5,54.48353,-1.55346,4,"-1.55346, 54.48353"
81308,5,54.48302,-1.54848,2,"-1.54848, 54.48302"
81309,5,54.51727,-1.58283,2,"-1.58283, 54.51727"
81310,5,54.48335,-1.55325,6,"-1.55325, 54.48335"
81458,5,54.58292,-1.54911,2,"-1.54911, 54.58292"
81461,5,54.58288,-1.54933,2,"-1.54933, 54.58288"
83361,5,54.57159,-1.70836,2,"-1.70836, 54.57159"
84363,5,54.51361,-1.57512,2,"-1.57512, 54.51361"
84365,5,54.50782,-1.57389,5,"-1.57389, 54.50782"
84366,5,54.50762,-1.57652,6,"-1.57652, 54.50762"
84367,5,54.50912,-1.5779,4,"-1.5779, 54.50912"
84368,5,54.50964,-1.57825,4,"-1.57825, 54.50964"
84369,5,54.51178,-1.56655,4,"-1.56655, 54.51178"
84370,5,54.50691,-1.57205,3,"-1.57205, 54.50691"
84371,5,54.50719,-1.57208,4,"-1.57208, 54.50719"
85980,5,54.5338,-1.51218,2,"-1.51218, 54.5338"
85981,5,54.53301,-1.51039,2,"-1.51039, 54.53301"
85982,5,54.53312,-1.51058,2,"-1.51058, 54.53312"
85983,5,54.53229,-1.51342,2,"-1.51342, 54.53229"
85984,5,54.53221,-1.5134,2,"-1.5134, 54.53221"
85985,5,54.53237,-1.51808,2,"-1.51808, 54.53237"
85986,5,54.53226,-1.5185,2,"-1.5185, 54.53226"
