node,layer,lat,lon,degree,geometry
156,5,53.50093,-1.18392,4,"-1.18392, 53.50093"
322,5,53.44574,-1.23162,4,"-1.23162, 53.44574"
525,5,53.61279,-0.94997,4,"-0.94997, 53.61279"
602,5,53.48983,-1.25283,4,"-1.25283, 53.48983"
810,5,53.489,-1.24947,6,"-1.24947, 53.489"
928,5,53.50945,-1.09078,4,"-1.09078, 53.50945"
929,5,53.50958,-1.08813,5,"-1.08813, 53.50958"
931,5,53.50825,-1.09382,4,"-1.09382, 53.50825"
933,5,53.50029,-1.08931,4,"-1.08931, 53.50029"
934,5,53.50326,-1.0949,4,"-1.0949, 53.50326"
935,5,53.49794,-1.08442,4,"-1.08442, 53.49794"
1119,5,53.50184,-1.28657,7,"-1.28657, 53.50184"
1120,5,53.50345,-1.2895,4,"-1.2895, 53.50345"
1121,5,53.50362,-1.28881,5,"-1.28881, 53.50362"
1335,5,53.58893,-1.15885,4,"-1.15885, 53.58893"
1392,5,53.52413,-1.27193,4,"-1.27193, 53.52413"
1547,5,53.56457,-1.31615,6,"-1.31615, 53.56457"
1807,5,53.5215,-1.14023,97,"-1.14023, 53.5215"
1897,5,53.44848,-1.20129,4,"-1.20129, 53.44848"
2066,5,53.50724,-1.29405,6,"-1.29405, 53.50724"
2143,5,53.51287,-1.20773,4,"-1.20773, 53.51287"
2147,5,53.51257,-1.19498,6,"-1.19498, 53.51257"
2163,5,53.50571,-1.20411,4,"-1.20411, 53.50571"
2260,5,53.51721,-1.08028,4,"-1.08028, 53.51721"
2264,5,53.5756,-1.00931,4,"-1.00931, 53.5756"
2273,5,53.51629,-1.09971,8,"-1.09971, 53.51629"
2302,5,53.6034,-1.18956,6,"-1.18956, 53.6034"
2303,5,53.62128,-0.95681,4,"-0.95681, 53.62128"
2383,5,53.56344,-1.07491,19,"-1.07491, 53.56344"
2578,5,53.53048,-1.14511,6,"-1.14511, 53.53048"
2934,5,53.53804,-1.09458,4,"-1.09458, 53.53804"
2937,5,53.4305,-1.02251,5,"-1.02251, 53.4305"
2938,5,53.53097,-1.11739,4,"-1.11739, 53.53097"
2975,5,53.54381,-1.10109,4,"-1.10109, 53.54381"
2977,5,53.54246,-1.10502,4,"-1.10502, 53.54246"
2978,5,53.5406,-1.1106,4,"-1.1106, 53.5406"
2983,5,53.53133,-1.12066,6,"-1.12066, 53.53133"
3021,5,53.60531,-0.97121,4,"-0.97121, 53.60531"
3026,5,53.60887,-0.9634,11,"-0.9634, 53.60887"
3428,5,53.49434,-1.15937,6,"-1.15937, 53.49434"
3429,5,53.49339,-1.15622,6,"-1.15622, 53.49339"
3430,5,53.49677,-1.15781,6,"-1.15781, 53.49677"
3431,5,53.64918,-1.01005,4,"-1.01005, 53.64918"
3432,5,53.49946,-1.15931,5,"-1.15931, 53.49946"
3436,5,53.58876,-1.21196,4,"-1.21196, 53.58876"
3437,5,53.48403,-1.25413,4,"-1.25413, 53.48403"
3507,5,53.58892,-1.02405,23,"-1.02405, 53.58892"
3973,5,53.47092,-1.08053,8,"-1.08053, 53.47092"
3977,5,53.47184,-1.07317,7,"-1.07317, 53.47184"
4269,5,53.5448,-1.16115,4,"-1.16115, 53.5448"
4274,5,53.54726,-1.15995,5,"-1.15995, 53.54726"
4664,5,53.54591,-1.16814,4,"-1.16814, 53.54591"
4669,5,53.60882,-1.15887,5,"-1.15887, 53.60882"
4843,5,53.48587,-1.00908,10,"-1.00908, 53.48587"
5180,5,53.52908,-1.05,4,"-1.05, 53.52908"
5219,5,53.60266,-1.03238,7,"-1.03238, 53.60266"
5221,5,53.6316,-1.16295,4,"-1.16295, 53.6316"
5222,5,53.58874,-1.18418,6,"-1.18418, 53.58874"
5223,5,53.62901,-1.17635,8,"-1.17635, 53.62901"
5224,5,53.63065,-1.17588,6,"-1.17588, 53.63065"
5240,5,53.47868,-1.22465,7,"-1.22465, 53.47868"
5243,5,53.48879,-1.20323,4,"-1.20323, 53.48879"
5322,5,53.43889,-1.07592,6,"-1.07592, 53.43889"
5323,5,53.44724,-1.06853,6,"-1.06853, 53.44724"
5325,5,53.46401,-1.05903,6,"-1.05903, 53.46401"
5392,5,53.61924,-1.15872,4,"-1.15872, 53.61924"
5541,5,53.59209,-0.95969,5,"-0.95969, 53.59209"
5581,5,53.54032,-1.1802,4,"-1.1802, 53.54032"
5862,5,53.50095,-1.06533,5,"-1.06533, 53.50095"
5863,5,53.50324,-1.06017,7,"-1.06017, 53.50324"
5864,5,53.50243,-1.07175,9,"-1.07175, 53.50243"
5865,5,53.53893,-1.03964,9,"-1.03964, 53.53893"
5866,5,53.50138,-1.06873,4,"-1.06873, 53.50138"
6086,5,53.53828,-1.11032,4,"-1.11032, 53.53828"
6091,5,53.52836,-1.11872,4,"-1.11872, 53.52836"
6094,5,53.53146,-1.11241,5,"-1.11241, 53.53146"
6158,5,53.58116,-1.01009,7,"-1.01009, 53.58116"
6475,5,53.49797,-1.28334,7,"-1.28334, 53.49797"
6542,5,53.45228,-1.02697,4,"-1.02697, 53.45228"
6543,5,53.49922,-1.07458,7,"-1.07458, 53.49922"
6546,5,53.49876,-1.07999,6,"-1.07999, 53.49876"
6547,5,53.49934,-1.07815,5,"-1.07815, 53.49934"
6548,5,53.50651,-1.08482,6,"-1.08482, 53.50651"
6549,5,53.42764,-1.11737,6,"-1.11737, 53.42764"
6550,5,53.50304,-1.08119,6,"-1.08119, 53.50304"
6552,5,53.50026,-1.07695,7,"-1.07695, 53.50026"
6727,5,53.5771,-1.17519,7,"-1.17519, 53.5771"
6729,5,53.58158,-1.17832,6,"-1.17832, 53.58158"
7228,5,53.55698,-1.14977,7,"-1.14977, 53.55698"
7229,5,53.54372,-1.16491,4,"-1.16491, 53.54372"
7264,5,53.5129,-1.14594,4,"-1.14594, 53.5129"
7265,5,53.51868,-1.16954,4,"-1.16954, 53.51868"
7277,5,53.43152,-1.01917,6,"-1.01917, 53.43152"
7299,5,53.43464,-1.01574,4,"-1.01574, 53.43464"
7664,5,53.47424,-1.07688,7,"-1.07688, 53.47424"
7696,5,53.48487,-1.18884,4,"-1.18884, 53.48487"
7700,5,53.48746,-1.02584,8,"-1.02584, 53.48746"
7755,5,53.58762,-1.21364,4,"-1.21364, 53.58762"
7836,5,53.59888,-1.03559,6,"-1.03559, 53.59888"
7906,5,53.57697,-0.97601,5,"-0.97601, 53.57697"
7907,5,53.60598,-1.16559,8,"-1.16559, 53.60598"
7910,5,53.57808,-0.99329,6,"-0.99329, 53.57808"
7914,5,53.59087,-0.96234,6,"-0.96234, 53.59087"
8062,5,53.55822,-1.18383,9,"-1.18383, 53.55822"
8199,5,53.53299,-1.16876,4,"-1.16876, 53.53299"
8201,5,53.53517,-1.16467,4,"-1.16467, 53.53517"
8204,5,53.53128,-1.15046,9,"-1.15046, 53.53128"
8209,5,53.53311,-1.15583,10,"-1.15583, 53.53311"
8341,5,53.61057,-1.01433,4,"-1.01433, 53.61057"
8347,5,53.4878,-1.05293,8,"-1.05293, 53.4878"
8362,5,53.53265,-1.09927,4,"-1.09927, 53.53265"
8366,5,53.53343,-1.10273,4,"-1.10273, 53.53343"
8368,5,53.53436,-1.05199,4,"-1.05199, 53.53436"
8369,5,53.53496,-1.092,7,"-1.092, 53.53496"
8580,5,53.50491,-1.08314,4,"-1.08314, 53.50491"
8636,5,53.59124,-1.0503,6,"-1.0503, 53.59124"
8637,5,53.58881,-1.0544,4,"-1.0544, 53.58881"
8639,5,53.57963,-1.06601,4,"-1.06601, 53.57963"
8640,5,53.5894,-1.06616,4,"-1.06616, 53.5894"
8642,5,53.59517,-1.06227,4,"-1.06227, 53.59517"
9062,5,53.5184,-1.19173,4,"-1.19173, 53.5184"
9074,5,53.61726,-1.18317,4,"-1.18317, 53.61726"
9122,5,53.45518,-1.12707,5,"-1.12707, 53.45518"
9123,5,53.45246,-1.12413,4,"-1.12413, 53.45246"
9124,5,53.51571,-1.13934,7,"-1.13934, 53.51571"
9126,5,53.51329,-1.14057,9,"-1.14057, 53.51329"
9127,5,53.51665,-1.13042,10,"-1.13042, 53.51665"
9128,5,53.51654,-1.12391,4,"-1.12391, 53.51654"
9129,5,53.51578,-1.12735,7,"-1.12735, 53.51578"
9131,5,53.51727,-1.11908,4,"-1.11908, 53.51727"
9853,5,53.49564,-0.9852,8,"-0.9852, 53.49564"
9855,5,53.49344,-1.01029,5,"-1.01029, 53.49344"
9856,5,53.48727,-0.99118,5,"-0.99118, 53.48727"
9857,5,53.49585,-0.99081,9,"-0.99081, 53.49585"
9858,5,53.49019,-1.01545,4,"-1.01545, 53.49019"
9859,5,53.4954,-0.98926,5,"-0.98926, 53.4954"
9990,5,53.58986,-1.18873,7,"-1.18873, 53.58986"
10194,5,53.42813,-1.02074,13,"-1.02074, 53.42813"
10197,5,53.52544,-1.11456,4,"-1.11456, 53.52544"
