node,layer,lat,lon,degree,geometry
373,3,52.5495,-2.0306,17,"-2.0306, 52.5495"
725,3,52.51179,-1.98808,12,"-1.98808, 52.51179"
12135,3,52.51868,-1.99973,15,"-1.99973, 52.51868"
16094,3,52.53052,-2.01092,17,"-2.01092, 52.53052"
19677,3,52.50872,-1.98269,16,"-1.98269, 52.50872"
21587,3,52.52514,-2.00859,14,"-2.00859, 52.52514"
23566,3,52.50538,-1.96401,29,"-1.96401, 52.50538"
41140,3,52.51662,-1.99477,23,"-1.99477, 52.51662"
46316,3,52.54855,-2.02433,4,"-2.02433, 52.54855"
47221,3,52.52047,-2.00454,15,"-2.00454, 52.52047"
