ori_node,des_node,ori_layer,des_layer,minutes,km
1529,93360,5,5,5,5.034
2442,12774,5,5,1,1.245
2442,51489,5,5,1,0.593
3192,228787,5,5,1,0.111
3192,236705,5,5,2,0.433
3192,238532,5,5,1,0.164
3192,258290,5,5,1,0.357
3219,38122,5,5,1,0.467
3219,149027,5,5,1,0.193
3880,3881,5,5,1,0.206
3880,202212,5,5,2,1.027
3881,3880,5,5,1,0.206
3881,231102,5,5,1,0.19
3884,8994,5,5,1,0.297
4025,34295,5,5,1,0.133
4025,73934,5,5,1,0.147
4349,4349,5,5,1,0
4349,23153,5,5,1,0.614
4349,86054,5,5,1,0.393
4760,4760,5,5,1,0
4760,7578,5,5,1,0.572
4760,95854,5,5,2,1.305
4760,219715,5,5,2,0.536
4897,4958,5,5,1,0.09
4897,11568,5,5,2,0.485
4897,17902,5,5,1,0.318
4897,30048,5,5,1,0.266
4958,4897,5,5,1,0.09
4958,4958,5,5,1,0
4958,11568,5,5,1,0.566
4958,20722,5,5,1,0.6
4958,31569,5,5,1,0.688
5702,9775,5,5,1,0.546
5702,34869,5,5,1,0.191
5702,48135,5,5,1,0.323
6159,6159,5,5,1,0
6159,14781,5,5,1,0.534
6159,20831,5,5,1,0.555
6818,35362,5,5,1,0.33
6818,207390,5,5,1,0.366
7577,7578,5,5,1,0.258
7577,248235,5,5,1,0.365
7578,4760,5,5,1,0.572
7578,7577,5,5,1,0.258
7770,7771,5,5,1,0.601
7770,31140,5,5,1,0.578
7771,7770,5,5,1,0.601
7771,26967,5,5,1,0.564
8633,93360,5,5,1,0.227
8850,34523,5,5,1,0.446
8850,48579,5,5,1,0.236
8994,3884,5,5,1,0.297
8994,192492,5,5,1,0.898
9456,57820,5,5,1,0.142
9456,67453,5,5,1,0.557
9456,67454,5,5,1,0.375
9456,251062,5,5,1,0.356
9485,9502,5,5,1,0.76
9485,15307,5,5,1,0.471
9502,9485,5,5,1,0.76
9502,26963,5,5,1,1.067
9775,5702,5,5,1,0.546
9775,95857,5,5,1,0.276
9907,9907,5,5,1,0
9907,112858,5,5,1,0.253
9907,142370,5,5,1,0.651
9907,261016,5,5,1,0.415
9910,9910,5,5,1,0
9910,112857,5,5,1,0.645
9910,142367,5,5,1,0.381
10545,234698,5,5,2,3.078
10577,10578,5,5,1,0.274
10577,16380,5,5,6,4.881
10577,95858,5,5,1,0.119
10578,10577,5,5,1,0.274
10578,236705,5,5,1,0.207
11568,4897,5,5,2,0.485
11568,4958,5,5,1,0.566
11568,17902,5,5,1,0.247
11568,23063,5,5,1,0.329
11568,26782,5,5,1,0.099
11568,46901,5,5,1,0.387
11568,182552,5,5,1,0.329
12774,2442,5,5,1,1.245
12774,12774,5,5,1,0
12774,24752,5,5,1,0.685
12774,47719,5,5,1,0.592
12774,48367,5,5,1,0.618
12774,67455,5,5,1,0.837
13700,62373,5,5,1,0.835
14781,6159,5,5,1,0.534
15307,9485,5,5,1,0.471
15307,17699,5,5,1,0.617
