ori_node,des_node,ori_layer,des_layer,minutes,km
4349,12774,2,2,3,2.606
4349,34388,2,2,2,1.712
4760,27780,2,2,4,3.949
6159,12774,2,2,5,4.891
6159,23506,2,2,4,5.257
6159,24752,2,2,6,5.567
9907,23506,2,2,1,1.695
9910,6159,2,2,8,7.483
9910,23468,2,2,10,9.566
9910,24752,2,2,13,12.471
12774,4349,2,2,2,2.606
12774,6159,2,2,4,4.891
12774,24752,2,2,1,0.685
20722,34388,2,2,2,2.016
23468,9910,2,2,10,9.566
23468,44935,2,2,19,15.177
23506,6159,2,2,3,5.257
23506,9907,2,2,3,1.695
24752,9910,2,2,12,12.471
24752,12774,2,2,1,0.685
24752,27780,2,2,2,0.933
27780,4760,2,2,4,3.949
27780,24752,2,2,1,0.933
31747,44935,2,2,13,10.878
34388,4349,2,2,3,1.712
34388,20722,2,2,2,2.016
44935,23468,2,2,19,15.177
44935,31747,2,2,13,10.878
