node,layer,lat,lon,degree,geometry
4349,2,55.97042,-4.58611,14,"-4.58611, 55.97042"
4760,2,55.93107,-4.49382,15,"-4.49382, 55.93107"
6159,2,55.96037,-4.65306,16,"-4.65306, 55.96037"
9907,2,56.00419,-4.73275,26,"-4.73275, 56.00419"
9910,2,56.01235,-4.72979,17,"-4.72979, 56.01235"
12774,2,55.9474,-4.57785,23,"-4.57785, 55.9474"
20722,2,56.00292,-4.58347,19,"-4.58347, 56.00292"
23468,2,56.07985,-4.82571,16,"-4.82571, 56.07985"
23506,2,55.99478,-4.71123,12,"-4.71123, 55.99478"
24752,2,55.94664,-4.56691,30,"-4.56691, 55.94664"
27780,2,55.94224,-4.55412,23,"-4.55412, 55.94224"
31747,2,56.30195,-4.72164,12,"-4.72164, 56.30195"
34388,2,55.98507,-4.57747,21,"-4.57747, 55.98507"
44935,2,56.20396,-4.72276,26,"-4.72276, 56.20396"
