ori_node,des_node,ori_layer,des_layer,minutes,km
87,9214,5,5,1,0.226
87,15422,5,5,1,0.602
87,20988,5,5,1,0.222
163,16462,5,5,1,0.1
163,24341,5,5,1,0.167
163,32889,5,5,1,0.143
163,37721,5,5,1,0.396
205,278,5,5,1,0.208
205,42301,5,5,1,0.175
205,125992,5,5,1,0.159
278,205,5,5,1,0.208
278,10373,5,5,1,0.127
278,11987,5,5,1,0.172
278,50892,5,5,1,0.185
324,37972,5,5,1,0.275
324,42489,5,5,1,0.193
324,47714,5,5,1,0.182
433,433,5,5,2,0
433,4323,5,5,3,3.42
433,40437,5,5,1,0.496
709,17997,5,5,1,0.338
709,38381,5,5,1,0.345
758,47234,5,5,3,1.952
758,104624,5,5,5,3.279
821,11839,5,5,3,1.024
821,98613,5,5,4,1.901
852,8749,5,5,1,0.289
852,32349,5,5,1,0.322
890,13185,5,5,2,1.168
890,27357,5,5,1,0.637
890,44421,5,5,1,0.164
1030,1030,5,5,1,0
1030,9461,5,5,1,0.485
1030,16939,5,5,1,0.396
1186,18946,5,5,3,2.833
1186,33535,5,5,6,4.733
1186,40437,5,5,6,4.187
1186,69991,5,5,1,0.87
1186,195071,5,5,1,0.866
1293,15971,5,5,1,0.192
1293,32361,5,5,2,0.359
1293,37108,5,5,1,0.424
1433,40028,5,5,1,0.403
1433,40032,5,5,1,0.44
1433,47292,5,5,1,0.192
1455,42406,5,5,1,0.419
1455,43281,5,5,1,0.127
1556,17506,5,5,1,0.176
1556,42504,5,5,1,0.128
1556,43281,5,5,1,0.284
1712,1714,5,5,1,0.294
1712,20832,5,5,1,0.398
1712,127381,5,5,1,0.091
1714,1712,5,5,1,0.294
1714,127381,5,5,1,0.338
1714,212289,5,5,1,0.184
1741,19086,5,5,1,0.114
1741,27248,5,5,1,0.107
1741,29526,5,5,1,0.224
1741,36702,5,5,1,0.268
1741,51067,5,5,1,0.224
1741,161382,5,5,1,0.056
1819,10783,5,5,1,0.224
1819,10928,5,5,2,1.183
1819,13854,5,5,1,0.258
1819,112587,5,5,1,0.527
1819,116740,5,5,1,0.18
1839,22654,5,5,1,0.397
1839,34037,5,5,1,0.268
1839,254419,5,5,1,0.299
1892,28725,5,5,1,0.206
1892,55549,5,5,1,0.232
1978,1978,5,5,1,0
1978,2797,5,5,13,6.504
1978,3149,5,5,1,0.551
1978,17015,5,5,1,0.5
1978,29205,5,5,1,0.649
1978,29212,5,5,6,3.66
1978,29388,5,5,1,0.556
1978,34535,5,5,10,7.209
1978,51428,5,5,1,0.642
1978,67019,5,5,1,0.349
1978,187355,5,5,1,0.272
1978,221753,5,5,1,0.282
2030,2030,5,5,1,0
2030,76546,5,5,1,0.211
2104,7685,5,5,1,0.234
2104,20486,5,5,1,0.29
2306,16570,5,5,1,0.205
2306,17513,5,5,1,0.261
2306,45866,5,5,3,0.802
2306,115283,5,5,1,0.24
2306,168293,5,5,5,0.921
2306,217965,5,5,1,0.292
2306,235901,5,5,1,0.285
2385,3943,5,5,1,0.266
2385,3944,5,5,1,0.345
2385,23717,5,5,1,0.328
2385,36505,5,5,1,0.503
2432,14126,5,5,1,1.761
2432,20992,5,5,3,1.764
2432,77790,5,5,2,2.561
2450,21222,5,5,1,0.149
2485,7492,5,5,1,0.608
2485,234890,5,5,1,0.414
2569,39685,5,5,1,0.267
2569,45855,5,5,1,0.431
2569,243011,5,5,1,0.497
2797,1978,5,5,13,6.504
2797,4314,5,5,1,0.251
2797,15371,5,5,13,3.194
