node,layer,lat,lon,degree,geometry
87,5,56.47687,-2.92255,6,"-2.92255, 56.47687"
163,5,56.4738,-2.99416,8,"-2.99416, 56.4738"
205,5,56.47568,-2.96613,6,"-2.96613, 56.47568"
278,5,56.4775,-2.96698,8,"-2.96698, 56.4775"
324,5,56.4917,-2.98398,6,"-2.98398, 56.4917"
433,5,56.72941,-2.69173,7,"-2.69173, 56.72941"
709,5,56.47224,-2.9009,4,"-2.9009, 56.47224"
758,5,56.46665,-3.20407,4,"-3.20407, 56.46665"
821,5,56.51478,-2.85174,4,"-2.85174, 56.51478"
852,5,56.43255,-2.95671,4,"-2.95671, 56.43255"
890,5,56.65166,-2.86961,6,"-2.86961, 56.65166"
1030,5,56.49377,-3.01498,6,"-3.01498, 56.49377"
1186,5,56.70878,-2.74056,9,"-2.74056, 56.70878"
1293,5,56.49481,-3.06084,5,"-3.06084, 56.49481"
1433,5,56.46848,-2.93497,6,"-2.93497, 56.46848"
1455,5,56.4722,-3.04959,5,"-3.04959, 56.4722"
1556,5,56.47174,-3.04339,5,"-3.04339, 56.47174"
1712,5,56.44598,-2.88055,7,"-2.88055, 56.44598"
1714,5,56.44367,-2.8829,6,"-2.8829, 56.44367"
1741,5,56.66794,-3.00542,11,"-3.00542, 56.66794"
1819,5,56.46748,-3.04583,8,"-3.04583, 56.46748"
1839,5,56.47756,-3.00119,5,"-3.00119, 56.47756"
1892,5,56.49994,-2.73077,4,"-2.73077, 56.49994"
1978,5,56.4801,-2.81824,31,"-2.81824, 56.4801"
2030,5,56.4808,-2.96564,4,"-2.96564, 56.4808"
2104,5,56.46702,-2.94794,4,"-2.94794, 56.46702"
2306,5,56.64418,-2.8885,10,"-2.8885, 56.64418"
2385,5,56.47206,-3.0296,8,"-3.0296, 56.47206"
2432,5,56.66209,-3.03659,6,"-3.03659, 56.66209"
2450,5,56.4432,-2.93799,5,"-2.93799, 56.4432"
2485,5,56.4875,-2.93063,4,"-2.93063, 56.4875"
2569,5,56.48679,-2.92087,6,"-2.92087, 56.48679"
2797,5,56.46911,-2.92244,10,"-2.92244, 56.46911"
2939,5,56.63192,-2.89611,6,"-2.89611, 56.63192"
3149,5,56.48403,-2.82375,4,"-2.82375, 56.48403"
3370,5,56.49119,-2.9726,7,"-2.9726, 56.49119"
3396,5,56.47246,-2.87089,4,"-2.87089, 56.47246"
3399,5,56.46638,-2.98141,4,"-2.98141, 56.46638"
3471,5,56.45743,-2.99653,5,"-2.99653, 56.45743"
3519,5,56.48914,-2.93616,7,"-2.93616, 56.48914"
3546,5,56.4887,-2.93221,7,"-2.93221, 56.4887"
3941,5,56.47165,-3.01594,6,"-3.01594, 56.47165"
3942,5,56.4717,-3.01843,4,"-3.01843, 56.4717"
3943,5,56.47178,-3.02529,6,"-3.02529, 56.47178"
3944,5,56.472,-3.03524,8,"-3.03524, 56.472"
3952,5,56.45135,-3.07376,7,"-3.07376, 56.45135"
4186,5,56.48027,-2.85929,4,"-2.85929, 56.48027"
4313,5,56.47026,-2.91221,4,"-2.91221, 56.47026"
4314,5,56.46944,-2.91838,6,"-2.91838, 56.46944"
4322,5,56.47767,-3.01789,8,"-3.01789, 56.47767"
4323,5,56.72312,-2.74671,8,"-2.74671, 56.72312"
4343,5,56.48347,-3.08421,4,"-3.08421, 56.48347"
4354,5,56.47378,-2.86626,6,"-2.86626, 56.47378"
4508,5,56.50562,-3.01376,9,"-3.01376, 56.50562"
4569,5,56.45968,-3.02247,4,"-3.02247, 56.45968"
4572,5,56.46054,-3.00021,4,"-3.00021, 56.46054"
4574,5,56.46474,-2.96251,5,"-2.96251, 56.46474"
4673,5,56.63627,-2.89975,4,"-2.89975, 56.63627"
4924,5,56.63907,-2.90653,9,"-2.90653, 56.63907"
4989,5,56.68353,-3.14996,6,"-3.14996, 56.68353"
4990,5,56.45355,-2.99462,4,"-2.99462, 56.45355"
4992,5,56.72142,-3.25693,6,"-3.25693, 56.72142"
5045,5,56.47558,-3.0291,6,"-3.0291, 56.47558"
5076,5,56.631,-2.75705,4,"-2.75705, 56.631"
5077,5,56.72581,-2.65235,4,"-2.65235, 56.72581"
5078,5,56.72873,-2.65412,9,"-2.65412, 56.72873"
5133,5,56.45646,-3.0574,23,"-3.0574, 56.45646"
5159,5,56.47098,-2.98109,4,"-2.98109, 56.47098"
5228,5,56.49127,-2.97416,6,"-2.97416, 56.49127"
5229,5,56.491,-2.97655,5,"-2.97655, 56.491"
5617,5,56.61511,-2.81231,4,"-2.81231, 56.61511"
5618,5,56.76656,-2.51129,11,"-2.51129, 56.76656"
5741,5,56.46878,-2.9798,4,"-2.9798, 56.46878"
6061,5,56.4855,-3.08508,6,"-3.08508, 56.4855"
6063,5,56.55801,-3.14643,5,"-3.14643, 56.55801"
6634,5,56.47307,-2.8914,5,"-2.8914, 56.47307"
6638,5,56.48469,-3.00606,8,"-3.00606, 56.48469"
6682,5,56.55574,-2.92821,4,"-2.92821, 56.55574"
6707,5,56.47028,-3.03072,5,"-3.03072, 56.47028"
6709,5,56.48996,-2.90223,6,"-2.90223, 56.48996"
6862,5,56.4756,-2.85414,4,"-2.85414, 56.4756"
7001,5,56.46787,-3.00011,4,"-3.00011, 56.46787"
7051,5,56.46721,-3.00349,5,"-3.00349, 56.46721"
7345,5,56.672,-3.2161,6,"-3.2161, 56.672"
7414,5,56.79856,-3.32904,8,"-3.32904, 56.79856"
7492,5,56.49296,-2.93145,10,"-2.93145, 56.49296"
7496,5,56.67825,-3.01652,5,"-3.01652, 56.67825"
7558,5,56.40213,-3.01402,4,"-3.01402, 56.40213"
7682,5,56.49016,-2.83303,14,"-2.83303, 56.49016"
7685,5,56.46661,-2.95169,4,"-2.95169, 56.46661"
8009,5,56.63565,-2.89743,4,"-2.89743, 56.63565"
8291,5,56.67506,-3.13964,5,"-3.13964, 56.67506"
8406,5,56.47488,-3.0069,6,"-3.0069, 56.47488"
8407,5,56.47442,-2.99837,10,"-2.99837, 56.47442"
8487,5,56.46642,-3.03617,6,"-3.03617, 56.46642"
8518,5,56.67249,-3.20303,4,"-3.20303, 56.67249"
8586,5,56.65186,-2.87758,5,"-2.87758, 56.65186"
8596,5,56.48363,-3.05819,6,"-3.05819, 56.48363"
8749,5,56.43127,-2.96082,5,"-2.96082, 56.43127"
8941,5,56.62872,-2.77076,6,"-2.77076, 56.62872"
9198,5,56.46624,-2.96642,5,"-2.96642, 56.46624"
9214,5,56.47496,-2.92387,6,"-2.92387, 56.47496"
9446,5,56.47014,-3.00256,5,"-3.00256, 56.47014"
9448,5,56.4711,-2.99838,6,"-2.99838, 56.4711"
9461,5,56.49225,-3.00755,10,"-3.00755, 56.49225"
9503,5,56.66682,-2.99172,4,"-2.99172, 56.66682"
9635,5,56.48292,-2.93575,6,"-2.93575, 56.48292"
9636,5,56.47,-2.9627,5,"-2.9627, 56.47"
9638,5,56.47834,-2.90223,6,"-2.90223, 56.47834"
9727,5,56.45594,-2.98862,4,"-2.98862, 56.45594"
9886,5,56.46723,-3.00146,4,"-3.00146, 56.46723"
9909,5,56.46554,-3.0223,4,"-3.0223, 56.46554"
10078,5,56.53108,-2.94555,7,"-2.94555, 56.53108"
10080,5,56.68111,-3.00609,6,"-3.00609, 56.68111"
10162,5,56.47113,-2.95914,9,"-2.95914, 56.47113"
10169,5,56.48655,-3.00535,8,"-3.00535, 56.48655"
10370,5,56.48168,-2.93863,4,"-2.93863, 56.48168"
10371,5,56.48318,-2.94339,4,"-2.94339, 56.48318"
10373,5,56.4777,-2.96902,7,"-2.96902, 56.4777"
10473,5,56.63763,-2.90253,4,"-2.90253, 56.63763"
10776,5,56.42373,-3.22276,10,"-3.22276, 56.42373"
10777,5,56.42762,-3.21391,4,"-3.21391, 56.42762"
10781,5,56.4657,-3.03123,4,"-3.03123, 56.4657"
10783,5,56.46578,-3.04386,5,"-3.04386, 56.46578"
10928,5,56.46017,-3.03178,5,"-3.03178, 56.46017"
10929,5,56.46832,-2.97477,5,"-2.97477, 56.46832"
10936,5,56.46049,-2.99591,8,"-2.99591, 56.46049"
10949,5,56.64643,-2.8792,8,"-2.8792, 56.64643"
11004,5,56.47156,-2.88065,7,"-2.88065, 56.47156"
11204,5,56.49347,-3.0214,5,"-3.0214, 56.49347"
