ori_node,des_node,ori_layer,des_layer,minutes,km
80,80,5,5,1,0
80,23249,5,5,1,0.546
80,34773,5,5,1,0.524
80,138226,5,5,3,0.778
80,159669,5,5,1,0.335
99,103,5,5,1,0.279
99,19046,5,5,2,0.59
99,38211,5,5,1,0.219
99,97065,5,5,6,0.459
99,161304,5,5,1,0.339
100,38210,5,5,1,0.305
100,47661,5,5,1,0.976
103,99,5,5,1,0.279
103,161304,5,5,1,0.203
103,180881,5,5,1,0.043
103,190051,5,5,1,0.227
192,193,5,5,2,0.488
192,11359,5,5,1,0.122
193,112527,5,5,1,0.26
193,181338,5,5,1,0.208
225,1787,5,5,1,0.168
225,143392,5,5,1,0.233
356,656,5,5,2,0.433
356,18404,5,5,1,0.133
356,64548,5,5,1,0.181
398,45597,5,5,4,2.994
398,78289,5,5,1,0.258
398,81311,5,5,1,0.191
398,147068,5,5,2,1.506
643,19120,5,5,1,0.21
643,37730,5,5,1,0.253
656,356,5,5,1,0.433
656,5091,5,5,1,0.227
688,33158,5,5,1,0.391
688,33160,5,5,1,0.269
688,33221,5,5,1,0.197
784,23141,5,5,1,0.211
784,26470,5,5,1,0.054
792,4697,5,5,1,0.191
792,6381,5,5,1,0.302
796,4705,5,5,1,0.259
796,31161,5,5,1,0.225
812,815,5,5,1,0.27
812,45781,5,5,4,4.733
814,815,5,5,1,0.142
814,13347,5,5,9,4.942
814,43506,5,5,5,2.441
814,152548,5,5,5,6.803
815,812,5,5,1,0.27
815,814,5,5,1,0.142
817,33404,5,5,1,0.127
817,45784,5,5,1,0.213
817,110577,5,5,1,0.352
937,1363,5,5,1,0.349
937,17961,5,5,2,0.943
937,31984,5,5,1,0.206
939,33907,5,5,1,0.752
939,34398,5,5,1,0.312
951,16745,5,5,1,0.998
951,20344,5,5,1,0.371
951,47852,5,5,1,0.272
976,17180,5,5,1,0.206
976,22163,5,5,1,0.255
976,31374,5,5,1,0.42
982,24897,5,5,1,0.301
982,35062,5,5,1,0.208
982,46538,5,5,1,0.2
982,49631,5,5,1,0.294
1069,58329,5,5,1,0.282
1069,157486,5,5,1,0.064
1070,35462,5,5,1,0.132
1070,35556,5,5,1,0.329
1070,39721,5,5,1,0.206
1168,12172,5,5,1,0.139
1168,105635,5,5,1,0.231
1174,19121,5,5,1,0.199
1174,47218,5,5,1,0.154
1175,39900,5,5,1,0.371
1175,42761,5,5,1,0.243
1175,51158,5,5,2,0.859
1202,14773,5,5,1,0.105
1202,47770,5,5,1,0.314
