ori_node,des_node,ori_layer,des_layer,minutes,km
18297,123188,5,5,1,0.314
20123,20123,5,5,1,0
20123,98641,5,5,1,0.272
20123,98642,5,5,1,0.285
20123,104618,5,5,1,0.569
20123,117467,5,5,1,0.25
20123,126276,5,5,1,0.297
20123,208822,5,5,1,0.816
20123,214489,5,5,1,0.564
20123,261484,5,5,2,0.822
29611,29611,5,5,1,0
29611,77305,5,5,1,0.773
29611,77306,5,5,1,0.754
29611,77308,5,5,3,0.782
29611,106460,5,5,1,0.316
29611,173292,5,5,1,0.273
29611,259174,5,5,1,0.347
33256,33256,5,5,1,0
33256,178673,5,5,1,0.358
33256,205108,5,5,2,0.377
49252,49252,5,5,1,0
49252,213509,5,5,1,0.277
49252,223405,5,5,1,1.147
51524,143770,5,5,1,2.043
51524,184927,5,5,4,3.168
51604,175090,5,5,1,0.256
51629,80537,5,5,1,0.293
51632,61311,5,5,1,0.177
51632,110161,5,5,1,0.218
51632,121326,5,5,1,0.992
51742,252682,5,5,1,0.209
51744,158984,5,5,1,0.251
51763,189148,5,5,1,0.334
51764,203794,5,5,1,0.365
51853,106523,5,5,1,0.31
52000,80894,5,5,1,0.381
52003,61704,5,5,1,0.357
52153,61931,5,5,1,1.796
52515,62215,5,5,1,0.522
52516,120364,5,5,1,0.184
52859,94674,5,5,3,0.143
52860,94674,5,5,3,0.169
52862,234109,5,5,3,1.571
53204,96076,5,5,1,0.263
53307,155261,5,5,2,0.294
53333,86665,5,5,1,0.132
53333,248834,5,5,1,0.971
53334,76980,5,5,1,0.361
53380,202164,5,5,1,0.278
54117,176710,5,5,1,0.164
54160,235533,5,5,1,3.216
54164,220335,5,5,1,0.763
54414,83236,5,5,1,0.532
54414,142911,5,5,1,0.555
54416,142911,5,5,3,0.623
54416,161542,5,5,1,0.351
54650,206588,5,5,2,0.532
54905,97785,5,5,4,1.65
54905,129552,5,5,2,0.227
54906,156825,5,5,1,2.532
54992,88186,5,5,1,0.717
55033,197410,5,5,1,0.226
