node,layer,lat,lon,degree,geometry
18297,5,54.6268,-1.63754,12,"-1.63754, 54.6268"
20123,5,54.77939,-1.58176,46,"-1.58176, 54.77939"
29611,5,54.65747,-1.67757,27,"-1.67757, 54.65747"
33256,5,54.74307,-2.00391,12,"-2.00391, 54.74307"
49252,5,54.727,-1.96441,14,"-1.96441, 54.727"
51524,5,54.52286,-1.87873,3,"-1.87873, 54.52286"
51604,5,54.62242,-1.59711,2,"-1.59711, 54.62242"
51629,5,54.76576,-1.65282,3,"-1.65282, 54.76576"
51632,5,54.76568,-1.65266,4,"-1.65266, 54.76568"
51742,5,54.63166,-1.63498,2,"-1.63498, 54.63166"
51744,5,54.63148,-1.63449,2,"-1.63449, 54.63148"
51763,5,54.72765,-1.95207,2,"-1.95207, 54.72765"
51764,5,54.72781,-1.95174,2,"-1.95174, 54.72781"
51853,5,54.76841,-1.64585,2,"-1.64585, 54.76841"
52000,5,54.78095,-1.66425,2,"-1.66425, 54.78095"
52003,5,54.78081,-1.6638,3,"-1.6638, 54.78081"
52153,5,54.75302,-2.08497,2,"-2.08497, 54.75302"
52515,5,54.65886,-1.61532,2,"-1.61532, 54.65886"
52516,5,54.65882,-1.61439,2,"-1.61439, 54.65882"
52859,5,54.6249,-2.08367,2,"-2.08367, 54.6249"
52860,5,54.62529,-2.08344,2,"-2.08344, 54.62529"
52862,5,54.6249,-2.08367,2,"-2.08367, 54.6249"
53204,5,54.6464,-1.64175,2,"-1.64175, 54.6464"
53307,5,54.62678,-1.76494,2,"-1.76494, 54.62678"
53333,5,54.65843,-1.71329,3,"-1.71329, 54.65843"
53334,5,54.65826,-1.71309,3,"-1.71309, 54.65826"
53380,5,54.7325,-1.75075,2,"-1.75075, 54.7325"
54117,5,54.64628,-1.69563,3,"-1.69563, 54.64628"
54160,5,54.57386,-1.93718,2,"-1.93718, 54.57386"
54164,5,54.57392,-1.93707,2,"-1.93707, 54.57392"
54414,5,54.62381,-1.56055,3,"-1.56055, 54.62381"
54416,5,54.62386,-1.55935,4,"-1.55935, 54.62386"
54650,5,54.55153,-1.96605,2,"-1.96605, 54.55153"
54905,5,54.59568,-2.01026,5,"-2.01026, 54.59568"
54906,5,54.59558,-2.01026,2,"-2.01026, 54.59558"
54992,5,54.68361,-1.43625,3,"-1.43625, 54.68361"
55033,5,54.62214,-1.63872,4,"-1.63872, 54.62214"
55035,5,54.6223,-1.63891,4,"-1.63891, 54.6223"
55268,5,54.68956,-1.61591,2,"-1.61591, 54.68956"
55618,5,54.75305,-2.08487,2,"-2.08487, 54.75305"
55799,5,54.71384,-1.57057,2,"-1.57057, 54.71384"
55800,5,54.71508,-1.57199,2,"-1.57199, 54.71508"
55962,5,54.64762,-1.7028,5,"-1.7028, 54.64762"
56006,5,54.77688,-1.71286,2,"-1.71286, 54.77688"
56068,5,54.65622,-1.59414,2,"-1.59414, 54.65622"
56069,5,54.65628,-1.59491,2,"-1.59491, 54.65628"
56322,5,54.7725,-1.59234,4,"-1.59234, 54.7725"
56323,5,54.77236,-1.59257,5,"-1.59257, 54.77236"
56361,5,54.76565,-1.43634,2,"-1.43634, 54.76565"
56362,5,54.7663,-1.43612,2,"-1.43612, 54.7663"
56604,5,54.63008,-1.66988,2,"-1.66988, 54.63008"
56648,5,54.74282,-1.63852,4,"-1.63852, 54.74282"
56650,5,54.74196,-1.64016,3,"-1.64016, 54.74196"
56973,5,54.71835,-1.41545,2,"-1.41545, 54.71835"
56979,5,54.71843,-1.4164,4,"-1.4164, 54.71843"
57257,5,54.7686,-1.57514,2,"-1.57514, 54.7686"
57365,5,54.7694,-1.57337,5,"-1.57337, 54.7694"
57485,5,54.8107,-1.50395,2,"-1.50395, 54.8107"
57486,5,54.80961,-1.50471,3,"-1.50471, 54.80961"
57487,5,54.80998,-1.50546,2,"-1.50546, 54.80998"
57528,5,54.66605,-1.73066,2,"-1.73066, 54.66605"
57529,5,54.66608,-1.73048,2,"-1.73048, 54.66608"
57535,5,54.7024,-1.58683,2,"-1.58683, 54.7024"
57536,5,54.7025,-1.58705,3,"-1.58705, 54.7025"
57869,5,54.6171,-1.59262,2,"-1.59262, 54.6171"
57870,5,54.61738,-1.59259,2,"-1.59259, 54.61738"
57871,5,54.674,-1.55682,2,"-1.55682, 54.674"
57872,5,54.67383,-1.55705,2,"-1.55705, 54.67383"
57917,5,54.76912,-1.71325,2,"-1.71325, 54.76912"
57918,5,54.76921,-1.71319,2,"-1.71319, 54.76921"
57958,5,54.76256,-1.46674,2,"-1.46674, 54.76256"
57961,5,54.76265,-1.46649,2,"-1.46649, 54.76265"
57988,5,54.53254,-1.86146,2,"-1.86146, 54.53254"
57990,5,54.53237,-1.86168,2,"-1.86168, 54.53237"
58017,5,54.66211,-1.67519,2,"-1.67519, 54.66211"
58226,5,54.54964,-1.9123,2,"-1.9123, 54.54964"
58833,5,54.67632,-1.64159,2,"-1.64159, 54.67632"
58834,5,54.6756,-1.64213,2,"-1.64213, 54.6756"
58950,5,54.65994,-1.45142,4,"-1.45142, 54.65994"
58984,5,54.68505,-1.62977,4,"-1.62977, 54.68505"
58986,5,54.68541,-1.62836,4,"-1.62836, 54.68541"
59099,5,54.64582,-1.65964,3,"-1.65964, 54.64582"
59100,5,54.64566,-1.65889,3,"-1.65889, 54.64566"
59132,5,54.73101,-1.66395,2,"-1.66395, 54.73101"
59133,5,54.73111,-1.66405,2,"-1.66405, 54.73111"
59175,5,54.7182,-1.75776,2,"-1.75776, 54.7182"
59176,5,54.71825,-1.75786,2,"-1.75786, 54.71825"
59197,5,54.79163,-1.53559,1,"-1.53559, 54.79163"
59198,5,54.7874,-1.54126,1,"-1.54126, 54.7874"
59218,5,54.70205,-1.58033,2,"-1.58033, 54.70205"
59219,5,54.70225,-1.57876,3,"-1.57876, 54.70225"
59295,5,54.64992,-1.50815,2,"-1.50815, 54.64992"
59296,5,54.65013,-1.50784,3,"-1.50784, 54.65013"
59312,5,54.62209,-1.57733,2,"-1.57733, 54.62209"
59313,5,54.62186,-1.57761,2,"-1.57761, 54.62186"
59447,5,54.64309,-1.69389,2,"-1.69389, 54.64309"
59456,5,54.73703,-2.11912,2,"-2.11912, 54.73703"
59493,5,54.75924,-1.72732,2,"-1.72732, 54.75924"
59494,5,54.75938,-1.72715,2,"-1.72715, 54.75938"
59525,5,54.74042,-1.78104,2,"-1.78104, 54.74042"
59526,5,54.74046,-1.7804,2,"-1.7804, 54.74046"
59622,5,54.74887,-1.63701,3,"-1.63701, 54.74887"
59653,5,54.75275,-1.53974,3,"-1.53974, 54.75275"
59771,5,54.74184,-1.81227,3,"-1.81227, 54.74184"
59772,5,54.74176,-1.81107,3,"-1.81107, 54.74176"
59833,5,54.77569,-1.63418,3,"-1.63418, 54.77569"
59835,5,54.77547,-1.63378,2,"-1.63378, 54.77547"
59961,5,54.7202,-1.47687,2,"-1.47687, 54.7202"
59999,5,54.61974,-1.76566,3,"-1.76566, 54.61974"
60001,5,54.61962,-1.7657,2,"-1.7657, 54.61962"
60254,5,54.68855,-1.64843,2,"-1.64843, 54.68855"
60301,5,54.66601,-1.57105,2,"-1.57105, 54.66601"
60870,5,54.64519,-1.67952,2,"-1.67952, 54.64519"
60871,5,54.64509,-1.67976,2,"-1.67976, 54.64509"
60876,5,54.65077,-1.69206,6,"-1.69206, 54.65077"
60927,5,54.77354,-1.48576,2,"-1.48576, 54.77354"
60928,5,54.77302,-1.48414,2,"-1.48414, 54.77302"
61303,5,54.61995,-1.58352,6,"-1.58352, 54.61995"
61311,5,54.76657,-1.65035,3,"-1.65035, 54.76657"
61703,5,54.68859,-1.62372,2,"-1.62372, 54.68859"
61704,5,54.78127,-1.66932,2,"-1.66932, 54.78127"
61705,5,54.78141,-1.66991,2,"-1.66991, 54.78141"
61840,5,54.76019,-1.60752,2,"-1.60752, 54.76019"
61931,5,54.76904,-2.08891,2,"-2.08891, 54.76904"
61932,5,54.76907,-2.08882,2,"-2.08882, 54.76907"
62000,5,54.78521,-1.58974,2,"-1.58974, 54.78521"
62215,5,54.66353,-1.61631,2,"-1.61631, 54.66353"
62216,5,54.66343,-1.61617,2,"-1.61617, 54.66343"
62752,5,54.70615,-1.70774,2,"-1.70774, 54.70615"
63010,5,54.63044,-1.62887,3,"-1.62887, 54.63044"
63011,5,54.63046,-1.62905,3,"-1.62905, 54.63046"
63105,5,54.74919,-1.62521,2,"-1.62521, 54.74919"
63375,5,54.66955,-1.68949,2,"-1.68949, 54.66955"
63540,5,54.7027,-1.54037,2,"-1.54037, 54.7027"
63857,5,54.72055,-1.40635,4,"-1.40635, 54.72055"
64035,5,54.62958,-1.57673,5,"-1.57673, 54.62958"
64036,5,54.62957,-1.57623,6,"-1.57623, 54.62957"
64080,5,54.66265,-2.20676,2,"-2.20676, 54.66265"
64081,5,54.6627,-2.20664,2,"-2.20664, 54.6627"
64091,5,54.6627,-2.20664,2,"-2.20664, 54.6627"
64177,5,54.53417,-1.76854,3,"-1.76854, 54.53417"
64632,5,54.74219,-1.81456,3,"-1.81456, 54.74219"
64968,5,54.79382,-1.52249,3,"-1.52249, 54.79382"
65399,5,54.7771,-1.58184,2,"-1.58184, 54.7771"
65583,5,54.75796,-1.75636,2,"-1.75636, 54.75796"
65584,5,54.75799,-1.75648,2,"-1.75648, 54.75799"
65592,5,54.69158,-1.5933,2,"-1.5933, 54.69158"
65593,5,54.69119,-1.59343,2,"-1.59343, 54.69119"
65708,5,54.69827,-2.29134,4,"-2.29134, 54.69827"
65750,5,54.6301,-1.90306,2,"-1.90306, 54.6301"
65849,5,54.76439,-1.55662,2,"-1.55662, 54.76439"
65896,5,54.62918,-1.59216,2,"-1.59216, 54.62918"
65897,5,54.62923,-1.59298,3,"-1.59298, 54.62923"
65954,5,54.76333,-1.59224,2,"-1.59224, 54.76333"
65955,5,54.76376,-1.59242,2,"-1.59242, 54.76376"
65965,5,54.76445,-1.43624,2,"-1.43624, 54.76445"
65967,5,54.76433,-1.43636,2,"-1.43636, 54.76433"
66096,5,54.57039,-1.98133,2,"-1.98133, 54.57039"
66099,5,54.57028,-1.98124,2,"-1.98124, 54.57028"
66254,5,54.8562,-1.98506,3,"-1.98506, 54.8562"
66255,5,54.85616,-1.98522,2,"-1.98522, 54.85616"
66264,5,54.74891,-1.62461,7,"-1.62461, 54.74891"
66265,5,54.74948,-1.62311,5,"-1.62311, 54.74948"
66575,5,54.69719,-1.50809,4,"-1.50809, 54.69719"
66625,5,54.68769,-1.56149,3,"-1.56149, 54.68769"
66931,5,54.70854,-1.58966,4,"-1.58966, 54.70854"
66932,5,54.70928,-1.58911,3,"-1.58911, 54.70928"
67021,5,54.67938,-1.74503,2,"-1.74503, 54.67938"
67026,5,54.64489,-1.64866,2,"-1.64866, 54.64489"
67114,5,54.81204,-1.50107,2,"-1.50107, 54.81204"
67115,5,54.81235,-1.50105,2,"-1.50105, 54.81235"
67149,5,54.7128,-1.58882,2,"-1.58882, 54.7128"
67194,5,54.65111,-1.45589,4,"-1.45589, 54.65111"
67195,5,54.65114,-1.45557,2,"-1.45557, 54.65114"
67217,5,54.61665,-1.57042,3,"-1.57042, 54.61665"
67218,5,54.61637,-1.57016,2,"-1.57016, 54.61637"
67222,5,54.68995,-1.6099,2,"-1.6099, 54.68995"
67229,5,54.68989,-1.60981,2,"-1.60981, 54.68989"
67284,5,54.70426,-1.69585,2,"-1.69585, 54.70426"
67285,5,54.70386,-1.6985,2,"-1.6985, 54.70386"
67361,5,54.51738,-2.01894,2,"-2.01894, 54.51738"
67362,5,54.65535,-1.70703,3,"-1.70703, 54.65535"
67467,5,54.7277,-1.76049,4,"-1.76049, 54.7277"
67514,5,54.66422,-1.55021,2,"-1.55021, 54.66422"
67516,5,54.66403,-1.55118,2,"-1.55118, 54.66403"
67525,5,54.78683,-1.52623,3,"-1.52623, 54.78683"
67651,5,54.76474,-1.46938,2,"-1.46938, 54.76474"
67653,5,54.81681,-1.49506,2,"-1.49506, 54.81681"
67655,5,54.76478,-1.46923,2,"-1.46923, 54.76478"
67659,5,54.66349,-1.67485,10,"-1.67485, 54.66349"
67681,5,54.54241,-1.81532,2,"-1.81532, 54.54241"
67682,5,54.54252,-1.8155,2,"-1.8155, 54.54252"
67747,5,54.71235,-1.76773,2,"-1.76773, 54.71235"
67749,5,54.71243,-1.76775,2,"-1.76775, 54.71243"
67965,5,54.62165,-1.76218,2,"-1.76218, 54.62165"
67966,5,54.62163,-1.76246,2,"-1.76246, 54.62163"
68172,5,54.699,-1.6788,4,"-1.6788, 54.699"
68177,5,54.69909,-1.67879,4,"-1.67879, 54.69909"
68195,5,54.67956,-1.48205,3,"-1.48205, 54.67956"
68463,5,54.68285,-1.64338,2,"-1.64338, 54.68285"
68464,5,54.68238,-1.64259,2,"-1.64259, 54.68238"
68726,5,54.65425,-1.65806,2,"-1.65806, 54.65425"
68728,5,54.65422,-1.65792,2,"-1.65792, 54.65422"
68756,5,54.7301,-1.71432,2,"-1.71432, 54.7301"
68758,5,54.73001,-1.71431,2,"-1.71431, 54.73001"
68795,5,54.68125,-1.43533,2,"-1.43533, 54.68125"
68796,5,54.68116,-1.43536,2,"-1.43536, 54.68116"
68863,5,54.71972,-1.75555,2,"-1.75555, 54.71972"
68865,5,54.71962,-1.7555,2,"-1.7555, 54.71962"
69055,5,54.64394,-1.69473,2,"-1.69473, 54.64394"
69059,5,54.73647,-2.18047,2,"-2.18047, 54.73647"
69061,5,54.7364,-2.18052,2,"-2.18052, 54.7364"
69087,5,54.75855,-1.73367,2,"-1.73367, 54.75855"
69088,5,54.75846,-1.73336,2,"-1.73336, 54.75846"
69164,5,54.74951,-1.63223,3,"-1.63223, 54.74951"
69165,5,54.74975,-1.63168,2,"-1.63168, 54.74975"
69169,5,54.74993,-1.63241,4,"-1.63241, 54.74993"
69176,5,54.63977,-1.57888,3,"-1.57888, 54.63977"
69213,5,54.76039,-1.5468,3,"-1.5468, 54.76039"
69216,5,54.7601,-1.54598,3,"-1.54598, 54.7601"
69391,5,54.74289,-1.81422,3,"-1.81422, 54.74289"
69395,5,54.74319,-1.81405,3,"-1.81405, 54.74319"
69489,5,54.73069,-1.5869,2,"-1.5869, 54.73069"
69805,5,54.75338,-1.58981,2,"-1.58981, 54.75338"
69806,5,54.75291,-1.59019,2,"-1.59019, 54.75291"
69896,5,54.67449,-1.59564,2,"-1.59564, 54.67449"
70199,5,54.72045,-1.50825,2,"-1.50825, 54.72045"
70203,5,54.72129,-1.50893,2,"-1.50893, 54.72129"
70676,5,54.69301,-1.74341,2,"-1.74341, 54.69301"
70678,5,54.6931,-1.74345,2,"-1.74345, 54.6931"
70851,5,54.61884,-1.57383,5,"-1.57383, 54.61884"
70852,5,54.61867,-1.57396,5,"-1.57396, 54.61867"
70872,5,54.77543,-1.64855,2,"-1.64855, 54.77543"
70874,5,54.77475,-1.64909,3,"-1.64909, 54.77475"
70932,5,54.73785,-1.87146,2,"-1.87146, 54.73785"
70934,5,54.73794,-1.87162,2,"-1.87162, 54.73794"
70968,5,54.62888,-1.63553,2,"-1.63553, 54.62888"
70970,5,54.62906,-1.63615,2,"-1.63615, 54.62906"
71236,5,54.7786,-1.65017,3,"-1.65017, 54.7786"
71238,5,54.77881,-1.65065,2,"-1.65065, 54.77881"
71394,5,54.79223,-1.48842,3,"-1.48842, 54.79223"
71396,5,54.79181,-1.48811,3,"-1.48811, 54.79181"
71411,5,54.74576,-2.05414,2,"-2.05414, 54.74576"
71775,5,54.67468,-1.60965,2,"-1.60965, 54.67468"
71777,5,54.67494,-1.60899,3,"-1.60899, 54.67494"
72229,5,54.69601,-1.71085,2,"-1.71085, 54.69601"
72230,5,54.6958,-1.71071,2,"-1.71071, 54.6958"
72520,5,54.62666,-1.63342,4,"-1.63342, 54.62666"
72591,5,54.75085,-1.62768,2,"-1.62768, 54.75085"
72593,5,54.75214,-1.62885,2,"-1.62885, 54.75214"
72742,5,54.63769,-1.71435,2,"-1.71435, 54.63769"
72863,5,54.71599,-1.50367,5,"-1.50367, 54.71599"
72904,5,54.70138,-1.75007,2,"-1.75007, 54.70138"
73479,5,54.65721,-2.19622,2,"-2.19622, 54.65721"
73480,5,54.65728,-2.19618,2,"-2.19618, 54.65728"
73482,5,54.65728,-2.19618,2,"-2.19618, 54.65728"
73488,5,54.63128,-1.57598,3,"-1.57598, 54.63128"
73505,5,54.67463,-1.81925,2,"-1.81925, 54.67463"
73617,5,54.53962,-1.77783,5,"-1.77783, 54.53962"
73856,5,54.67621,-1.77716,2,"-1.77716, 54.67621"
74076,5,54.63942,-1.65755,2,"-1.65755, 54.63942"
74079,5,54.63961,-1.65775,2,"-1.65775, 54.63961"
74738,5,54.76819,-1.70853,2,"-1.70853, 54.76819"
74965,5,54.67873,-1.73709,2,"-1.73709, 54.67873"
75021,5,54.69624,-1.59056,4,"-1.59056, 54.69624"
75022,5,54.69539,-1.59091,2,"-1.59091, 54.69539"
75098,5,54.6777,-2.23024,1,"-2.23024, 54.6777"
75102,5,54.6777,-2.23024,4,"-2.23024, 54.6777"
75192,5,54.62479,-1.5861,3,"-1.5861, 54.62479"
75310,5,54.62968,-1.60382,2,"-1.60382, 54.62968"
75311,5,54.62962,-1.604,2,"-1.604, 54.62962"
75390,5,54.76766,-1.59296,2,"-1.59296, 54.76766"
75392,5,54.76646,-1.5921,2,"-1.5921, 54.76646"
75460,5,54.75576,-1.42946,2,"-1.42946, 54.75576"
75462,5,54.75604,-1.43001,2,"-1.43001, 54.75604"
75562,5,54.60882,-2.0517,2,"-2.0517, 54.60882"
75563,5,54.6087,-2.053,2,"-2.053, 54.6087"
75799,5,54.74824,-1.62777,3,"-1.62777, 54.74824"
76158,5,54.67869,-1.46455,2,"-1.46455, 54.67869"
76159,5,54.67858,-1.4645,2,"-1.4645, 54.67858"
76545,5,54.7053,-1.59528,5,"-1.59528, 54.7053"
76711,5,54.81319,-1.50696,3,"-1.50696, 54.81319"
76713,5,54.81285,-1.50719,2,"-1.50719, 54.81285"
76784,5,54.71069,-1.58642,2,"-1.58642, 54.71069"
76799,5,54.65018,-1.46055,4,"-1.46055, 54.65018"
76861,5,54.76037,-1.60797,4,"-1.60797, 54.76037"
76874,5,54.61449,-1.57433,2,"-1.57433, 54.61449"
76875,5,54.61462,-1.57402,2,"-1.57402, 54.61462"
76980,5,54.65526,-1.71089,2,"-1.71089, 54.65526"
76981,5,54.65516,-1.71128,3,"-1.71128, 54.65516"
77146,5,54.62028,-1.57583,2,"-1.57583, 54.62028"
77152,5,54.66413,-1.55443,2,"-1.55443, 54.66413"
77154,5,54.66405,-1.55514,2,"-1.55514, 54.66405"
77242,5,54.7675,-1.47222,2,"-1.47222, 54.7675"
