node,layer,lat,lon,degree,geometry
3607,4,50.77284,0.10014,37,"0.10014, 50.77284"
7356,4,50.80333,0.25007,13,"0.25007, 50.80333"
9066,4,50.89138,0.18317,18,"0.18317, 50.89138"
10152,4,51.03295,0.05534,13,"0.05534, 51.03295"
13518,4,50.79926,0.25575,16,"0.25575, 50.79926"
15945,4,50.86371,0.25816,24,"0.25816, 50.86371"
18601,4,50.81745,0.34292,28,"0.34292, 50.81745"
20945,4,50.76937,0.28126,48,"0.28126, 50.76937"
35541,4,50.96867,0.09646,29,"0.09646, 50.96867"
38938,4,50.82124,0.24515,46,"0.24515, 50.82124"
40162,4,50.81331,0.35241,14,"0.35241, 50.81331"
