node,layer,lat,lon,degree,geometry
3607,2,50.77284,0.10014,37,"0.10014, 50.77284"
8290,2,50.87063,0.01134,40,"0.01134, 50.87063"
10267,2,50.78014,0.08276,18,"0.08276, 50.78014"
12779,2,50.7964,0.27937,20,"0.27937, 50.7964"
18601,2,50.81745,0.34292,28,"0.34292, 50.81745"
19633,2,50.92866,-0.06018,18,"-0.06018, 50.92866"
20198,2,50.84037,0.16603,28,"0.16603, 50.84037"
20725,2,50.90375,-0.0092,17,"-0.0092, 50.90375"
20945,2,50.76937,0.28126,48,"0.28126, 50.76937"
24461,2,50.81579,0.32482,25,"0.32482, 50.81579"
35541,2,50.96867,0.09646,29,"0.09646, 50.96867"
38938,2,50.82124,0.24515,46,"0.24515, 50.82124"
