node,layer,lat,lon,degree,geometry
513,5,55.94028,-3.01494,22,"-3.01494, 55.94028"
1456,5,55.91881,-3.26496,14,"-3.26496, 55.91881"
1546,5,55.85097,-3.13651,4,"-3.13651, 55.85097"
3241,5,55.7054,-3.42582,4,"-3.42582, 55.7054"
3242,5,55.7024,-3.43002,4,"-3.43002, 55.7024"
6741,5,55.95157,-3.21179,6,"-3.21179, 55.95157"
7549,5,55.86587,-3.20007,4,"-3.20007, 55.86587"
9784,5,55.95283,-3.19693,9,"-3.19693, 55.95283"
10415,5,55.88092,-3.1282,4,"-3.1282, 55.88092"
12536,5,55.9458,-3.21844,78,"-3.21844, 55.9458"
12702,5,55.99829,-2.51335,23,"-2.51335, 55.99829"
12768,5,55.86872,-2.97817,4,"-2.97817, 55.86872"
12771,5,55.88688,-3.07573,4,"-3.07573, 55.88688"
16294,5,55.70074,-3.43227,4,"-3.43227, 55.70074"
16402,5,55.95406,-3.17371,4,"-3.17371, 55.95406"
17037,5,55.92668,-3.24345,18,"-3.24345, 55.92668"
17738,5,55.85579,-3.1325,6,"-3.1325, 55.85579"
18667,5,56.05703,-2.73074,16,"-2.73074, 56.05703"
19294,5,55.93358,-3.07319,18,"-3.07319, 55.93358"
19990,5,55.95318,-3.19951,12,"-3.19951, 55.95318"
20340,5,55.867,-2.9667,4,"-2.9667, 55.867"
23849,5,55.95446,-3.19777,10,"-3.19777, 55.95446"
24693,5,55.91431,-3.28434,20,"-3.28434, 55.91431"
25656,5,55.94955,-3.20958,17,"-3.20958, 55.94955"
26120,5,55.84233,-3.04687,6,"-3.04687, 55.84233"
26121,5,55.84313,-3.04302,4,"-3.04302, 55.84313"
26122,5,55.84803,-3.04576,4,"-3.04576, 55.84803"
28078,5,55.82873,-3.23193,6,"-3.23193, 55.82873"
28373,5,55.95248,-3.20009,12,"-3.20009, 55.95248"
30981,5,55.92754,-3.30766,22,"-3.30766, 55.92754"
31992,5,55.85044,-3.05365,4,"-3.05365, 55.85044"
31993,5,55.85799,-3.05443,4,"-3.05443, 55.85799"
31994,5,55.81905,-3.08959,4,"-3.08959, 55.81905"
32177,5,55.97648,-2.88834,16,"-2.88834, 55.97648"
34308,5,55.81016,-3.20136,4,"-3.20136, 55.81016"
35708,5,55.98631,-3.38162,16,"-3.38162, 55.98631"
35949,5,55.84201,-3.04724,8,"-3.04724, 55.84201"
37047,5,55.95239,-3.18822,115,"-3.18822, 55.95239"
38203,5,56.00512,-2.78605,16,"-2.78605, 56.00512"
40906,5,55.94921,-3.36508,49,"-3.36508, 55.94921"
41467,5,55.94947,-3.20682,14,"-3.20682, 55.94947"
43282,5,55.9425,-3.10098,12,"-3.10098, 55.9425"
43879,5,55.87457,-3.00113,4,"-3.00113, 55.87457"
44458,5,55.81838,-3.02764,4,"-3.02764, 55.81838"
44638,5,55.95219,-3.20522,8,"-3.20522, 55.95219"
45365,5,55.85849,-3.07349,6,"-3.07349, 55.85849"
45387,5,55.95074,-3.20926,25,"-3.20926, 55.95074"
47620,5,55.93485,-3.09276,12,"-3.09276, 55.93485"
50162,5,55.84942,-3.05554,5,"-3.05554, 55.84942"
51594,5,55.97855,-2.8902,3,"-2.8902, 55.97855"
51682,5,55.95156,-2.991,3,"-2.991, 55.95156"
51848,5,55.89021,-2.89278,4,"-2.89278, 55.89021"
51877,5,55.89111,-3.20077,4,"-3.20077, 55.89111"
51928,5,55.93713,-3.14384,2,"-3.14384, 55.93713"
51994,5,55.94551,-2.95421,2,"-2.95421, 55.94551"
52015,5,55.8687,-3.04901,2,"-3.04901, 55.8687"
52125,5,55.94436,-3.10942,2,"-3.10942, 55.94436"
52306,5,55.96072,-3.20001,2,"-3.20001, 55.96072"
52431,5,55.94452,-3.02495,2,"-3.02495, 55.94452"
52473,5,55.94327,-3.1833,3,"-3.1833, 55.94327"
52519,5,55.97182,-3.30611,2,"-3.30611, 55.97182"
52568,5,55.93273,-3.1347,2,"-3.1347, 55.93273"
52642,5,55.94589,-3.23622,12,"-3.23622, 55.94589"
52680,5,55.94965,-3.21919,2,"-3.21919, 55.94965"
52681,5,55.94978,-3.21617,2,"-3.21617, 55.94978"
52682,5,55.94939,-3.2175,2,"-3.2175, 55.94939"
52741,5,55.8413,-3.21977,2,"-3.21977, 55.8413"
52749,5,55.87508,-3.16522,2,"-3.16522, 55.87508"
52792,5,55.90635,-3.13379,4,"-3.13379, 55.90635"
52794,5,55.94798,-3.20746,3,"-3.20746, 55.94798"
52800,5,55.94648,-3.20594,3,"-3.20594, 55.94648"
52808,5,55.91491,-3.32288,2,"-3.32288, 55.91491"
52810,5,55.91292,-3.32333,2,"-3.32333, 55.91292"
52930,5,55.95165,-3.11612,3,"-3.11612, 55.95165"
52969,5,55.93888,-3.22847,5,"-3.22847, 55.93888"
52977,5,55.95797,-3.19908,2,"-3.19908, 55.95797"
52983,5,55.94322,-3.25167,2,"-3.25167, 55.94322"
52998,5,55.95772,-3.2111,2,"-3.2111, 55.95772"
53038,5,55.99792,-2.53199,2,"-2.53199, 55.99792"
53201,5,55.82751,-3.21893,3,"-3.21893, 55.82751"
53219,5,55.95232,-2.64254,4,"-2.64254, 55.95232"
53287,5,55.94796,-3.12667,2,"-3.12667, 55.94796"
53306,5,55.9516,-3.17907,2,"-3.17907, 55.9516"
53319,5,55.9407,-3.07273,3,"-3.07273, 55.9407"
53335,5,55.93189,-3.25049,4,"-3.25049, 55.93189"
53489,5,56.03609,-2.82796,2,"-2.82796, 56.03609"
53530,5,55.94907,-2.87888,2,"-2.87888, 55.94907"
53559,5,55.95327,-2.76679,6,"-2.76679, 55.95327"
53608,5,55.9409,-3.20961,2,"-3.20961, 55.9409"
53672,5,55.83638,-3.23546,2,"-3.23546, 55.83638"
53727,5,55.87753,-3.14588,4,"-3.14588, 55.87753"
53870,5,55.94084,-3.3117,15,"-3.3117, 55.94084"
53955,5,55.94524,-3.12415,2,"-3.12415, 55.94524"
53956,5,55.857,-2.86528,2,"-2.86528, 55.857"
53972,5,55.96646,-3.1755,2,"-3.1755, 55.96646"
53986,5,55.94907,-3.18716,5,"-3.18716, 55.94907"
54028,5,55.92345,-3.17141,2,"-3.17141, 55.92345"
54096,5,55.97806,-3.23581,2,"-3.23581, 55.97806"
54120,5,55.9339,-3.11525,3,"-3.11525, 55.9339"
54152,5,55.90413,-3.14712,2,"-3.14712, 55.90413"
54202,5,55.94593,-3.20135,3,"-3.20135, 55.94593"
54248,5,55.95715,-3.24891,2,"-3.24891, 55.95715"
54304,5,55.9686,-2.96689,3,"-2.96689, 55.9686"
54351,5,55.87072,-3.06842,2,"-3.06842, 55.87072"
54400,5,55.97104,-2.95552,2,"-2.95552, 55.97104"
54447,5,55.92093,-3.03829,3,"-3.03829, 55.92093"
54566,5,55.9244,-3.21057,2,"-3.21057, 55.9244"
54689,5,55.96206,-3.26415,2,"-3.26415, 55.96206"
54947,5,55.94151,-3.19962,2,"-3.19962, 55.94151"
55113,5,55.9208,-3.29828,6,"-3.29828, 55.9208"
55121,5,55.91056,-3.22022,2,"-3.22022, 55.91056"
55193,5,55.93332,-3.20449,2,"-3.20449, 55.93332"
55421,5,55.92941,-3.17651,2,"-3.17651, 55.92941"
55422,5,55.87298,-3.05434,2,"-3.05434, 55.87298"
55423,5,55.92841,-3.17963,2,"-3.17963, 55.92841"
55504,5,55.89869,-3.31355,3,"-3.31355, 55.89869"
55514,5,55.96036,-3.12788,2,"-3.12788, 55.96036"
55528,5,55.93362,-3.06204,2,"-3.06204, 55.93362"
55867,5,55.98281,-3.38499,4,"-3.38499, 55.98281"
55959,5,55.89703,-3.05611,3,"-3.05611, 55.89703"
56056,5,55.8938,-3.16137,3,"-3.16137, 55.8938"
56164,5,55.97729,-3.23851,2,"-3.23851, 55.97729"
56293,5,55.88745,-3.16422,5,"-3.16422, 55.88745"
56348,5,55.94458,-3.2524,4,"-3.2524, 55.94458"
56492,5,55.9825,-3.38725,2,"-3.38725, 55.9825"
56634,5,55.9281,-3.2095,2,"-3.2095, 55.9281"
56687,5,55.91667,-3.22372,2,"-3.22372, 55.91667"
56767,5,55.9354,-3.23094,2,"-3.23094, 55.9354"
56771,5,55.95449,-3.29374,2,"-3.29374, 55.95449"
56797,5,55.93702,-3.20736,2,"-3.20736, 55.93702"
56805,5,55.94514,-3.18646,2,"-3.18646, 55.94514"
56863,5,55.86894,-3.17899,4,"-3.17899, 55.86894"
56900,5,55.9271,-3.24947,4,"-3.24947, 55.9271"
56909,5,55.96431,-2.79406,2,"-2.79406, 55.96431"
57117,5,55.91755,-3.28643,2,"-3.28643, 55.91755"
57118,5,55.91974,-3.29084,2,"-3.29084, 55.91974"
57119,5,55.91984,-3.29662,2,"-3.29662, 55.91984"
57120,5,55.9209,-3.29481,2,"-3.29481, 55.9209"
57363,5,55.90591,-3.22393,2,"-3.22393, 55.90591"
57488,5,55.95721,-3.23293,2,"-3.23293, 55.95721"
57549,5,55.95485,-3.11786,3,"-3.11786, 55.95485"
57609,5,56.0095,-2.85802,3,"-2.85802, 56.0095"
57610,5,56.01051,-2.85912,3,"-2.85912, 56.01051"
57639,5,55.85607,-3.06436,2,"-3.06436, 55.85607"
57694,5,55.9677,-3.18733,2,"-3.18733, 55.9677"
57710,5,55.92008,-2.93576,2,"-2.93576, 55.92008"
57714,5,55.96938,-3.18368,2,"-3.18368, 55.96938"
57751,5,55.8799,-3.07046,3,"-3.07046, 55.8799"
57752,5,55.87576,-3.06677,2,"-3.06677, 55.87576"
57753,5,55.88611,-3.07327,3,"-3.07327, 55.88611"
57755,5,55.8952,-3.09321,2,"-3.09321, 55.8952"
57756,5,55.89679,-3.10034,4,"-3.10034, 55.89679"
57971,5,55.94241,-3.27958,2,"-3.27958, 55.94241"
58128,5,55.96798,-3.32264,4,"-3.32264, 55.96798"
58179,5,55.96259,-3.1536,5,"-3.1536, 55.96259"
58206,5,55.94558,-3.24054,7,"-3.24054, 55.94558"
58377,5,55.93756,-3.18077,2,"-3.18077, 55.93756"
58389,5,55.8926,-3.20151,3,"-3.20151, 55.8926"
58392,5,55.90207,-3.2084,2,"-3.2084, 55.90207"
58393,5,55.86238,-3.20327,2,"-3.20327, 55.86238"
58394,5,55.8688,-3.1893,3,"-3.1893, 55.8688"
