ori_node,des_node,ori_layer,des_layer,minutes,km
12536,25656,4,4,2,0.69
12536,52642,4,4,2,1.105
19990,37047,4,4,3,0.707
25656,69624,4,4,4,0.613
37047,45387,4,4,5,1.32
37047,198880,4,4,3,0.811
37047,254417,4,4,20,9.763
45387,19990,4,4,4,0.663
45387,37047,4,4,6,1.32
45387,112449,4,4,9,5.944
52642,150070,4,4,1,0.572
53870,142124,4,4,2,1.251
69624,37047,4,4,4,0.758
82432,45387,4,4,8,1.141
89742,220076,4,4,7,6.86
91490,189578,4,4,2,0.836
96717,233007,4,4,2,1.282
110920,91490,4,4,1,0.691
112449,149631,4,4,6,7.082
114440,110920,4,4,2,0.703
119256,12536,4,4,2,1.038
130753,140651,4,4,1,0.618
142124,114440,4,4,2,0.78
150070,237723,4,4,2,0.886
160503,53870,4,4,1,1.258
162751,262062,4,4,1,2.278
189578,119256,4,4,1,0.561
198880,255950,4,4,2,0.596
201189,230382,4,4,1,0.541
218186,259163,4,4,2,0.873
220076,45387,4,4,12,6.079
220076,82432,4,4,10,4.975
224595,160503,4,4,1,2.653
230382,224595,4,4,2,1.04
233007,162751,4,4,1,1.66
237723,218186,4,4,1,0.549
241886,37047,4,4,20,9.747
255950,12536,4,4,2,0.659
259163,96717,4,4,2,0.588
