ori_node,des_node,ori_layer,des_layer,minutes,km
513,19294,2,2,2,3.697
513,165193,2,2,1,2.873
1456,17037,2,2,2,1.597
1456,24693,2,2,2,1.305
12536,17037,2,2,1,2.631
12536,30981,2,2,3,5.906
12536,37047,2,2,2,2.015
12536,239621,2,2,4,5.145
12702,19294,2,2,21,35.517
12702,37047,2,2,24,42.228
17037,1456,2,2,2,1.597
17037,12536,2,2,3,2.631
18667,19294,2,2,19,25.294
18667,38203,2,2,4,6.706
19294,513,2,2,3,3.697
19294,12702,2,2,28,35.517
19294,18667,2,2,18,25.294
19294,37047,2,2,7,7.449
24693,1456,2,2,1,1.305
24693,206821,2,2,3,2.629
30981,12536,2,2,4,5.906
32177,38203,2,2,4,7.102
32177,165193,2,2,3,5.964
35708,239621,2,2,4,7.537
37047,12536,2,2,1,2.015
37047,12702,2,2,19,42.228
37047,19294,2,2,3,7.449
37047,38203,2,2,20,25.655
37047,43282,2,2,6,5.532
38203,12702,2,2,19,16.944
38203,18667,2,2,8,6.706
38203,32177,2,2,5,7.102
43282,37047,2,2,7,5.532
43282,47620,2,2,3,0.991
47620,43282,2,2,3,0.991
165193,513,2,2,3,2.873
165193,32177,2,2,4,5.964
206821,12536,2,2,7,8.009
206821,24693,2,2,3,2.629
239621,12536,2,2,6,5.145
239621,35708,2,2,3,7.537
