node,layer,lat,lon,degree,geometry
513,2,55.94028,-3.01494,22,"-3.01494, 55.94028"
1456,2,55.91881,-3.26496,14,"-3.26496, 55.91881"
12536,2,55.9458,-3.21844,78,"-3.21844, 55.9458"
12702,2,55.99829,-2.51335,23,"-2.51335, 55.99829"
17037,2,55.92668,-3.24345,18,"-3.24345, 55.92668"
18667,2,56.05703,-2.73074,16,"-2.73074, 56.05703"
19294,2,55.93358,-3.07319,18,"-3.07319, 55.93358"
24693,2,55.91431,-3.28434,20,"-3.28434, 55.91431"
30981,2,55.92754,-3.30766,22,"-3.30766, 55.92754"
32177,2,55.97648,-2.88834,16,"-2.88834, 55.97648"
35708,2,55.98631,-3.38162,16,"-3.38162, 55.98631"
37047,2,55.95239,-3.18822,115,"-3.18822, 55.95239"
38203,2,56.00512,-2.78605,16,"-2.78605, 56.00512"
43282,2,55.9425,-3.10098,12,"-3.10098, 55.9425"
47620,2,55.93485,-3.09276,12,"-3.09276, 55.93485"
165193,2,55.95309,-2.97477,4,"-2.97477, 55.95309"
206821,2,55.90056,-3.31875,5,"-3.31875, 55.90056"
239621,2,55.93635,-3.29947,7,"-3.29947, 55.93635"
