ori_node,des_node,ori_layer,des_layer,minutes,km
1594,1594,5,5,1,0
1594,115691,5,5,1,0.39
1594,215793,5,5,3,1.164
1594,230731,5,5,1,0.489
1969,79133,5,5,5,2.527
1969,79140,5,5,1,0.263
3486,3486,5,5,1,0
3486,110231,5,5,1,0.382
3486,120196,5,5,1,0.283
3486,120200,5,5,1,0.444
3486,149832,5,5,1,0.556
3486,230062,5,5,2,0.578
8554,88694,5,5,3,1.097
8930,68451,5,5,5,0.457
8930,183398,5,5,3,1.302
8930,204205,5,5,4,1.387
10729,79136,5,5,2,1.25
10729,88845,5,5,4,1.264
10729,161575,5,5,5,1.242
10729,255137,5,5,2,0.444
10729,255142,5,5,1,0.451
11357,231768,5,5,5,2.132
11357,231772,5,5,8,1.688
11357,241528,5,5,5,2.43
13443,13443,5,5,1,0
13443,73317,5,5,1,0.524
13443,83058,5,5,1,0.43
15407,15407,5,5,1,0
15407,122587,5,5,1,1.041
15407,229071,5,5,1,0.322
15407,229074,5,5,1,0.337
18468,124272,5,5,1,0.64
18468,220834,5,5,1,1.514
19589,19589,5,5,1,0
19589,126320,5,5,1,0.551
19589,126325,5,5,1,0.358
19589,128662,5,5,1,0.628
19589,145885,5,5,2,0.746
20685,20685,5,5,1,0
20685,199856,5,5,1,0.406
20685,199857,5,5,1,0.266
20685,209463,5,5,1,0.378
20685,209466,5,5,1,0.287
20685,238399,5,5,2,0.335
20685,238804,5,5,9,2.543
21751,74688,5,5,2,1.102
21751,135402,5,5,1,1.144
21751,140243,5,5,1,0.71
21751,253353,5,5,3,0.818
22054,123354,5,5,4,2.423
22054,125608,5,5,5,4.407
22054,168954,5,5,4,3
23546,210894,5,5,1,0.398
23546,210896,5,5,1,0.476
27700,27700,5,5,1,0
27700,65487,5,5,1,0.886
27700,98679,5,5,1,0.504
27700,98680,5,5,1,0.493
27700,108421,5,5,1,0.335
27700,169198,5,5,1,0.358
27700,171687,5,5,1,0.56
27700,243624,5,5,1,0.471
28865,78585,5,5,5,2.956
28865,165299,5,5,8,3.13
28865,218785,5,5,4,3.101
29400,29400,5,5,1,0
29400,78042,5,5,1,0.305
29400,90578,5,5,1,0.276
29400,139524,5,5,11,2.038
29400,163617,5,5,1,0.291
29424,125605,5,5,1,0.416
29424,125611,5,5,2,0.46
29424,143221,5,5,5,0.896
30594,30594,5,5,1,0
30594,124335,5,5,6,0.884
30594,151906,5,5,4,0.686
30594,161227,5,5,1,0.359
30594,174860,5,5,2,0.499
30594,230059,5,5,4,0.795
30594,260489,5,5,1,0.309
35210,35210,5,5,1,0
35210,47111,5,5,8,3.839
35210,106187,5,5,1,0.176
35210,171954,5,5,2,1.721
35210,171955,5,5,1,0.429
35210,180396,5,5,1,0.307
35210,209468,5,5,3,0.76
35210,214197,5,5,11,16.1
35210,228651,5,5,2,0.236
38473,38473,5,5,1,0
38473,170973,5,5,1,0.368
38473,176977,5,5,2,0.448
38473,219186,5,5,1,0.393
38473,219195,5,5,1,0.415
42078,140040,5,5,1,0.471
42078,140045,5,5,1,0.785
47111,35210,5,5,7,3.839
47111,94886,5,5,7,3.964
47111,106187,5,5,7,3.795
47111,118078,5,5,1,1.211
47111,152311,5,5,13,8.959
47111,183781,5,5,7,3.677
48408,48408,5,5,1,0
48408,73640,5,5,1,0.466
48408,151721,5,5,2,0.414
48408,171318,5,5,1,0.383
48408,171324,5,5,1,0.56
50640,50640,5,5,1,0
50640,50643,5,5,1,1.381
50640,57245,5,5,1,0.573
50640,98679,5,5,4,1.26
50640,150672,5,5,1,0.392
50640,169195,5,5,1,0.394
50640,169197,5,5,2,0.43
50640,190089,5,5,5,2.551
50643,50640,5,5,2,1.381
50643,50643,5,5,1,0
50643,98678,5,5,1,0.458
50643,139524,5,5,2,0.542
50643,197657,5,5,1,0.441
50643,216108,5,5,1,0.369
50643,260345,5,5,1,0.475
50958,50958,5,5,1,0
50958,92710,5,5,1,0.258
50958,92712,5,5,1,0.532
50958,139870,5,5,11,4.141
50958,173806,5,5,1,0.262
50958,247463,5,5,2,0.34
52412,224032,5,5,1,0.827
52412,224034,5,5,2,0.411
52413,155636,5,5,3,1.542
52415,52416,5,5,1,0.738
52416,52413,5,5,3,1.695
52417,52418,5,5,1,0.685
52418,52415,5,5,1,0.583
52418,170971,5,5,6,5.839
52552,165298,5,5,1,0.432
52553,243440,5,5,1,0.507
52554,112566,5,5,1,0.378
52554,165297,5,5,9,2.423
52555,159063,5,5,1,0.137
52555,261426,5,5,1,0.168
52557,54107,5,5,2,0.873
52557,243437,5,5,4,1.857
53171,232489,5,5,2,0.38
53256,119930,5,5,1,0.124
53257,62904,5,5,1,0.072
53258,53264,5,5,2,0.304
