ori_node,des_node,ori_layer,des_layer,minutes,km
1594,11357,2,2,6,5.685
1594,50640,2,2,11,9.424
1594,175646,2,2,3,4.058
1969,10729,2,2,5,5.262
1969,27700,2,2,9,13.392
1969,50640,2,2,11,13.955
1969,50958,2,2,6,8.749
3486,30594,2,2,4,4.209
3486,38473,2,2,6,7.654
3486,50640,2,2,16,20.409
8930,50640,2,2,14,24.519
10729,1969,2,2,5,5.262
10729,48408,2,2,6,7.012
11357,1594,2,2,7,5.685
11357,189275,2,2,4,4.507
13443,20685,2,2,2,2.769
13443,29400,2,2,2,1.409
15407,20685,2,2,4,3.15
15407,116526,2,2,4,3.136
15407,207687,2,2,1,2.449
20685,13443,2,2,3,2.769
20685,15407,2,2,3,3.15
20685,27700,2,2,6,4.421
22054,1594,2,2,21,21.262
27700,1969,2,2,9,13.392
27700,20685,2,2,5,4.421
27700,29400,2,2,2,0.947
27700,48408,2,2,15,25.553
27700,50640,2,2,2,0.768
27700,50958,2,2,5,4.666
28865,92978,2,2,4,3.68
28865,189275,2,2,3,2.602
28865,214918,2,2,11,9.272
29400,13443,2,2,3,1.409
29400,20685,2,2,4,3.902
29400,27700,2,2,2,0.947
29424,22054,2,2,7,5.346
30594,3486,2,2,3,4.209
30594,42078,2,2,4,2.48
30594,50640,2,2,10,17.387
38473,3486,2,2,6,7.654
38473,30594,2,2,9,11.065
38473,50640,2,2,18,22.518
42078,30594,2,2,3,2.48
42078,50640,2,2,11,16.106
48408,10729,2,2,5,7.012
48408,50958,2,2,12,20.891
50640,1594,2,2,10,9.424
50640,8930,2,2,12,24.519
50640,27700,2,2,1,0.768
50640,30594,2,2,11,17.387
50640,38473,2,2,17,22.518
50640,42078,2,2,11,16.106
50640,50643,2,2,1,1.381
50640,175646,2,2,7,6.394
50643,30594,2,2,12,16.013
50643,50640,2,2,3,1.381
50958,1969,2,2,6,8.749
50958,27700,2,2,4,4.666
50958,48408,2,2,12,20.891
92978,28865,2,2,3,3.68
92978,214918,2,2,6,5.64
116526,15407,2,2,6,3.136
116526,207687,2,2,1,0.71
175646,1594,2,2,5,4.058
175646,50640,2,2,9,6.394
189275,11357,2,2,3,4.507
189275,28865,2,2,3,2.602
189275,214918,2,2,13,11.863
207687,15407,2,2,4,2.449
207687,116526,2,2,2,0.71
214918,28865,2,2,8,9.272
214918,92978,2,2,5,5.64
214918,189275,2,2,11,11.863
