ori_node,des_node,ori_layer,des_layer,minutes,km
391,35948,5,5,1,0.172
391,50857,5,5,1,0.31
757,19360,5,5,1,0.237
757,35948,5,5,1,0.153
1162,25534,5,5,1,0.211
1162,167762,5,5,1,0.221
1429,21756,5,5,1,0.27
1429,46459,5,5,2,0.76
1429,50160,5,5,2,2.078
1623,1623,5,5,1,0
1623,64941,5,5,2,0.473
1623,66980,5,5,1,0.459
1623,145887,5,5,1,0.329
1623,163130,5,5,1,0.5
1623,163196,5,5,1,0.526
1623,190258,5,5,1,0.516
1623,239047,5,5,1,0.312
1623,254070,5,5,2,0.495
1838,29573,5,5,1,0.149
1838,32001,5,5,1,0.14
2671,43972,5,5,1,0.201
2890,2890,5,5,1,0
2890,43873,5,5,5,3.118
2890,80470,5,5,1,0.404
2890,171271,5,5,1,0.394
2890,219098,5,5,15,5.111
2890,232769,5,5,1,0.489
3518,3518,5,5,1,0
3518,174516,5,5,1,0.169
3518,201678,5,5,1,0.45
3518,201683,5,5,1,0.363
3518,211597,5,5,1,1.638
3518,221261,5,5,1,0.251
4041,42586,5,5,1,0.499
4041,42591,5,5,1,0.281
4041,93851,5,5,2,0.563
4041,163640,5,5,1,0.183
4041,172683,5,5,2,1.02
4041,173730,5,5,1,0.209
8243,50174,5,5,3,1.417
8243,155018,5,5,1,0.31
10543,29812,5,5,1,0.185
10543,48754,5,5,1,0.217
11034,11034,5,5,1,0
11034,77220,5,5,1,0.308
11034,121694,5,5,1,0.277
11034,219196,5,5,1,0.379
11034,235666,5,5,1,0.345
11447,88764,5,5,1,0.182
11447,88765,5,5,1,0.05
11448,11447,5,5,1,0.473
11448,43873,5,5,1,0.231
12173,46460,5,5,1,0.47
12173,91049,5,5,4,1.501
12173,212890,5,5,2,1.36
12566,136046,5,5,4,2.707
12566,185107,5,5,4,2.953
13158,29812,5,5,1,0.173
13158,146635,5,5,1,0.251
14070,36876,5,5,2,1.539
14070,44643,5,5,1,0.333
14591,43505,5,5,1,0.312
14591,66487,5,5,1,0.755
14785,14785,5,5,1,0
14785,14788,5,5,1,0.174
14785,157654,5,5,1,0.207
14787,14785,5,5,1,0.265
14787,14787,5,5,1,0
