node,layer,lat,lon,degree,geometry
391,5,55.98537,-3.92936,4,"-3.92936, 55.98537"
757,5,55.98632,-3.92439,4,"-3.92439, 55.98632"
1162,5,55.99138,-3.94654,4,"-3.94654, 55.99138"
1429,5,56.06666,-3.72183,5,"-3.72183, 56.06666"
1623,5,56.11778,-3.79005,23,"-3.79005, 56.11778"
1838,5,56.01444,-3.78809,4,"-3.78809, 56.01444"
2671,5,56.24255,-3.88206,4,"-3.88206, 56.24255"
2890,5,56.02735,-3.84384,12,"-3.84384, 56.02735"
3518,5,56.18587,-3.96548,42,"-3.96548, 56.18587"
4041,5,56.01858,-3.7926,10,"-3.7926, 56.01858"
8243,5,56.08917,-3.60173,4,"-3.60173, 56.08917"
10543,5,56.01826,-3.78778,4,"-3.78778, 56.01826"
11034,5,56.02269,-3.83058,26,"-3.83058, 56.02269"
11447,5,56.00449,-3.88991,4,"-3.88991, 56.00449"
11448,5,56.00711,-3.88389,4,"-3.88389, 56.00711"
12173,5,56.07994,-3.72041,6,"-3.72041, 56.07994"
12566,5,56.15326,-3.6348,4,"-3.6348, 56.15326"
13158,5,56.01947,-3.78255,4,"-3.78255, 56.01947"
14070,5,56.24858,-3.88173,4,"-3.88173, 56.24858"
14591,5,56.06425,-3.76615,4,"-3.76615, 56.06425"
14785,5,56.00999,-3.79329,6,"-3.79329, 56.00999"
14787,5,56.01194,-3.7908,4,"-3.7908, 56.01194"
14788,5,56.00903,-3.79551,4,"-3.79551, 56.00903"
15031,5,55.9912,-3.93727,5,"-3.93727, 55.9912"
15934,5,56.15662,-3.95723,14,"-3.95723, 56.15662"
16096,5,56.01336,-3.79016,4,"-3.79016, 56.01336"
16187,5,56.00699,-3.79527,6,"-3.79527, 56.00699"
16235,5,56.03488,-3.8099,4,"-3.8099, 56.03488"
19023,5,56.26448,-3.87886,6,"-3.87886, 56.26448"
19360,5,55.98705,-3.9208,4,"-3.9208, 55.98705"
21016,5,56.0701,-3.77315,4,"-3.77315, 56.0701"
21756,5,56.06839,-3.71876,10,"-3.71876, 56.06839"
22633,5,56.03562,-3.79941,5,"-3.79941, 56.03562"
23010,5,56.05704,-3.6906,8,"-3.6906, 56.05704"
25440,5,55.98969,-3.9111,4,"-3.9111, 55.98969"
25534,5,55.99142,-3.94994,4,"-3.94994, 55.99142"
26988,5,56.39046,-4.61842,24,"-4.61842, 56.39046"
27414,5,56.06812,-3.7099,5,"-3.7099, 56.06812"
27416,5,56.06852,-3.71395,6,"-3.71395, 56.06852"
29296,5,56.17715,-3.58399,6,"-3.58399, 56.17715"
29338,5,56.1198,-3.93562,59,"-3.93562, 56.1198"
29573,5,56.01531,-3.78625,4,"-3.78625, 56.01531"
29642,5,56.00077,-3.88702,5,"-3.88702, 56.00077"
29812,5,56.0192,-3.78531,4,"-3.78531, 56.0192"
31230,5,56.00608,-3.8176,22,"-3.8176, 56.00608"
31959,5,56.00951,-3.79062,6,"-3.79062, 56.00951"
32001,5,56.01322,-3.78869,7,"-3.78869, 56.01322"
32599,5,56.00165,-3.88971,8,"-3.88971, 56.00165"
33319,5,56.0026,-3.78504,28,"-3.78504, 56.0026"
34177,5,55.97983,-3.94723,12,"-3.94723, 55.97983"
35052,5,56.16537,-3.58004,7,"-3.58004, 56.16537"
35948,5,55.98583,-3.9267,4,"-3.9267, 55.98583"
36483,5,55.98293,-3.94198,4,"-3.94198, 55.98293"
36876,5,56.26238,-3.87921,5,"-3.87921, 56.26238"
36905,5,55.98929,-3.94692,4,"-3.94692, 55.98929"
39599,5,56.00224,-3.89054,4,"-3.89054, 56.00224"
40716,5,56.2313,-3.90579,6,"-3.90579, 56.2313"
41173,5,56.03574,-3.80577,4,"-3.80577, 56.03574"
42321,5,55.9907,-3.94221,4,"-3.94221, 55.9907"
42497,5,56.28378,-3.86693,6,"-3.86693, 56.28378"
42586,5,56.01439,-3.79555,8,"-3.79555, 56.01439"
42591,5,56.0161,-3.79352,6,"-3.79352, 56.0161"
43505,5,56.06689,-3.76788,4,"-3.76788, 56.06689"
43873,5,56.00849,-3.88109,8,"-3.88109, 56.00849"
43972,5,56.2427,-3.88531,4,"-3.88531, 56.2427"
44643,5,56.24563,-3.88271,4,"-3.88271, 56.24563"
44766,5,55.98472,-3.71497,21,"-3.71497, 55.98472"
45008,5,56.06877,-3.77099,4,"-3.77099, 56.06877"
45170,5,56.01589,-3.79127,4,"-3.79127, 56.01589"
45564,5,56.01148,-3.78652,9,"-3.78652, 56.01148"
46459,5,56.07347,-3.72056,8,"-3.72056, 56.07347"
46460,5,56.0757,-3.72066,5,"-3.72066, 56.0757"
46462,5,56.0331,-3.81147,4,"-3.81147, 56.0331"
48275,5,56.03607,-3.8031,4,"-3.8031, 56.03607"
48350,5,55.98961,-3.94491,4,"-3.94491, 55.98961"
48364,5,55.9918,-3.79224,22,"-3.79224, 55.9918"
48754,5,56.01649,-3.78626,4,"-3.78626, 56.01649"
49826,5,56.06572,-3.70307,11,"-3.70307, 56.06572"
50160,5,56.05648,-3.74998,12,"-3.74998, 56.05648"
50174,5,56.08745,-3.57905,6,"-3.57905, 56.08745"
50410,5,56.2741,-3.87444,5,"-3.87444, 56.2741"
50857,5,55.98435,-3.93402,6,"-3.93402, 55.98435"
51562,5,56.12026,-4.3589,3,"-4.3589, 56.12026"
51592,5,55.98115,-3.72024,3,"-3.72024, 55.98115"
52056,5,56.13925,-3.83437,4,"-3.83437, 56.13925"
52131,5,56.14736,-3.84349,3,"-3.84349, 56.14736"
52742,5,56.18634,-4.06215,4,"-4.06215, 56.18634"
52743,5,56.18623,-4.06211,3,"-4.06211, 56.18623"
52764,5,56.1152,-4.29365,4,"-4.29365, 56.1152"
52971,5,56.02301,-3.90885,6,"-3.90885, 56.02301"
53061,5,56.13378,-3.90755,3,"-3.90755, 56.13378"
53169,5,55.99892,-3.81494,2,"-3.81494, 55.99892"
53557,5,56.11889,-3.94666,3,"-3.94666, 56.11889"
53558,5,56.11889,-3.94741,2,"-3.94741, 56.11889"
53689,5,56.12328,-3.93886,3,"-3.93886, 56.12328"
53716,5,56.13109,-3.96734,2,"-3.96734, 56.13109"
53886,5,55.99487,-3.78119,2,"-3.78119, 55.99487"
53921,5,56.08388,-3.78226,2,"-3.78226, 56.08388"
54129,5,56.03415,-3.8528,2,"-3.8528, 56.03415"
54131,5,56.03101,-3.84696,2,"-3.84696, 56.03101"
54439,5,56.14005,-3.81732,3,"-3.81732, 56.14005"
54814,5,56.09371,-3.93366,2,"-3.93366, 56.09371"
54815,5,56.09226,-3.93308,2,"-3.93308, 56.09226"
54822,5,56.08236,-3.86868,2,"-3.86868, 56.08236"
55213,5,56.14506,-3.94719,2,"-3.94719, 56.14506"
55596,5,56.00951,-3.74904,3,"-3.74904, 56.00951"
55834,5,56.01686,-3.83125,2,"-3.83125, 56.01686"
55855,5,56.02276,-3.90638,3,"-3.90638, 56.02276"
55856,5,56.02288,-3.90681,3,"-3.90681, 56.02288"
55857,5,56.02211,-3.90731,5,"-3.90731, 56.02211"
55858,5,56.02237,-3.90757,5,"-3.90757, 56.02237"
56158,5,56.0094,-3.7115,3,"-3.7115, 56.0094"
56227,5,55.97059,-3.77515,2,"-3.77515, 55.97059"
56441,5,55.97351,-3.77181,3,"-3.77181, 55.97351"
56475,5,56.00057,-3.78729,4,"-3.78729, 56.00057"
56576,5,56.06885,-3.92117,4,"-3.92117, 56.06885"
56577,5,56.06907,-3.92099,4,"-3.92099, 56.06907"
56668,5,56.13921,-3.93098,2,"-3.93098, 56.13921"
56864,5,56.23869,-4.21377,4,"-4.21377, 56.23869"
57038,5,56.23758,-4.21325,5,"-4.21325, 56.23758"
57297,5,56.10273,-3.86944,3,"-3.86944, 56.10273"
57298,5,56.10292,-3.87069,3,"-3.87069, 56.10292"
57540,5,56.13102,-3.95509,3,"-3.95509, 56.13102"
57541,5,56.13041,-3.95232,3,"-3.95232, 56.13041"
57580,5,56.12832,-3.94021,2,"-3.94021, 56.12832"
57629,5,56.15764,-4.04446,3,"-4.04446, 56.15764"
57811,5,56.14907,-3.88679,3,"-3.88679, 56.14907"
58191,5,56.12839,-3.93489,4,"-3.93489, 56.12839"
58192,5,56.12858,-3.93427,3,"-3.93427, 56.12858"
58452,5,56.02692,-3.81513,4,"-3.81513, 56.02692"
58544,5,56.03048,-3.78665,2,"-3.78665, 56.03048"
58859,5,56.19112,-4.07483,5,"-4.07483, 56.19112"
59068,5,56.00584,-3.7657,2,"-3.7657, 56.00584"
59095,5,56.00685,-3.75438,2,"-3.75438, 56.00685"
59114,5,56.00682,-3.75503,3,"-3.75503, 56.00682"
59236,5,55.9549,-3.7169,2,"-3.7169, 55.9549"
59608,5,56.19997,-3.96037,2,"-3.96037, 56.19997"
59908,5,56.05351,-4.22476,3,"-4.22476, 56.05351"
59981,5,56.19126,-4.05615,5,"-4.05615, 56.19126"
60464,5,56.00265,-3.81338,2,"-3.81338, 56.00265"
60503,5,56.02292,-3.82305,2,"-3.82305, 56.02292"
60504,5,56.02169,-3.82228,2,"-3.82228, 56.02169"
60505,5,56.02169,-3.82247,2,"-3.82247, 56.02169"
60506,5,56.02297,-3.82282,2,"-3.82282, 56.02297"
60680,5,56.14798,-3.92993,4,"-3.92993, 56.14798"
60695,5,56.14764,-3.92831,10,"-3.92831, 56.14764"
60811,5,55.97482,-3.7076,2,"-3.7076, 55.97482"
61096,5,56.13752,-3.83593,3,"-3.83593, 56.13752"
61097,5,56.13712,-3.84411,2,"-3.84411, 56.13712"
61130,5,56.0614,-3.87139,2,"-3.87139, 56.0614"
61131,5,56.05901,-3.86986,2,"-3.86986, 56.05901"
