node,layer,lat,lon,degree,geometry
1201,4,56.43465,-4.70371,10,"-4.70371, 56.43465"
3518,4,56.18587,-3.96548,42,"-3.96548, 56.18587"
26988,4,56.39046,-4.61842,24,"-4.61842, 56.39046"
29338,4,56.1198,-3.93562,59,"-3.93562, 56.1198"
60695,4,56.14764,-3.92831,10,"-3.92831, 56.14764"
63252,4,56.39295,-4.6192,2,"-4.6192, 56.39295"
64408,4,56.19663,-3.95512,15,"-3.95512, 56.19663"
64409,4,56.19716,-3.95404,11,"-3.95404, 56.19716"
65081,4,56.13191,-3.95953,10,"-3.95953, 56.13191"
90685,4,56.14785,-3.92827,11,"-3.92827, 56.14785"
94035,4,56.43742,-4.71242,8,"-4.71242, 56.43742"
94036,4,56.43724,-4.71195,8,"-4.71195, 56.43724"
96061,4,56.00637,-3.73527,8,"-3.73527, 56.00637"
96063,4,56.00689,-3.73641,8,"-3.73641, 56.00689"
114283,4,56.11813,-3.93437,13,"-3.93437, 56.11813"
114286,4,56.11809,-3.93434,7,"-3.93434, 56.11809"
114482,4,56.13181,-3.95959,9,"-3.95959, 56.13181"
121788,4,56.14512,-3.92073,14,"-3.92073, 56.14512"
122454,4,56.08901,-3.93105,9,"-3.93105, 56.08901"
127388,4,56.09953,-3.93786,10,"-3.93786, 56.09953"
139226,4,56.15457,-3.94603,12,"-3.94603, 56.15457"
156788,4,56.32794,-4.72212,2,"-4.72212, 56.32794"
156789,4,56.32795,-4.72184,2,"-4.72184, 56.32795"
158683,4,56.15469,-3.94697,9,"-3.94697, 56.15469"
174516,4,56.18623,-3.96281,16,"-3.96281, 56.18623"
179576,4,56.14034,-3.94576,9,"-3.94576, 56.14034"
197491,4,56.09964,-3.93739,10,"-3.93739, 56.09964"
202577,4,56.09008,-3.93183,10,"-3.93183, 56.09008"
210852,4,56.13141,-3.93607,9,"-3.93607, 56.13141"
226702,4,56.43556,-4.71039,2,"-4.71039, 56.43556"
227606,4,56.13117,-3.93569,9,"-3.93569, 56.13117"
236640,4,56.11346,-3.93279,8,"-3.93279, 56.11346"
238181,4,56.14044,-3.94559,9,"-3.94559, 56.14044"
