node,layer,lat,lon,degree,geometry
1201,2,56.43465,-4.70371,10,"-4.70371, 56.43465"
1623,2,56.11778,-3.79005,23,"-3.79005, 56.11778"
3518,2,56.18587,-3.96548,42,"-3.96548, 56.18587"
11034,2,56.02269,-3.83058,26,"-3.83058, 56.02269"
15934,2,56.15662,-3.95723,14,"-3.95723, 56.15662"
26988,2,56.39046,-4.61842,24,"-4.61842, 56.39046"
29338,2,56.1198,-3.93562,59,"-3.93562, 56.1198"
31230,2,56.00608,-3.8176,22,"-3.8176, 56.00608"
33319,2,56.0026,-3.78504,28,"-3.78504, 56.0026"
44766,2,55.98472,-3.71497,21,"-3.71497, 55.98472"
48364,2,55.9918,-3.79224,22,"-3.79224, 55.9918"
139774,2,56.43333,-4.71481,4,"-4.71481, 56.43333"
