ori_node,des_node,ori_layer,des_layer,minutes,km
349,349,5,5,1,0
349,235387,5,5,1,0.354
349,244050,5,5,1,0.348
349,247418,5,5,1,0.521
349,257910,5,5,1,0.357
6294,6294,5,5,1,0
6294,38331,5,5,2,0.703
6294,112506,5,5,1,0.302
6294,245749,5,5,1,0.45
10546,10546,5,5,1,0
10546,132040,5,5,1,0.579
10546,171522,5,5,1,0.404
10546,245751,5,5,1,0.429
10568,10568,5,5,1,0
10568,79742,5,5,5,1.514
10568,171521,5,5,3,0.803
10568,182535,5,5,3,0.711
10568,231995,5,5,1,1.336
10568,235206,5,5,2,0.396
38331,6294,5,5,1,0.703
38331,38331,5,5,1,0
38331,70466,5,5,1,0.356
38331,225562,5,5,1,0.454
38331,245746,5,5,1,0.528
51652,114823,5,5,1,0.194
51652,165552,5,5,5,2.507
51652,223065,5,5,5,2.488
51652,225726,5,5,1,0.225
51652,254602,5,5,5,0.756
51652,262337,5,5,1,0.646
52663,171522,5,5,1,0.549
56165,56174,5,5,1,0.31
56166,257241,5,5,1,0.21
56170,237504,5,5,1,0.175
56171,225567,5,5,1,0.417
56171,247802,5,5,2,0.494
56172,247802,5,5,2,0.386
56173,79724,5,5,1,0.154
56174,56172,5,5,1,0.265
56988,56992,5,5,1,0.4
56989,258095,5,5,1,0.391
56991,56989,5,5,1,0.407
56992,66617,5,5,1,0.497
59417,193778,5,5,3,1.956
59417,193780,5,5,8,2.809
59418,59417,5,5,1,0.521
59418,59420,5,5,4,1.19
59418,193776,5,5,8,3.11
59418,193778,5,5,3,2.473
59419,59418,5,5,5,1.191
59420,59418,5,5,3,1.19
59420,193778,5,5,4,2.663
59421,59423,5,5,1,1.413
59422,109983,5,5,2,1.428
59423,59425,5,5,2,2.547
59424,59422,5,5,1,1.421
59425,251973,5,5,3,2.856
59425,260619,5,5,2,2.476
60051,231910,5,5,1,1.156
60051,261658,5,5,3,1.046
60054,66610,5,5,2,1.209
61157,61158,5,5,1,0.355
61158,196094,5,5,1,0.232
61159,61161,5,5,1,0.279
61160,61165,5,5,1,0.28
61161,61157,5,5,1,0.385
61162,61160,5,5,1,0.387
61163,128084,5,5,1,0.768
61164,61159,5,5,2,0.74
61164,133647,5,5,1,0.319
61165,109241,5,5,2,0.739
66608,66614,5,5,1,0.246
66609,210748,5,5,1,0.064
66610,181539,5,5,1,0.357
66611,60051,5,5,2,1.215
66611,210032,5,5,2,1.185
66612,66615,5,5,5,1.845
66613,66616,5,5,1,0.675
66614,66613,5,5,4,1.879
66615,66609,5,5,1,0.238
66616,56991,5,5,2,0.453
66617,66612,5,5,1,0.599
70466,245746,5,5,1,0.188
71727,201103,5,5,2,0.527
72614,200048,5,5,2,0.382
73159,231975,5,5,1,0.356
73160,222334,5,5,2,1.633
73161,222330,5,5,1,0.52
73584,73592,5,5,1,0.185
73585,187257,5,5,1,0.383
73586,133647,5,5,1,0.501
73586,135021,5,5,1,0.491
73588,118001,5,5,1,0.164
73592,73593,5,5,1,0.13
73593,122209,5,5,1,0.141
76176,76178,5,5,1,0.684
76177,76184,5,5,1,0.211
76178,202313,5,5,1,0.477
76179,76177,5,5,1,0.64
76180,76179,5,5,1,0.517
76181,85833,5,5,1,0.677
76182,76180,5,5,1,0.448
76183,76176,5,5,1,0.205
76184,248281,5,5,2,1.241
79724,56166,5,5,1,0.195
79741,200046,5,5,1,0.241
79742,10568,5,5,5,1.514
79742,114523,5,5,1,0.19
79742,250094,5,5,1,0.048
79743,211200,5,5,1,0.243
79744,161781,5,5,1,0.27
79745,222852,5,5,1,0.387
80092,79745,5,5,1,0.236
80092,112500,5,5,1,0.365
80092,124947,5,5,1,0.033
81275,231907,5,5,1,1.508
81280,231904,5,5,3,1.296
82885,182537,5,5,1,0.339
82886,124299,5,5,1,0.088
82886,203271,5,5,10,5.588
82886,262119,5,5,1,0.027
82887,82888,5,5,1,0.472
82888,242838,5,5,1,0.275
82889,83509,5,5,4,2.043
