node,layer,lat,lon,degree,geometry
349,5,50.17027,-5.11094,22,"-5.11094, 50.17027"
6294,5,50.15069,-5.05608,14,"-5.05608, 50.15069"
10546,5,50.14978,-5.083,15,"-5.083, 50.14978"
10568,5,50.15642,-5.07013,19,"-5.07013, 50.15642"
38331,5,50.14836,-5.06527,19,"-5.06527, 50.14836"
51652,5,50.16409,-5.12276,11,"-5.12276, 50.16409"
52663,5,50.15392,-5.08382,3,"-5.08382, 50.15392"
56165,5,50.15935,-5.07821,2,"-5.07821, 50.15935"
56166,5,50.15965,-5.07842,2,"-5.07842, 50.15965"
56170,5,50.15775,-5.08282,2,"-5.08282, 50.15775"
56171,5,50.15459,-5.07997,5,"-5.07997, 50.15459"
56172,5,50.15427,-5.07841,2,"-5.07841, 50.15427"
56173,5,50.15667,-5.07773,2,"-5.07773, 50.15667"
56174,5,50.15659,-5.07749,2,"-5.07749, 50.15659"
56988,5,50.08877,-5.31899,2,"-5.31899, 50.08877"
56989,5,50.08871,-5.31915,2,"-5.31915, 50.08871"
56991,5,50.08532,-5.31695,10,"-5.31695, 50.08532"
56992,5,50.0854,-5.31697,2,"-5.31697, 50.0854"
59417,5,49.99561,-5.18864,3,"-5.18864, 49.99561"
59418,5,49.99337,-5.18222,9,"-5.18222, 49.99337"
59419,5,50.00353,-5.17685,2,"-5.17685, 50.00353"
59420,5,50.00356,-5.17705,4,"-5.17705, 50.00356"
59421,5,50.05086,-5.17745,2,"-5.17745, 50.05086"
59422,5,50.05084,-5.17761,2,"-5.17761, 50.05084"
59423,5,50.04214,-5.16301,2,"-5.16301, 50.04214"
59424,5,50.04207,-5.16308,2,"-5.16308, 50.04207"
59425,5,50.03634,-5.12845,3,"-5.12845, 50.03634"
60051,5,50.10738,-5.2959,3,"-5.2959, 50.10738"
60054,5,50.10742,-5.29569,3,"-5.29569, 50.10742"
61157,5,50.1436,-5.10351,2,"-5.10351, 50.1436"
61158,5,50.1404,-5.10378,2,"-5.10378, 50.1404"
61159,5,50.14958,-5.10319,2,"-5.10319, 50.14958"
61160,5,50.14706,-5.10362,2,"-5.10362, 50.14706"
61161,5,50.14707,-5.10345,2,"-5.10345, 50.14707"
61162,5,50.14357,-5.10363,2,"-5.10363, 50.14357"
61163,5,50.15798,-5.09956,2,"-5.09956, 50.15798"
61164,5,50.15593,-5.10001,3,"-5.10001, 50.15593"
61165,5,50.14958,-5.10332,2,"-5.10332, 50.14958"
66608,5,50.09868,-5.27871,2,"-5.27871, 50.09868"
66609,5,50.09846,-5.27949,2,"-5.27949, 50.09846"
66610,5,50.10171,-5.28123,3,"-5.28123, 50.10171"
66611,5,50.10163,-5.28137,3,"-5.28137, 50.10163"
66612,5,50.08668,-5.30226,2,"-5.30226, 50.08668"
66613,5,50.08656,-5.30182,2,"-5.30182, 50.08656"
66614,5,50.09731,-5.28144,2,"-5.28144, 50.09731"
66615,5,50.09716,-5.28215,2,"-5.28215, 50.09716"
66616,5,50.08715,-5.31126,2,"-5.31126, 50.08715"
66617,5,50.08727,-5.31062,2,"-5.31062, 50.08727"
70466,5,50.14754,-5.07011,3,"-5.07011, 50.14754"
71727,5,50.11265,-5.2664,2,"-5.2664, 50.11265"
72614,5,50.13801,-5.09214,2,"-5.09214, 50.13801"
73159,5,50.18741,-5.17342,2,"-5.17342, 50.18741"
73160,5,50.19434,-5.16584,2,"-5.16584, 50.19434"
73161,5,50.19415,-5.16567,2,"-5.16567, 50.19415"
73584,5,50.15139,-5.08868,2,"-5.08868, 50.15139"
73585,5,50.14966,-5.09421,2,"-5.09421, 50.14966"
73586,5,50.14961,-5.09412,3,"-5.09412, 50.14961"
73588,5,50.15682,-5.09815,3,"-5.09815, 50.15682"
73592,5,50.15229,-5.09088,2,"-5.09088, 50.15229"
73593,5,50.15198,-5.09265,2,"-5.09265, 50.15198"
76176,5,50.10805,-5.33644,2,"-5.33644, 50.10805"
76177,5,50.10814,-5.33646,2,"-5.33646, 50.10814"
76178,5,50.10728,-5.34597,2,"-5.34597, 50.10728"
76179,5,50.10743,-5.34538,2,"-5.34538, 50.10743"
76180,5,50.10828,-5.35252,2,"-5.35252, 50.10828"
76181,5,50.10958,-5.35847,2,"-5.35847, 50.10958"
76182,5,50.10967,-5.35843,2,"-5.35843, 50.10967"
76183,5,50.10719,-5.33388,2,"-5.33388, 50.10719"
76184,5,50.10735,-5.33375,2,"-5.33375, 50.10735"
79724,5,50.1579,-5.07875,2,"-5.07875, 50.1579"
79741,5,50.14836,-5.05602,2,"-5.05602, 50.14836"
79742,5,50.16371,-5.08813,6,"-5.08813, 50.16371"
79743,5,50.14615,-5.06243,3,"-5.06243, 50.14615"
79744,5,50.13805,-5.09224,2,"-5.09224, 50.13805"
79745,5,50.14921,-5.075,3,"-5.075, 50.14921"
80092,5,50.15045,-5.0777,5,"-5.0777, 50.15045"
81275,5,50.12962,-5.30824,2,"-5.30824, 50.12962"
81280,5,50.12095,-5.31698,2,"-5.31698, 50.12095"
82885,5,50.16475,-5.13219,4,"-5.13219, 50.16475"
82886,5,50.16472,-5.132,4,"-5.132, 50.16472"
82887,5,50.20047,-5.14326,2,"-5.14326, 50.20047"
82888,5,50.19641,-5.14129,2,"-5.14129, 50.19641"
82889,5,50.18923,-5.12834,4,"-5.12834, 50.18923"
82890,5,50.18705,-5.17474,2,"-5.17474, 50.18705"
82891,5,50.18888,-5.17818,2,"-5.17818, 50.18888"
82892,5,50.19067,-5.17969,2,"-5.17969, 50.19067"
83133,5,50.17552,-5.21981,2,"-5.21981, 50.17552"
83378,5,50.1009,-5.26164,4,"-5.26164, 50.1009"
83509,5,50.17108,-5.12362,10,"-5.12362, 50.17108"
83510,5,50.17108,-5.12373,2,"-5.12373, 50.17108"
83514,5,50.09357,-5.26092,4,"-5.26092, 50.09357"
83515,5,50.15032,-5.07429,4,"-5.07429, 50.15032"
84975,5,50.17232,-5.09541,3,"-5.09541, 50.17232"
84976,5,50.17225,-5.09539,2,"-5.09539, 50.17225"
84982,5,50.1717,-5.10028,2,"-5.10028, 50.1717"
84983,5,50.17164,-5.10028,2,"-5.10028, 50.17164"
85637,5,50.11878,-5.17541,5,"-5.17541, 50.11878"
85638,5,50.11976,-5.18075,2,"-5.18075, 50.11976"
85819,5,50.16147,-5.08708,3,"-5.08708, 50.16147"
85820,5,50.15535,-5.08157,5,"-5.08157, 50.15535"
85830,5,50.11216,-5.3932,2,"-5.3932, 50.11216"
85831,5,50.11215,-5.39341,2,"-5.39341, 50.11215"
85832,5,50.11099,-5.3677,3,"-5.3677, 50.11099"
85833,5,50.11078,-5.3678,3,"-5.3678, 50.11078"
85834,5,50.10448,-5.38956,2,"-5.38956, 50.10448"
85835,5,50.10455,-5.38952,2,"-5.38952, 50.10455"
85837,5,50.10667,-5.39156,2,"-5.39156, 50.10667"
85840,5,50.11054,-5.36525,2,"-5.36525, 50.11054"
89432,5,50.13073,-5.09502,2,"-5.09502, 50.13073"
89433,5,50.1307,-5.09481,2,"-5.09481, 50.1307"
92984,5,50.15781,-5.08645,2,"-5.08645, 50.15781"
92985,5,50.15783,-5.08639,2,"-5.08639, 50.15783"
92988,5,50.15848,-5.08613,2,"-5.08613, 50.15848"
92993,5,50.15998,-5.08979,2,"-5.08979, 50.15998"
92994,5,50.15875,-5.08767,2,"-5.08767, 50.15875"
92999,5,50.15852,-5.08606,2,"-5.08606, 50.15852"
93000,5,50.15971,-5.08777,2,"-5.08777, 50.15971"
93004,5,50.15976,-5.08769,2,"-5.08769, 50.15976"
93008,5,50.15995,-5.08986,2,"-5.08986, 50.15995"
93013,5,50.15881,-5.08763,2,"-5.08763, 50.15881"
93757,5,50.155,-5.08571,3,"-5.08571, 50.155"
98075,5,50.09233,-5.2646,7,"-5.2646, 50.09233"
98076,5,50.09226,-5.26004,11,"-5.26004, 50.09226"
98077,5,50.08117,-5.258,6,"-5.258, 50.08117"
98078,5,50.08097,-5.25731,6,"-5.25731, 50.08097"
98079,5,50.09253,-5.26502,6,"-5.26502, 50.09253"
98080,5,50.07415,-5.21494,3,"-5.21494, 50.07415"
98081,5,50.07084,-5.21047,3,"-5.21047, 50.07084"
