ori_node,des_node,ori_layer,des_layer,minutes,km
10854,10854,5,5,1,0
10854,117723,5,5,1,0.34
10854,186039,5,5,1,0.282
11816,151734,5,5,3,0.617
11816,194781,5,5,5,3.755
14577,96734,5,5,1,0.581
14577,171883,5,5,17,11.117
14577,258339,5,5,18,11.143
14594,121942,5,5,5,1.8
19989,76880,5,5,1,3.118
19989,95223,5,5,1,2.091
32521,177709,5,5,8,6.074
35151,83816,5,5,2,2.854
35151,258433,5,5,2,2.682
40094,121527,5,5,5,2.234
43926,89770,5,5,12,5.608
43926,95234,5,5,1,0.366
43926,234291,5,5,9,6.836
43998,67683,5,5,5,13.247
43998,258339,5,5,4,0.308
47659,47659,5,5,2,0
47659,168908,5,5,2,0.565
47659,189577,5,5,3,0.42
47659,199999,5,5,7,0.936
47659,242526,5,5,1,0.289
49038,49038,5,5,1,0
49038,161641,5,5,1,0.251
49038,186036,5,5,1,0.32
49038,197892,5,5,4,1.141
49038,247929,5,5,5,1.562
54910,123045,5,5,1,0.178
58333,35151,5,5,2,2.686
58334,99746,5,5,1,0.381
58334,133342,5,5,1,0.154
60248,64061,5,5,7,2.994
60248,123046,5,5,1,0.303
60248,199999,5,5,1,0.443
62480,112213,5,5,19,5.413
62480,190081,5,5,5,1.972
62859,79619,5,5,5,1.094
62859,221841,5,5,1,0.012
64061,105121,5,5,7,2.947
64061,121526,5,5,7,3.841
65617,193284,5,5,1,1.068
65999,118141,5,5,3,1.929
67683,79718,5,5,5,0.632
67860,70284,5,5,7,6.7
67860,242207,5,5,5,4.922
70283,114646,5,5,6,6.309
70284,192497,5,5,2,2.955
72349,78187,5,5,7,2.966
74305,131942,5,5,1,2.601
74305,135966,5,5,5,2.894
76010,118141,5,5,11,3.998
76010,201356,5,5,9,3.853
76015,192642,5,5,1,1.045
76021,85046,5,5,5,4.416
76022,135966,5,5,2,1.491
76022,165950,5,5,2,2.569
76714,136419,5,5,3,2.043
76880,35151,5,5,1,2.857
77498,234290,5,5,6,6.866
77498,258339,5,5,15,6.92
78187,94351,5,5,4,1.428
79619,62859,5,5,4,1.094
79619,89291,5,5,9,0.99
79718,138449,5,5,1,5.386
82117,76714,5,5,2,1.194
82838,242528,5,5,1,0.306
83174,76015,5,5,2,5.991
83816,19989,5,5,3,3.121
86210,139351,5,5,1,0.589
89291,62859,5,5,2,0.751
89291,72349,5,5,8,9.285
89291,79619,5,5,3,0.99
89291,227659,5,5,2,2.975
89770,234291,5,5,3,1.7
90051,179680,5,5,1,0.116
90089,105121,5,5,4,0.557
90089,242626,5,5,1,0.179
90089,248340,5,5,1,0.272
90099,90089,5,5,1,0.569
92488,74305,5,5,1,3.434
92488,92489,5,5,1,0.448
92489,92490,5,5,1,0.51
92490,185111,5,5,1,0.221
92491,90099,5,5,1,0.478
92492,74305,5,5,4,2.308
92492,94351,5,5,1,0.206
92492,186036,5,5,1,1.425
92492,197892,5,5,1,0.172
92492,247929,5,5,1,0.472
92492,260999,5,5,4,1.331
94351,49038,5,5,4,1.249
94351,74305,5,5,7,2.107
94351,92492,5,5,1,0.206
94351,186036,5,5,2,1.566
94351,197892,5,5,1,0.111
94351,244718,5,5,1,0.747
94351,247929,5,5,1,0.435
95223,234289,5,5,1,1.546
95234,11816,5,5,1,3.696
95234,151734,5,5,4,3.098
96734,95234,5,5,5,7.156
96734,151734,5,5,11,10.134
96734,184571,5,5,3,1.675
97027,19989,5,5,1,2.1
98721,214821,5,5,10,7.219
99746,186038,5,5,1,0.211
99747,58333,5,5,1,0.697
99747,261089,5,5,1,0.015
101824,112213,5,5,5,6.431
101824,248750,5,5,5,3.182
102149,149030,5,5,1,0.371
102149,232818,5,5,1,0.206
102150,102151,5,5,4,3.121
102150,232817,5,5,5,3.593
102151,102149,5,5,1,0.482
102151,232817,5,5,1,0.662
105121,82838,5,5,1,0.277
108211,133342,5,5,1,0.137
112212,82117,5,5,1,1.392
112213,127926,5,5,17,5.391
112213,184891,5,5,10,5.394
112213,190076,5,5,9,2.377
112213,204571,5,5,10,6.444
112214,149038,5,5,1,0.356
114646,168906,5,5,1,1.158
117063,132877,5,5,2,2.891
117723,166209,5,5,1,0.433
117723,186042,5,5,1,0.456
117723,234443,5,5,1,0.621
118141,191000,5,5,1,1.381
118141,215359,5,5,3,0.137
121526,64061,5,5,8,3.841
121527,131723,5,5,40,11.945
122099,146711,5,5,1,0.669
122099,244717,5,5,2,1.143
123045,92488,5,5,1,0.368
123045,248340,5,5,1,0.2
123046,92488,5,5,1,0.384
123046,242626,5,5,1,0.176
124257,259517,5,5,11,9.232
127921,127926,5,5,5,2.707
127921,159022,5,5,20,12.84
127926,62480,5,5,1,0.203
127926,112213,5,5,17,5.391
127926,127921,5,5,10,2.707
127926,184492,5,5,5,2.709
129616,189413,5,5,3,2.475
131289,178742,5,5,11,4.793
131723,14594,5,5,20,8.096
131942,166350,5,5,4,6.415
132544,187726,5,5,3,2.537
132877,67860,5,5,11,6.687
132877,242207,5,5,2,2.655
133342,99747,5,5,1,0.15
134576,215347,5,5,1,0.352
134923,242526,5,5,3,0.824
135032,156361,5,5,7,5.231
135966,131942,5,5,1,1.503
135966,165950,5,5,5,2.873
136419,189655,5,5,10,9.119
137161,242207,5,5,7,3.815
138449,97027,5,5,1,1.512
138449,131289,5,5,10,3.402
139349,151585,5,5,8,6.535
139351,137161,5,5,1,0.59
139351,151585,5,5,3,0.785
143416,174660,5,5,6,6.274
145700,242207,5,5,26,21.956
146711,244717,5,5,1,0.527
149030,149031,5,5,4,3.206
149030,254615,5,5,2,3.393
149031,112212,5,5,1,0.74
149031,254615,5,5,1,0.211
149038,163769,5,5,13,9.167
151499,227304,5,5,7,5.213
151585,89291,5,5,4,2.967
151734,11816,5,5,3,0.617
151734,194781,5,5,1,3.159
151734,234291,5,5,12,10.131
151752,146711,5,5,2,0.543
151752,244718,5,5,1,0.549
154490,151499,5,5,28,16.47
154490,159022,5,5,1,0.526
156361,189413,5,5,23,17.733
159022,127921,5,5,20,12.84
159022,129616,5,5,1,0.519
159022,214820,5,5,5,2.721
160056,90051,5,5,1,0.333
161641,171337,5,5,1,0.2
163769,112214,5,5,12,9.473
163769,232817,5,5,2,1.422
165950,92492,5,5,3,2.326
165950,247929,5,5,1,2.291
166209,192500,5,5,1,0.395
166209,234443,5,5,1,0.33
