ori_node,des_node,ori_layer,des_layer,minutes,km
54854,245000,4,4,16,15.664
59874,67201,4,4,3,3.911
60248,123046,4,4,1,0.303
60694,54854,4,4,1,2.013
65617,193284,4,4,1,1.068
65999,118141,4,4,2,1.929
65999,215359,4,4,2,2.006
67201,204735,4,4,4,5.625
70283,114646,4,4,7,6.309
70284,192497,4,4,3,2.955
74305,131942,4,4,2,2.601
76010,201356,4,4,4,3.853
76015,192642,4,4,2,1.045
76017,76010,4,4,6,6.28
76021,85046,4,4,8,4.416
76022,165950,4,4,3,2.569
76099,182221,4,4,1,2.048
76714,136419,4,4,3,2.043
82117,76714,4,4,2,1.194
82838,242528,4,4,1,0.306
83174,76015,4,4,5,5.991
84616,87200,4,4,1,1.865
85544,208900,4,4,4,3.961
87200,159394,4,4,1,0.429
90089,248340,4,4,1,0.272
90099,90089,4,4,1,0.569
90677,134575,4,4,8,10.164
90677,134576,4,4,17,12.819
92488,92489,4,4,1,0.448
92489,92490,4,4,1,0.51
92490,185111,4,4,1,0.221
92491,90099,4,4,1,0.478
103837,232818,4,4,1,0.569
105121,82838,4,4,1,0.277
105630,184253,4,4,1,1.854
112212,82117,4,4,1,1.392
114646,168906,4,4,1,1.158
117063,132877,4,4,3,2.891
118141,191000,4,4,1,1.381
123046,92488,4,4,1,0.384
124257,259517,4,4,12,9.232
131942,166350,4,4,6,6.415
132544,187726,4,4,3,2.537
132877,242207,4,4,6,2.655
134575,84616,4,4,1,0.286
134576,215347,4,4,1,0.352
136419,189655,4,4,9,9.119
143416,174660,4,4,7,6.274
156484,76099,4,4,18,15.7
159394,85544,4,4,4,5.597
165950,247929,4,4,3,2.291
166350,70284,4,4,4,2.644
168906,251906,4,4,1,1.289
174660,117063,4,4,5,5.45
182221,232817,4,4,1,1.417
184253,217009,4,4,1,0.296
185111,74305,4,4,4,2.302
187726,103837,4,4,5,3.283
191000,101002,4,4,18,12.097
192497,70283,4,4,5,5.412
192640,242526,4,4,1,0.182
192642,76017,4,4,1,0.769
193284,254133,4,4,1,1.142
201356,65617,4,4,1,2.005
204735,105630,4,4,1,0.422
208900,85046,4,4,8,4.329
210239,59874,4,4,8,4.35
210239,174380,4,4,8,4.402
215347,65617,4,4,1,1.951
215359,83174,4,4,3,3.887
217009,101002,4,4,9,10.19
232817,245455,4,4,1,0.574
232818,60694,4,4,3,1.442
242207,76022,4,4,5,6.422
242526,60248,4,4,1,0.335
242528,192640,4,4,2,0.162
245455,112212,4,4,4,3.307
247929,92491,4,4,1,0.271
248340,105121,4,4,1,0.284
251906,65999,4,4,1,0.919
254133,143416,4,4,1,1.208
259517,132544,4,4,4,1.972
