ori_node,des_node,ori_layer,des_layer,minutes,km
10854,35151,2,2,5,4.446
10854,49038,2,2,4,1.611
11816,43926,2,2,6,4.052
14577,43926,2,2,8,6.431
14577,241056,2,2,6,4.785
19989,35151,2,2,5,5.975
19989,71874,2,2,10,9.865
35151,10854,2,2,6,4.446
35151,19989,2,2,5,5.975
43926,11816,2,2,7,4.052
43926,14577,2,2,8,6.431
43998,71874,2,2,16,13.001
43998,241056,2,2,9,6.428
47659,49038,2,2,6,2.62
47659,182073,2,2,12,13.603
49038,10854,2,2,5,1.611
49038,47659,2,2,7,2.62
71874,19989,2,2,9,9.865
71874,43998,2,2,15,13.001
99680,186975,2,2,15,13.786
149564,182073,2,2,6,5.119
149564,186975,2,2,10,8.255
182073,47659,2,2,13,13.603
182073,149564,2,2,7,5.119
186975,99680,2,2,17,13.786
186975,149564,2,2,10,8.255
241056,14577,2,2,7,4.785
241056,43998,2,2,9,6.428
