node,layer,lat,lon,degree,geometry
10854,2,56.84281,-5.12195,14,"-5.12195, 56.84281"
11816,2,57.00597,-5.82959,32,"-5.82959, 57.00597"
14577,2,56.91252,-5.83907,13,"-5.83907, 56.91252"
19989,2,56.85539,-5.29003,12,"-5.29003, 56.85539"
35151,2,56.85525,-5.19157,12,"-5.19157, 56.85525"
43926,2,56.9697,-5.82191,13,"-5.82191, 56.9697"
43998,2,56.88095,-5.66338,12,"-5.66338, 56.88095"
47659,2,56.82042,-5.10613,20,"-5.10613, 56.82042"
49038,2,56.84329,-5.09542,19,"-5.09542, 56.84329"
71874,2,56.87238,-5.44962,4,"-5.44962, 56.87238"
99680,2,56.7602,-4.6906,4,"-4.6906, 56.7602"
149564,2,56.88834,-4.83724,4,"-4.83724, 56.88834"
182073,2,56.88999,-4.92161,4,"-4.92161, 56.88999"
186975,2,56.88426,-4.70132,4,"-4.70132, 56.88426"
241056,2,56.89953,-5.76379,4,"-5.76379, 56.89953"
