ori_node,des_node,ori_layer,des_layer,minutes,km
17444,128858,5,5,2,2.344
17444,236075,5,5,6,5.078
17444,250208,5,5,2,2.811
52608,52611,5,5,10,0.672
52608,64590,5,5,3,0.621
52608,94375,5,5,5,0.691
52608,120924,5,5,1,0.802
52608,253512,5,5,1,0.188
52608,261814,5,5,4,2.25
52609,52608,5,5,2,0.235
52609,137807,5,5,5,0.765
52609,253512,5,5,1,0.214
52610,52616,5,5,1,0.14
52611,62332,5,5,2,0.867
52611,95979,5,5,3,2.561
52612,52610,5,5,1,0.098
52613,52612,5,5,1,0.325
52614,52609,5,5,1,0.133
52615,52614,5,5,1,0.198
52616,52614,5,5,1,0.243
52616,197242,5,5,1,0.141
53407,205597,5,5,1,0.318
53761,82675,5,5,2,0.181
53761,225921,5,5,4,0.286
53762,53763,5,5,1,0.175
53763,199216,5,5,1,0.22
53764,53762,5,5,1,0.248
53764,53763,5,5,1,0.424
55203,86195,5,5,1,0.446
55204,55203,5,5,1,0.191
55206,216960,5,5,1,0.32
55209,64806,5,5,1,0.337
55210,64806,5,5,1,0.227
58965,123867,5,5,2,1.412
58966,58969,5,5,3,2.872
58968,96853,5,5,2,2.935
58969,105684,5,5,1,1.198
58972,133909,5,5,1,1.398
60625,141678,5,5,1,0.442
60626,72704,5,5,1,0.258
60626,132268,5,5,5,2.545
60627,63899,5,5,2,1.439
60628,95985,5,5,3,2.087
60628,189193,5,5,1,0.31
60629,60631,5,5,1,0.316
60631,60625,5,5,1,0.245
60631,132268,5,5,10,2.594
60632,205599,5,5,1,1.553
62101,65414,5,5,1,0.1
62252,95330,5,5,1,0.185
62287,62288,5,5,1,0.215
62288,52613,5,5,2,0.227
62332,62287,5,5,1,0.243
62359,169979,5,5,11,7.499
62364,169983,5,5,6,3.728
63898,60628,5,5,1,1.408
63899,126655,5,5,1,0.361
63903,63904,5,5,1,0.532
63904,63898,5,5,1,0.353
64590,94375,5,5,1,0.205
64590,226950,5,5,1,0.501
64805,55209,5,5,1,0.106
64805,115224,5,5,3,1.991
64806,64805,5,5,1,0.438
64806,72703,5,5,1,1.286
64806,128166,5,5,2,2.076
64806,140053,5,5,5,2.02
64806,205599,5,5,4,3.147
64806,222657,5,5,1,0.462
65406,110599,5,5,1,0.414
65407,108967,5,5,1,0.25
65408,65409,5,5,1,0.136
65409,195228,5,5,2,2.468
65410,108966,5,5,1,0.276
65411,65410,5,5,1,0.224
65412,65406,5,5,1,0.278
65412,169214,5,5,15,13.142
65413,108964,5,5,1,0.291
65414,158562,5,5,1,0.29
65415,62101,5,5,1,0.067
67016,111760,5,5,1,0.254
67016,141681,5,5,2,0.855
68591,84631,5,5,6,3.585
68592,216892,5,5,4,2.497
68592,216893,5,5,5,2.591
68594,257893,5,5,2,1.883
69788,155783,5,5,2,1.736
70342,112986,5,5,1,0.522
70342,131707,5,5,7,3.692
70342,149976,5,5,1,0.352
70821,250210,5,5,1,1.499
71884,71892,5,5,3,2.105
71889,151573,5,5,3,2.575
71892,151568,5,5,1,1.242
72700,82437,5,5,1,0.548
72703,60626,5,5,1,0.477
72704,60632,5,5,1,0.323
72704,169214,5,5,10,9.366
72705,72700,5,5,1,0.704
72705,82437,5,5,2,1.066
72706,58972,5,5,1,1.535
72706,224190,5,5,6,5.466
72944,161425,5,5,1,0.298
72944,161426,5,5,1,0.197
72945,76514,5,5,1,0.222
73353,105688,5,5,3,2.127
73361,73362,5,5,2,2.368
73362,73364,5,5,1,1.377
73362,141677,5,5,10,9.255
73362,193469,5,5,1,1.07
73363,199460,5,5,1,1.378
73364,74814,5,5,7,7.875
74814,151566,5,5,1,0.408
74815,151567,5,5,1,0.447
75211,153653,5,5,1,0.258
75211,214237,5,5,4,1.245
75212,107737,5,5,2,0.993
75212,214240,5,5,1,0.315
75212,224188,5,5,4,1.396
76514,206111,5,5,1,0.167
76515,205598,5,5,1,0.856
76515,234854,5,5,1,0.671
76516,111757,5,5,1,0.885
76516,111760,5,5,2,0.649
76517,190743,5,5,1,0.45
76519,17444,5,5,2,0.641
78783,208594,5,5,2,1.433
79763,218657,5,5,1,1.316
79764,195029,5,5,1,0.387
80007,89647,5,5,1,0.071
80007,105686,5,5,1,0.274
80007,133102,5,5,1,0.222
80007,182771,5,5,1,0.263
81898,189505,5,5,1,0.259
81899,111761,5,5,1,0.497
81963,114287,5,5,1,2.59
82437,72706,5,5,1,1.096
82438,63903,5,5,1,1.532
82439,197606,5,5,1,0.432
82675,72944,5,5,1,0.295
82675,225921,5,5,1,0.116
82676,169214,5,5,1,0.2
82677,245021,5,5,2,0.235
82678,106579,5,5,1,0.256
82680,105687,5,5,1,0.096
82922,159118,5,5,1,1.389
84631,68590,5,5,1,2.049
84632,68592,5,5,5,3.543
84634,169672,5,5,2,2.252
84634,225920,5,5,1,1.581
84636,64590,5,5,1,0.318
84747,62364,5,5,15,8.316
86192,171203,5,5,4,1.413
86193,121725,5,5,9,3.526
86194,55206,5,5,1,0.359
86195,250211,5,5,2,2.688
86196,178179,5,5,3,1.86
86197,162197,5,5,4,3.679
86198,138335,5,5,15,5.95
86199,138334,5,5,7,5.009
86202,86196,5,5,4,3.689
86202,178179,5,5,7,5.396
87139,222180,5,5,10,8.293
87979,107737,5,5,2,1.05
89647,80007,5,5,1,0.071
89647,89649,5,5,3,0.639
89647,111758,5,5,2,0.215
89647,179506,5,5,1,0.341
89649,80007,5,5,1,0.707
91173,89647,5,5,1,0.225
91173,105686,5,5,1,0.535
91173,133102,5,5,2,0.441
91174,173239,5,5,1,0.109
91175,91173,5,5,1,0.353
92296,101904,5,5,1,0.3
92296,173555,5,5,1,0.179
92297,76516,5,5,1,0.512
92297,101904,5,5,1,0.249
92297,101905,5,5,1,0.517
92297,125811,5,5,1,0.373
92297,173555,5,5,1,0.203
92298,92296,5,5,1,0.361
92298,92297,5,5,1,0.411
92298,125811,5,5,2,0.293
92602,241249,5,5,1,0.204
92605,82678,5,5,1,0.216
93064,218660,5,5,4,2.438
94373,94372,5,5,1,0.204
94375,52608,5,5,5,0.691
94375,95980,5,5,2,3.272
94375,120924,5,5,1,0.575
94375,197607,5,5,1,0.12
94375,197609,5,5,1,0.334
94375,197610,5,5,1,0.224
94375,222651,5,5,1,0.192
94375,253514,5,5,1,0.33
94376,94377,5,5,1,0.245
94377,94379,5,5,1,0.146
94378,103995,5,5,1,0.365
94379,101908,5,5,2,1.453
94379,107737,5,5,2,1.293
94379,214240,5,5,2,0.727
94866,254571,5,5,1,0.158
95194,199213,5,5,1,0.314
95330,184064,5,5,1,0.178
95978,95980,5,5,4,2.305
95979,110284,5,5,4,2.257
95980,52612,5,5,4,2.545
95980,198308,5,5,2,3.168
95982,53764,5,5,1,0.622
95983,238405,5,5,3,2.519
95985,218290,5,5,1,0.497
95986,60627,5,5,3,2.04
95986,189193,5,5,3,1.776
96851,82439,5,5,2,1.495
96852,58966,5,5,1,3.596
96853,58965,5,5,4,3.587
99782,114291,5,5,1,0.326
99782,145075,5,5,1,0.637
101903,131376,5,5,1,0.428
101903,171151,5,5,1,0.607
101904,91175,5,5,1,0.624
101905,101906,5,5,1,0.34
101906,113862,5,5,1,0.181
101907,107737,5,5,2,2.454
101907,159969,5,5,1,0.634
101907,224188,5,5,8,3.22
101908,101903,5,5,1,0.793
101908,218656,5,5,1,0.648
103811,224185,5,5,1,0.16
103995,255051,5,5,1,0.288
103996,94376,5,5,1,0.327
104003,101908,5,5,1,0.586
104004,103996,5,5,1,0.294
105681,224356,5,5,1,0.118
105682,81963,5,5,1,1.3
105684,53407,5,5,1,1.12
105685,80007,5,5,1,0.333
105685,111758,5,5,1,0.317
105685,133102,5,5,3,0.553
105685,154012,5,5,1,0.186
105685,169214,5,5,1,0.425
105686,133102,5,5,1,0.15
105687,233820,5,5,1,0.122
105688,95978,5,5,4,3.073
105689,73354,5,5,4,2.107
105691,58968,5,5,1,1.221
106517,180288,5,5,1,0.167
106579,92602,5,5,1,0.186
107737,62252,5,5,2,1.083
107737,75211,5,5,1,0.992
