node,layer,lat,lon,degree,geometry
17444,5,55.7405,-2.91349,14,"-2.91349, 55.7405"
52608,5,55.64589,-3.19076,10,"-3.19076, 55.64589"
52609,5,55.64542,-3.18709,4,"-3.18709, 55.64542"
52610,5,55.64692,-3.18204,2,"-3.18204, 55.64692"
52611,5,55.64709,-3.18023,4,"-3.18023, 55.64709"
52612,5,55.64698,-3.18047,3,"-3.18047, 55.64698"
52613,5,55.6447,-3.1772,2,"-3.1772, 55.6447"
52614,5,55.64441,-3.18593,3,"-3.18593, 55.64441"
52615,5,55.64359,-3.18311,2,"-3.18311, 55.64359"
52616,5,55.64574,-3.18284,3,"-3.18284, 55.64574"
53407,5,55.71815,-2.74449,3,"-2.74449, 55.71815"
53761,5,55.61472,-2.808,4,"-2.808, 55.61472"
53762,5,55.6265,-2.83372,2,"-2.83372, 55.6265"
53763,5,55.62565,-2.83135,3,"-2.83135, 55.62565"
53764,5,55.62762,-2.83716,3,"-2.83716, 55.62762"
55203,5,55.69625,-2.86553,2,"-2.86553, 55.69625"
55204,5,55.69491,-2.8636,2,"-2.8636, 55.69491"
55206,5,55.69666,-2.86638,2,"-2.86638, 55.69666"
55209,5,55.57274,-2.64172,3,"-2.64172, 55.57274"
55210,5,55.56912,-2.64805,5,"-2.64805, 55.56912"
58965,5,55.64798,-2.69107,2,"-2.69107, 55.64798"
58966,5,55.67944,-2.7084,2,"-2.7084, 55.67944"
58968,5,55.70501,-2.71551,2,"-2.71551, 55.70501"
58969,5,55.70497,-2.71586,2,"-2.71586, 55.70497"
58972,5,55.75694,-2.77789,2,"-2.77789, 55.75694"
60625,5,55.57617,-2.67111,3,"-2.67111, 55.57617"
60626,5,55.5762,-2.67168,3,"-2.67168, 55.5762"
60627,5,55.6421,-3.11632,3,"-3.11632, 55.6421"
60628,5,55.64222,-3.11718,3,"-3.11718, 55.64222"
60629,5,55.58082,-2.67467,2,"-2.67467, 55.58082"
60631,5,55.5782,-2.67268,6,"-2.67268, 55.5782"
60632,5,55.58114,-2.67481,2,"-2.67481, 55.58114"
62101,5,55.55429,-2.83249,2,"-2.83249, 55.55429"
62252,5,55.59094,-2.72662,3,"-2.72662, 55.59094"
