ori_node,des_node,ori_layer,des_layer,minutes,km
1538,37333,5,5,1,0.168
1538,37338,5,5,1,0.364
1538,43238,5,5,1,0.157
2730,72856,5,5,1,0.227
2730,246599,5,5,1,0.103
5168,72857,5,5,4,2.803
5175,5177,5,5,1,0.176
5175,49024,5,5,1,0.251
5176,5177,5,5,1,0.489
5176,45960,5,5,3,2.216
5177,5175,5,5,1,0.176
5177,5176,5,5,1,0.489
10821,10829,5,5,1,0.75
10821,105256,5,5,2,2.098
10829,10821,5,5,2,0.75
10829,49024,5,5,2,1.516
16692,18304,5,5,8,5.107
16692,19910,5,5,1,0.187
16692,40196,5,5,11,8.589
16692,115127,5,5,1,0.204
16692,226962,5,5,1,1.172
18304,16692,5,5,10,5.107
18304,24290,5,5,10,8.095
18304,51665,5,5,3,4.724
18304,226962,5,5,9,3.941
18459,45018,5,5,1,0.176
18459,45960,5,5,1,0.371
18460,24332,5,5,1,1.08
18460,226961,5,5,4,6.299
19910,16692,5,5,1,0.187
19910,37333,5,5,1,0.187
24290,40196,5,5,15,4.334
24290,92892,5,5,1,0.192
24290,236660,5,5,8,7.225
24332,236661,5,5,1,1.001
31147,43231,5,5,1,0.129
31147,43238,5,5,1,0.185
31534,45018,5,5,7,2.178
31534,46261,5,5,3,2.66
31541,10821,5,5,4,2.776
31541,33976,5,5,3,4.407
31541,34293,5,5,4,2.789
31541,258848,5,5,7,2.45
33976,31541,5,5,4,4.407
33976,33976,5,5,1,0
33976,82573,5,5,1,0.613
33976,225671,5,5,1,0.737
33976,254036,5,5,2,2.31
34293,45960,5,5,4,4.098
34293,105256,5,5,2,2.108
37333,1538,5,5,1,0.168
37333,19910,5,5,1,0.187
37338,1538,5,5,1,0.364
37338,43238,5,5,1,0.216
37338,92191,5,5,1,0.275
37663,41336,5,5,1,0.155
37663,226958,5,5,1,0.236
40196,16692,5,5,8,8.589
40196,24290,5,5,10,4.334
40196,115127,5,5,19,8.777
40196,236660,5,5,10,8.798
41336,37663,5,5,1,0.155
41336,226960,5,5,1,0.25
43231,31147,5,5,1,0.129
43231,43232,5,5,1,0.168
43232,2730,5,5,1,0.149
43232,43231,5,5,1,0.168
43238,1538,5,5,1,0.157
43238,31147,5,5,1,0.185
43238,37338,5,5,1,0.216
43238,100989,5,5,2,0.661
45018,18459,5,5,1,0.176
45018,31534,5,5,7,2.178
45960,5176,5,5,3,2.216
45960,18459,5,5,1,0.371
45960,34293,5,5,5,4.098
46261,31534,5,5,2,2.66
49024,5175,5,5,1,0.251
49024,10829,5,5,2,1.516
51663,217065,5,5,1,0.316
51665,226961,5,5,3,0.428
63344,2730,5,5,1,0.13
72856,182235,5,5,1,0.124
72857,24290,5,5,8,7.196
72857,40196,5,5,10,8.731
82573,37338,5,5,1,0.295
92190,33976,5,5,1,0.519
92190,100989,5,5,1,0.693
92191,225671,5,5,1,0.213
92892,233564,5,5,3,4.594
100989,82573,5,5,3,0.667
100989,225671,5,5,5,0.913
105256,31541,5,5,1,0.681
115127,16692,5,5,1,0.204
115127,19910,5,5,1,0.183
115127,40196,5,5,11,8.777
115127,72856,5,5,5,0.598
121551,236661,5,5,2,1.3
182235,246598,5,5,1,0.089
225671,82573,5,5,1,0.247
225671,92190,5,5,1,0.25
225671,100989,5,5,5,0.913
226958,33976,5,5,8,8.246
226958,258848,5,5,9,6.521
226959,41336,5,5,1,0.409
226960,51663,5,5,1,0.287
226961,18304,5,5,7,5.035
226961,24290,5,5,8,4.96
226961,121551,5,5,3,4.684
226962,16692,5,5,2,1.172
226962,18304,5,5,2,3.941
226962,115127,5,5,4,1.233
233564,18304,5,5,5,4.703
233564,51665,5,5,1,0.043
236660,5168,5,5,4,2.725
236661,18460,5,5,1,0.369
246598,63344,5,5,1,0.132
246599,43232,5,5,1,0.122
254036,37663,5,5,8,6.276
258848,33976,5,5,2,2.213
