node,layer,lat,lon,degree,geometry
17,5,55.89195,-4.17978,4,"-4.17978, 55.89195"
77,5,55.83469,-4.50362,29,"-4.50362, 55.83469"
91,5,55.78566,-4.29458,4,"-4.29458, 55.78566"
101,5,55.94376,-4.15498,6,"-4.15498, 55.94376"
177,5,55.9721,-4.09282,6,"-4.09282, 55.9721"
178,5,55.86987,-4.12662,4,"-4.12662, 55.86987"
281,5,55.87246,-4.28457,5,"-4.28457, 55.87246"
295,5,55.81948,-4.29073,4,"-4.29073, 55.81948"
337,5,55.89812,-4.45061,4,"-4.45061, 55.89812"
339,5,55.89672,-4.4419,4,"-4.4419, 55.89672"
340,5,55.90215,-4.43991,4,"-4.43991, 55.90215"
341,5,55.89978,-4.4367,6,"-4.4367, 55.89978"
342,5,55.90301,-4.44286,4,"-4.44286, 55.90301"
429,5,55.86834,-4.24385,4,"-4.24385, 55.86834"
451,5,55.77367,-4.28053,4,"-4.28053, 55.77367"
486,5,55.8702,-4.2984,4,"-4.2984, 55.8702"
502,5,55.94125,-4.33601,4,"-4.33601, 55.94125"
510,5,55.85255,-4.34069,18,"-4.34069, 55.85255"
547,5,55.94005,-4.1456,4,"-4.1456, 55.94005"
563,5,55.84651,-4.15591,4,"-4.15591, 55.84651"
565,5,55.84809,-4.15641,4,"-4.15641, 55.84809"
632,5,55.90167,-4.29524,4,"-4.29524, 55.90167"
672,5,55.90101,-4.34546,4,"-4.34546, 55.90101"
676,5,55.89581,-4.43696,6,"-4.43696, 55.89581"
678,5,55.82059,-4.21351,4,"-4.21351, 55.82059"
680,5,55.75651,-4.17207,6,"-4.17207, 55.75651"
681,5,55.74538,-4.19819,4,"-4.19819, 55.74538"
682,5,55.74795,-4.19293,4,"-4.19293, 55.74795"
683,5,55.75018,-4.18295,4,"-4.18295, 55.75018"
684,5,55.74918,-4.17726,4,"-4.17726, 55.74918"
685,5,55.74916,-4.17023,6,"-4.17023, 55.74916"
686,5,55.74999,-4.165,4,"-4.165, 55.74999"
687,5,55.75116,-4.16051,6,"-4.16051, 55.75116"
692,5,55.75384,-4.175,4,"-4.175, 55.75384"
723,5,55.95872,-3.94716,4,"-3.94716, 55.95872"
729,5,55.95714,-3.95019,3,"-3.95019, 55.95714"
803,5,55.80884,-4.1893,4,"-4.1893, 55.80884"
804,5,55.81009,-4.18765,4,"-4.18765, 55.81009"
805,5,55.80653,-4.18647,4,"-4.18647, 55.80653"
806,5,55.8069,-4.18903,8,"-4.18903, 55.8069"
837,5,55.89569,-4.35424,4,"-4.35424, 55.89569"
994,5,55.85458,-4.30467,12,"-4.30467, 55.85458"
1051,5,55.88768,-4.365,30,"-4.365, 55.88768"
1067,5,55.80734,-4.23285,4,"-4.23285, 55.80734"
1082,5,55.90479,-4.33487,22,"-4.33487, 55.90479"
1105,5,55.86122,-4.30655,4,"-4.30655, 55.86122"
1112,5,55.8292,-4.29234,14,"-4.29234, 55.8292"
1131,5,55.89825,-4.39361,4,"-4.39361, 55.89825"
1160,5,55.81229,-4.25966,4,"-4.25966, 55.81229"
1164,5,55.89496,-4.22835,11,"-4.22835, 55.89496"
1167,5,55.88868,-4.23059,4,"-4.23059, 55.88868"
1237,5,55.85038,-4.11902,5,"-4.11902, 55.85038"
1239,5,55.85095,-4.10888,7,"-4.10888, 55.85095"
1240,5,55.8522,-4.10649,6,"-4.10649, 55.8522"
1268,5,55.92451,-4.58526,13,"-4.58526, 55.92451"
1286,5,55.94952,-3.9708,6,"-3.9708, 55.94952"
1287,5,55.95194,-3.97813,5,"-3.97813, 55.95194"
1288,5,55.88265,-4.33871,4,"-4.33871, 55.88265"
1289,5,55.95598,-3.96844,4,"-3.96844, 55.95598"
1300,5,55.90565,-4.07932,4,"-4.07932, 55.90565"
1377,5,55.81246,-4.22633,5,"-4.22633, 55.81246"
1411,5,55.89715,-4.30194,18,"-4.30194, 55.89715"
1475,5,55.80429,-4.22268,4,"-4.22268, 55.80429"
1479,5,55.91099,-4.3364,4,"-4.3364, 55.91099"
