ori_node,des_node,ori_layer,des_layer,minutes,km
3772,5334,4,4,24,18.716
5334,5334,4,4,5,0
5334,40520,4,4,25,10.958
5334,45809,4,4,22,18.714
5334,46311,4,4,20,11.301
5334,142850,4,4,10,8.841
5334,234988,4,4,8,2.869
18273,5334,4,4,9,2.748
19683,46317,4,4,3,1.428
19683,174297,4,4,2,1.253
24795,143813,4,4,4,1.743
30058,33015,4,4,7,4.311
33015,123408,4,4,6,4.709
33015,191491,4,4,2,0.796
40520,5334,4,4,30,10.958
46311,5334,4,4,20,11.301
46317,19683,4,4,3,1.428
123401,30058,4,4,3,2.099
123408,98190,4,4,3,1.384
143813,24795,4,4,5,1.743
143813,156436,4,4,3,1.084
156436,19683,4,4,2,1.154
174297,143813,4,4,3,1.04
191491,18273,4,4,4,1.81
225356,33015,4,4,3,0.959
234988,225356,4,4,3,1.526
242178,5334,4,4,14,8.896
