ori_node,des_node,ori_layer,des_layer,minutes,km
77,5973,2,2,6,8.778
77,30668,2,2,2,2.137
77,40520,2,2,4,5.127
77,48179,2,2,4,4.572
510,43634,2,2,7,5.235
510,45443,2,2,2,0.906
1051,4704,2,2,4,4.687
1051,12528,2,2,2,0.805
1051,39598,2,2,2,1.503
1082,4704,2,2,7,5.767
1082,5334,2,2,15,7.051
1082,14596,2,2,2,1.376
1082,33015,2,2,3,1.886
1082,40513,2,2,2,1.742
1112,7948,2,2,2,0.971
1112,22268,2,2,1,0.585
1268,31116,2,2,5,5.768
1411,5631,2,2,4,2.839
1411,15922,2,2,1,0.63
1411,37348,2,2,1,1.193
3285,4704,2,2,3,1.864
3285,39598,2,2,2,1.377
3285,44345,2,2,8,6.051
4453,5334,2,2,2,1.221
4453,18664,2,2,3,2.496
4704,1082,2,2,4,5.767
4704,3285,2,2,2,1.864
4704,5334,2,2,16,12.264
4704,17171,2,2,2,1.401
4704,20751,2,2,2,2.184
4704,44345,2,2,7,7.834
5328,18664,2,2,1,1.822
5328,23024,2,2,1,0.749
5328,43634,2,2,2,1.628
5334,1082,2,2,13,7.051
5334,4453,2,2,1,1.221
5334,4704,2,2,14,12.264
5334,5594,2,2,2,2.569
5334,25688,2,2,3,3.013
5334,27240,2,2,1,0.729
5334,29401,2,2,8,8.898
5334,30927,2,2,11,16.907
5334,43090,2,2,4,4.882
5594,5334,2,2,9,2.569
5594,48465,2,2,1,0.519
5594,165619,2,2,6,5.512
5631,5334,2,2,16,3.132
5631,25688,2,2,1,0.927
5631,36698,2,2,2,0.942
5973,77,2,2,6,8.778
5973,30668,2,2,5,6.662
5973,48179,2,2,4,4.207
6999,30995,2,2,2,1.319
6999,131113,2,2,2,1.543
7948,1112,2,2,2,0.971
7948,18003,2,2,2,0.806
9370,11954,2,2,3,2.726
9370,13640,2,2,2,2.214
9370,14558,2,2,1,1.321
9370,27240,2,2,4,3.551
9370,43634,2,2,7,4.304
10230,10779,2,2,1,1.017
10230,15975,2,2,3,1.198
10230,24620,2,2,2,0.789
10779,10230,2,2,2,1.017
10779,12387,2,2,3,1.155
10779,160217,2,2,2,1.116
11155,12528,2,2,1,1.704
11155,44345,2,2,1,0.757
11954,9370,2,2,1,2.726
11954,27240,2,2,6,6.047
11954,41098,2,2,2,2.493
11954,43634,2,2,10,6.905
