node,layer,lat,lon,degree,geometry
77,2,55.83469,-4.50362,29,"-4.50362, 55.83469"
510,2,55.85255,-4.34069,18,"-4.34069, 55.85255"
1051,2,55.88768,-4.365,30,"-4.365, 55.88768"
1082,2,55.90479,-4.33487,22,"-4.33487, 55.90479"
1112,2,55.8292,-4.29234,14,"-4.29234, 55.8292"
1268,2,55.92451,-4.58526,13,"-4.58526, 55.92451"
1411,2,55.89715,-4.30194,18,"-4.30194, 55.89715"
3285,2,55.90068,-4.40441,26,"-4.40441, 55.90068"
4453,2,55.86467,-4.26981,31,"-4.26981, 55.86467"
4704,2,55.91192,-4.42668,37,"-4.42668, 55.91192"
5328,2,55.86154,-4.28358,21,"-4.28358, 55.86154"
5334,2,55.86232,-4.25066,139,"-4.25066, 55.86232"
5594,2,55.8817,-4.22811,25,"-4.22811, 55.8817"
5631,2,55.89023,-4.25803,29,"-4.25803, 55.89023"
5973,2,55.78714,-4.61606,15,"-4.61606, 55.78714"
6999,2,55.79031,-4.31015,12,"-4.31015, 55.79031"
7948,2,55.83771,-4.28869,18,"-4.28869, 55.83771"
9370,2,55.83059,-4.2121,41,"-4.2121, 55.83059"
10230,2,55.82679,-4.26202,36,"-4.26202, 55.82679"
10779,2,55.81766,-4.26053,34,"-4.26053, 55.81766"
11155,2,55.88222,-4.326,15,"-4.326, 55.88222"
11954,2,55.8196,-4.173,27,"-4.173, 55.8196"
12042,2,55.83433,-4.15817,20,"-4.15817, 55.83433"
12387,2,55.81041,-4.27383,24,"-4.27383, 55.81041"
12528,2,55.88513,-4.35288,22,"-4.35288, 55.88513"
12706,2,55.76196,-4.22,21,"-4.22, 55.76196"
12960,2,55.71187,-4.53237,16,"-4.53237, 55.71187"
13021,2,55.81192,-4.35995,19,"-4.35995, 55.81192"
13640,2,55.84893,-4.22608,31,"-4.22608, 55.84893"
14267,2,55.8521,-4.44244,12,"-4.44244, 55.8521"
14558,2,55.84207,-4.2177,18,"-4.2177, 55.84207"
14596,2,55.91714,-4.3329,15,"-4.3329, 55.91714"
15922,2,55.89358,-4.30981,14,"-4.30981, 55.89358"
15975,2,55.81988,-4.24725,24,"-4.24725, 55.81988"
16426,2,55.83749,-4.33429,21,"-4.33429, 55.83749"
17171,2,55.90766,-4.40548,25,"-4.40548, 55.90766"
17737,2,55.84502,-4.30094,16,"-4.30094, 55.84502"
17907,2,55.80374,-4.39728,24,"-4.39728, 55.80374"
18003,2,55.83768,-4.27575,17,"-4.27575, 55.83768"
18664,2,55.86987,-4.3088,41,"-4.3088, 55.86987"
18666,2,55.78934,-4.27564,23,"-4.27564, 55.78934"
18862,2,55.92008,-4.32027,17,"-4.32027, 55.92008"
19983,2,55.85842,-4.21304,16,"-4.21304, 55.85842"
20085,2,55.85504,-4.17865,18,"-4.17865, 55.85504"
20150,2,55.86366,-4.21142,18,"-4.21142, 55.86366"
20168,2,55.81216,-4.34289,22,"-4.34289, 55.81216"
20751,2,55.92469,-4.45339,14,"-4.45339, 55.92469"
22268,2,55.8247,-4.28744,22,"-4.28744, 55.8247"
23024,2,55.85986,-4.27193,19,"-4.27193, 55.85986"
23250,2,55.80402,-4.29357,19,"-4.29357, 55.80402"
23537,2,55.88565,-4.07948,12,"-4.07948, 55.88565"
23545,2,55.85352,-4.16003,21,"-4.16003, 55.85352"
24620,2,55.83327,-4.2568,24,"-4.2568, 55.83327"
24995,2,55.82381,-4.3016,24,"-4.3016, 55.82381"
25621,2,55.94201,-3.98032,17,"-3.98032, 55.94201"
25688,2,55.88915,-4.24326,27,"-4.24326, 55.88915"
26618,2,55.84471,-4.1145,18,"-4.1145, 55.84471"
27240,2,55.85771,-4.24232,51,"-4.24232, 55.85771"
28539,2,55.83393,-4.28431,20,"-4.28431, 55.83393"
28624,2,55.68214,-4.51804,32,"-4.51804, 55.68214"
28689,2,55.85522,-4.12945,12,"-4.12945, 55.85522"
29401,2,55.92131,-4.15388,28,"-4.15388, 55.92131"
29815,2,55.83983,-4.13659,16,"-4.13659, 55.83983"
30058,2,55.90458,-4.38547,44,"-4.38547, 55.90458"
30668,2,55.8251,-4.53334,29,"-4.53334, 55.8251"
30927,2,55.95567,-4.03596,27,"-4.03596, 55.95567"
30995,2,55.79411,-4.29011,14,"-4.29011, 55.79411"
31116,2,55.90215,-4.50157,19,"-4.50157, 55.90215"
32095,2,55.84082,-4.34781,19,"-4.34781, 55.84082"
32271,2,55.85712,-4.22543,26,"-4.22543, 55.85712"
32475,2,55.78033,-4.26219,16,"-4.26219, 55.78033"
33015,2,55.8895,-4.32164,35,"-4.32164, 55.8895"
33279,2,55.85601,-4.37158,28,"-4.37158, 55.85601"
34606,2,55.76599,-4.18022,18,"-4.18022, 55.76599"
34631,2,55.85974,-4.10716,20,"-4.10716, 55.85974"
