node,layer,lat,lon,degree,geometry
12154,5,51.87361,-2.21173,22,"-2.21173, 51.87361"
24964,5,51.86542,-2.23866,81,"-2.23866, 51.86542"
27023,5,51.74457,-2.21939,41,"-2.21939, 51.74457"
30883,5,51.74589,-2.27951,17,"-2.27951, 51.74589"
35785,5,51.89598,-2.17217,11,"-2.17217, 51.89598"
50328,5,51.72161,-2.15661,14,"-2.15661, 51.72161"
50329,5,51.93366,-2.40808,12,"-2.40808, 51.93366"
50366,5,51.959,-2.30474,14,"-2.30474, 51.959"
52022,5,51.79594,-2.25646,2,"-2.25646, 51.79594"
52653,5,51.758,-2.3375,4,"-2.3375, 51.758"
52782,5,51.96228,-2.27438,4,"-2.27438, 51.96228"
52783,5,51.96163,-2.29427,2,"-2.29427, 51.96163"
52784,5,51.96049,-2.25335,2,"-2.25335, 51.96049"
52785,5,51.96222,-2.27432,3,"-2.27432, 51.96222"
52787,5,51.96043,-2.25337,2,"-2.25337, 51.96043"
52909,5,51.81853,-2.28128,3,"-2.28128, 51.81853"
53937,5,51.79327,-2.28797,3,"-2.28797, 51.79327"
53938,5,51.81137,-2.28496,2,"-2.28496, 51.81137"
53939,5,51.81124,-2.28457,2,"-2.28457, 51.81124"
53940,5,51.81727,-2.27995,5,"-2.27995, 51.81727"
53941,5,51.81865,-2.27921,4,"-2.27921, 51.81865"
53942,5,51.82104,-2.27805,2,"-2.27805, 51.82104"
53943,5,51.82102,-2.2779,2,"-2.2779, 51.82102"
53944,5,51.82543,-2.27714,2,"-2.27714, 51.82543"
54468,5,51.74707,-2.13772,2,"-2.13772, 51.74707"
54470,5,51.74708,-2.13761,2,"-2.13761, 51.74708"
54471,5,51.74513,-2.21101,2,"-2.21101, 51.74513"
54473,5,51.75435,-2.14357,4,"-2.14357, 51.75435"
54474,5,51.74521,-2.21099,2,"-2.21099, 51.74521"
54475,5,51.73579,-2.12594,2,"-2.12594, 51.73579"
54476,5,51.73362,-2.12193,2,"-2.12193, 51.73362"
54949,5,51.84883,-2.21024,2,"-2.21024, 51.84883"
55011,5,51.8769,-2.20407,3,"-2.20407, 51.8769"
55013,5,51.87686,-2.20441,3,"-2.20441, 51.87686"
55015,5,51.87807,-2.21775,4,"-2.21775, 51.87807"
55776,5,51.82669,-2.38164,2,"-2.38164, 51.82669"
55778,5,51.82652,-2.38186,2,"-2.38186, 51.82652"
56133,5,51.68994,-2.22327,2,"-2.22327, 51.68994"
56134,5,51.68749,-2.22573,2,"-2.22573, 51.68749"
56140,5,51.74679,-2.24327,2,"-2.24327, 51.74679"
56252,5,51.88966,-2.42353,3,"-2.42353, 51.88966"
56253,5,51.88974,-2.42336,4,"-2.42336, 51.88974"
56691,5,51.80174,-2.19204,2,"-2.19204, 51.80174"
56692,5,51.80693,-2.1849,2,"-2.1849, 51.80693"
56693,5,51.80675,-2.18503,2,"-2.18503, 51.80675"
56694,5,51.80998,-2.18068,2,"-2.18068, 51.80998"
56695,5,51.80982,-2.18072,2,"-2.18072, 51.80982"
56696,5,51.81307,-2.17696,3,"-2.17696, 51.81307"
56697,5,51.81248,-2.17754,3,"-2.17754, 51.81248"
56698,5,51.80905,-2.13417,2,"-2.13417, 51.80905"
56699,5,51.80896,-2.13324,2,"-2.13324, 51.80896"
56700,5,51.77357,-2.21268,2,"-2.21268, 51.77357"
57767,5,51.88811,-2.18497,2,"-2.18497, 51.88811"
57768,5,51.88655,-2.17985,2,"-2.17985, 51.88655"
57769,5,51.87988,-2.16848,2,"-2.16848, 51.87988"
57770,5,51.88787,-2.1835,2,"-2.1835, 51.88787"
57771,5,51.87821,-2.16342,4,"-2.16342, 51.87821"
57772,5,51.87997,-2.16852,3,"-2.16852, 51.87997"
57773,5,51.88767,-2.18545,2,"-2.18545, 51.88767"
57774,5,51.87803,-2.16363,5,"-2.16363, 51.87803"
57841,5,51.81665,-2.29174,2,"-2.29174, 51.81665"
57844,5,51.84392,-2.23634,2,"-2.23634, 51.84392"
58336,5,51.79165,-2.27253,2,"-2.27253, 51.79165"
58337,5,51.79144,-2.27251,2,"-2.27251, 51.79144"
58434,5,51.83447,-2.45063,2,"-2.45063, 51.83447"
58435,5,51.86899,-2.3109,2,"-2.3109, 51.86899"
58436,5,51.87871,-2.45164,3,"-2.45164, 51.87871"
58437,5,51.87785,-2.4379,5,"-2.4379, 51.87785"
58438,5,51.87775,-2.43774,5,"-2.43774, 51.87775"
58440,5,51.86886,-2.3109,4,"-2.3109, 51.86886"
58441,5,51.88357,-2.46652,2,"-2.46652, 51.88357"
58442,5,51.88359,-2.46671,2,"-2.46671, 51.88359"
58443,5,51.87883,-2.45144,3,"-2.45144, 51.87883"
58774,5,51.83725,-2.25626,2,"-2.25626, 51.83725"
59162,5,51.85084,-2.26837,2,"-2.26837, 51.85084"
59230,5,51.73756,-2.15913,2,"-2.15913, 51.73756"
59231,5,51.73655,-2.16175,3,"-2.16175, 51.73655"
59569,5,51.76108,-2.31612,2,"-2.31612, 51.76108"
59571,5,51.82133,-2.40506,2,"-2.40506, 51.82133"
59575,5,51.82449,-2.41272,5,"-2.41272, 51.82449"
60283,5,51.70849,-2.22865,2,"-2.22865, 51.70849"
60284,5,51.71096,-2.23056,3,"-2.23056, 51.71096"
60285,5,51.71077,-2.2303,2,"-2.2303, 51.71077"
60286,5,51.71419,-2.2312,3,"-2.2312, 51.71419"
60287,5,51.71312,-2.23107,3,"-2.23107, 51.71312"
60288,5,51.71837,-2.23017,3,"-2.23017, 51.71837"
60289,5,51.72056,-2.22957,3,"-2.22957, 51.72056"
60290,5,51.72032,-2.22951,2,"-2.22951, 51.72032"
60291,5,51.76093,-2.28395,2,"-2.28395, 51.76093"
60371,5,51.77891,-2.09645,4,"-2.09645, 51.77891"
60374,5,51.77053,-2.32605,3,"-2.32605, 51.77053"
60375,5,51.77322,-2.33049,2,"-2.33049, 51.77322"
60377,5,51.78283,-2.12728,4,"-2.12728, 51.78283"
60378,5,51.73936,-2.2416,5,"-2.2416, 51.73936"
60380,5,51.77049,-2.32613,3,"-2.32613, 51.77049"
60388,5,51.78278,-2.12728,4,"-2.12728, 51.78278"
60713,5,51.90642,-2.43724,6,"-2.43724, 51.90642"
60715,5,51.90637,-2.43713,7,"-2.43713, 51.90637"
61380,5,51.81322,-2.40011,2,"-2.40011, 51.81322"
61969,5,51.70885,-2.18082,2,"-2.18082, 51.70885"
61970,5,51.70892,-2.18077,3,"-2.18077, 51.70892"
62457,5,51.95296,-2.30271,2,"-2.30271, 51.95296"
62458,5,51.958,-2.30458,3,"-2.30458, 51.958"
62459,5,51.94188,-2.2975,3,"-2.2975, 51.94188"
62460,5,51.95294,-2.3029,2,"-2.3029, 51.95294"
62461,5,51.96276,-2.30302,5,"-2.30302, 51.96276"
62462,5,51.95799,-2.3044,3,"-2.3044, 51.95799"
62464,5,51.96269,-2.30299,13,"-2.30299, 51.96269"
62465,5,51.96165,-2.29395,2,"-2.29395, 51.96165"
62581,5,51.74524,-2.3507,3,"-2.3507, 51.74524"
62582,5,51.74153,-2.35429,2,"-2.35429, 51.74153"
62583,5,51.7378,-2.35839,4,"-2.35839, 51.7378"
62584,5,51.73752,-2.35854,2,"-2.35854, 51.73752"
62585,5,51.72754,-2.36805,5,"-2.36805, 51.72754"
63029,5,51.8948,-2.33338,2,"-2.33338, 51.8948"
63030,5,51.89486,-2.33342,2,"-2.33342, 51.89486"
63056,5,51.96104,-2.42155,2,"-2.42155, 51.96104"
63568,5,51.83228,-2.2085,3,"-2.2085, 51.83228"
63569,5,51.82533,-2.27698,2,"-2.27698, 51.82533"
63572,5,51.83763,-2.20742,2,"-2.20742, 51.83763"
63573,5,51.83527,-2.21063,3,"-2.21063, 51.83527"
