ori_node,des_node,ori_layer,des_layer,minutes,km
1052,257643,5,5,1,0.317
1052,257647,5,5,1,0.255
1339,12323,5,5,1,0.621
1339,33722,5,5,1,0.383
1534,39350,5,5,1,0.336
1534,107262,5,5,1,0.283
2167,12044,5,5,1,0.141
2167,50240,5,5,3,2.972
2311,51211,5,5,1,0.062
2311,197127,5,5,1,0.338
5566,5566,5,5,1,0
5566,8778,5,5,1,0.706
5566,12323,5,5,1,0.97
5566,14565,5,5,1,0.65
5566,82392,5,5,1,0.468
5566,166217,5,5,1,0.349
5566,176013,5,5,1,0.292
5566,189266,5,5,1,0.303
5566,189267,5,5,1,0.609
5566,256711,5,5,1,0.318
6253,6256,5,5,1,0.204
6253,18610,5,5,3,0.846
6253,232273,5,5,2,0.313
6256,6253,5,5,1,0.204
6256,12044,5,5,1,0.493
6256,19704,5,5,1,0.116
6256,55883,5,5,4,0.541
8334,9533,5,5,1,0.456
8334,216668,5,5,1,0.196
8334,216669,5,5,1,0.163
8742,15075,5,5,1,0.275
8742,247103,5,5,1,0.246
8778,8780,5,5,1,0.285
8778,82392,5,5,1,0.238
8778,176011,5,5,1,0.244
8779,8780,5,5,1,0.172
8779,12184,5,5,1,0.179
8780,8778,5,5,1,0.285
8780,8779,5,5,1,0.172
9050,9050,5,5,1,0
9050,20839,5,5,1,0.547
9050,36035,5,5,1,0.593
9050,36285,5,5,1,0.634
9050,146467,5,5,1,0.561
9050,150116,5,5,1,0.402
9050,150118,5,5,1,0.252
9050,214782,5,5,1,0.547
9533,8334,5,5,1,0.456
9533,28750,5,5,1,0.14
9657,13569,5,5,1,0.251
9657,15075,5,5,2,0.257
9657,19604,5,5,1,0.35
9675,13569,5,5,1,0.261
9675,227477,5,5,1,0.189
9675,227483,5,5,1,0.324
9995,14503,5,5,1,0.242
9995,56546,5,5,1,0.372
10280,126594,5,5,2,0.713
10280,126595,5,5,1,0.306
10280,145448,5,5,4,1.938
11259,12200,5,5,1,0.228
11259,16838,5,5,1,0.656
11259,84511,5,5,1,0.751
11515,36285,5,5,1,0.384
11515,169868,5,5,1,0.262
12044,230278,5,5,1,0.151
12044,256939,5,5,1,0.182
12184,8779,5,5,1,0.179
12184,83683,5,5,1,0.213
12200,11259,5,5,1,0.228
12200,30028,5,5,1,0.61
12323,1339,5,5,1,0.621
12323,5566,5,5,1,0.97
12323,12323,5,5,1,0
12323,65250,5,5,1,0.354
12323,111350,5,5,1,0.291
12323,159021,5,5,1,0.552
12323,219816,5,5,1,0.265
12323,229052,5,5,10,4.306
12442,12442,5,5,1,0
12442,124914,5,5,1,0.259
12442,159013,5,5,1,0.529
12442,166414,5,5,1,0.481
12442,229052,5,5,1,0.292
12442,247106,5,5,1,0.621
13318,13320,5,5,1,0.23
13318,28010,5,5,1,0.249
13320,13318,5,5,1,0.23
13320,13320,5,5,1,0
13326,5566,5,5,1,1.028
13326,176013,5,5,1,1.32
13326,189268,5,5,1,0.264
13569,9657,5,5,1,0.251
13569,9675,5,5,1,0.261
13569,12044,5,5,1,0.448
13569,227477,5,5,1,0.12
14503,9995,5,5,1,0.242
14503,18671,5,5,1,0.719
14565,22905,5,5,1,0.183
14565,176011,5,5,1,0.445
14578,48571,5,5,1,0.509
14578,246888,5,5,1,0.324
15075,8742,5,5,1,0.275
15075,9657,5,5,2,0.257
15075,12044,5,5,3,0.775
16838,11259,5,5,1,0.656
16838,16838,5,5,1,0
16838,20354,5,5,1,0.516
16838,65255,5,5,1,0.308
16838,84511,5,5,2,0.888
16838,86284,5,5,1,0.349
16838,138309,5,5,1,0.415
17780,17780,5,5,1,0
17780,168106,5,5,1,0.554
17780,177938,5,5,2,1.863
17780,187706,5,5,7,3.773
18610,18610,5,5,1,0
18610,19604,5,5,1,0.702
18610,25397,5,5,1,0.557
18610,168965,5,5,1,0.337
18610,232273,5,5,2,0.552
18671,14503,5,5,1,0.719
18671,18671,5,5,1,0
18671,189266,5,5,3,2.099
18671,216670,5,5,1,0.268
18671,257646,5,5,1,0.624
19604,9657,5,5,1,0.35
19604,18610,5,5,1,0.702
19604,32992,5,5,1,0.454
19604,74897,5,5,2,0.748
19704,6256,5,5,1,0.116
19704,19604,5,5,3,0.885
19704,74898,5,5,1,0.116
19725,28749,5,5,1,0.445
19725,46677,5,5,1,0.241
20354,16838,5,5,1,0.516
