node,layer,lat,lon,degree,geometry
5566,2,55.94733,-4.76782,34,"-4.76782, 55.94733"
9050,2,55.94058,-4.80354,24,"-4.80354, 55.94058"
12323,2,55.94533,-4.75262,29,"-4.75262, 55.94533"
12442,2,55.9335,-4.68981,28,"-4.68981, 55.9335"
16838,2,55.9422,-4.73158,24,"-4.73158, 55.9422"
17780,2,55.90609,-4.87258,18,"-4.87258, 55.90609"
18610,2,55.93119,-4.65539,22,"-4.65539, 55.93119"
18671,2,55.95902,-4.79526,17,"-4.79526, 55.95902"
23823,2,55.93836,-4.74668,20,"-4.74668, 55.93836"
29884,2,55.87613,-4.88907,28,"-4.88907, 55.87613"
30028,2,55.93703,-4.71139,20,"-4.71139, 55.93703"
48571,2,55.94124,-4.77476,21,"-4.77476, 55.94124"
148302,2,55.92944,-4.82723,4,"-4.82723, 55.92944"
