node,layer,lat,lon,degree,geometry
785,5,53.52185,-0.09323,4,"-0.09323, 53.52185"
787,5,53.52046,-0.09335,4,"-0.09335, 53.52046"
789,5,53.5681,-0.0453,4,"-0.0453, 53.5681"
790,5,53.56289,-0.03792,4,"-0.03792, 53.56289"
791,5,53.56431,-0.03975,4,"-0.03975, 53.56431"
794,5,53.56913,-0.04859,4,"-0.04859, 53.56913"
795,5,53.57023,-0.05218,6,"-0.05218, 53.57023"
909,5,53.55247,-0.09693,6,"-0.09693, 53.55247"
1252,5,53.54662,-0.04679,4,"-0.04679, 53.54662"
1253,5,53.54564,-0.04184,4,"-0.04184, 53.54564"
1374,5,53.56236,-0.29079,10,"-0.29079, 53.56236"
1428,5,53.57083,-0.08398,4,"-0.08398, 53.57083"
1632,5,53.46517,-0.05403,4,"-0.05403, 53.46517"
1666,5,53.5176,-0.09572,6,"-0.09572, 53.5176"
2483,5,53.60554,-0.26798,20,"-0.26798, 53.60554"
2529,5,53.56732,-0.07651,8,"-0.07651, 53.56732"
2649,5,53.53575,-0.02257,4,"-0.02257, 53.53575"
2650,5,53.56493,-0.06133,5,"-0.06133, 53.56493"
2651,5,53.53628,-0.01882,4,"-0.01882, 53.53628"
2652,5,53.56352,-0.06638,4,"-0.06638, 53.56352"
2653,5,53.53663,-0.01089,4,"-0.01089, 53.53663"
2655,5,53.56304,-0.06809,4,"-0.06809, 53.56304"
3791,5,53.57397,-0.09703,8,"-0.09703, 53.57397"
3796,5,53.47376,0.04569,6,"0.04569, 53.47376"
3813,5,53.54957,-0.04172,6,"-0.04172, 53.54957"
3814,5,53.55076,-0.04559,6,"-0.04559, 53.55076"
3815,5,53.5523,-0.0473,4,"-0.0473, 53.5523"
3816,5,53.55185,-0.03557,4,"-0.03557, 53.55185"
3817,5,53.55071,-0.03822,4,"-0.03822, 53.55071"
4263,5,53.55049,-0.13263,4,"-0.13263, 53.55049"
4296,5,53.53066,-0.10212,4,"-0.10212, 53.53066"
4482,5,53.4002,0.04626,6,"0.04626, 53.4002"
