ori_node,des_node,ori_layer,des_layer,minutes,km
42,1788,5,5,1,0.28
42,18959,5,5,1,0.255
42,39930,5,5,1,0.332
61,11471,5,5,1,0.511
61,27516,5,5,1,0.495
61,34859,5,5,1,0.139
61,51537,5,5,1,0.553
64,22858,5,5,1,0.174
64,168854,5,5,1,0.634
64,231484,5,5,2,0.591
65,19051,5,5,1,0.373
65,35504,5,5,1,0.928
112,19089,5,5,1,0.159
112,40844,5,5,1,0.167
113,4908,5,5,1,0.738
113,24048,5,5,3,1.298
113,30162,5,5,2,1.053
113,38070,5,5,6,1.359
113,45808,5,5,1,0.529
113,257042,5,5,3,0.802
248,31341,5,5,1,0.382
248,40992,5,5,1,0.25
248,50424,5,5,1,0.633
261,19798,5,5,1,0.273
303,305,5,5,1,0.119
303,2112,5,5,1,0.173
303,9255,5,5,1,0.702
305,303,5,5,1,0.119
305,9255,5,5,2,0.737
305,50250,5,5,1,0.332
388,389,5,5,1,0.176
388,7772,5,5,2,0.436
388,32714,5,5,1,0.527
388,47874,5,5,1,0.378
389,388,5,5,1,0.176
389,32714,5,5,1,0.513
389,39855,5,5,1,0.32
389,204502,5,5,1,0.469
449,45985,5,5,4,2.667
449,94310,5,5,1,0.571
530,16763,5,5,1,0.288
530,39937,5,5,1,0.231
530,43261,5,5,1,0.2
564,3810,5,5,1,0.253
564,12696,5,5,1,0.195
564,46944,5,5,1,0.234
566,44156,5,5,1,0.681
566,155686,5,5,1,0.382
566,198066,5,5,1,0.195
566,212531,5,5,1,0.461
566,217432,5,5,1,0.415
566,222444,5,5,3,1.283
633,32553,5,5,1,0.664
633,33048,5,5,1,0.395
644,19581,5,5,1,0.321
644,33666,5,5,1,0.215
652,16409,5,5,1,0.305
652,19593,5,5,1,0.213
774,775,5,5,1,0.176
774,48774,5,5,4,0.981
775,774,5,5,1,0.176
775,776,5,5,1,0.133
776,775,5,5,1,0.133
776,777,5,5,1,0.094
777,776,5,5,1,0.094
777,25199,5,5,1,0.131
820,4869,5,5,1,0.101
820,33145,5,5,2,0.359
820,34522,5,5,1,0.595
833,33031,5,5,2,0.46
833,128096,5,5,1,0.437
833,180307,5,5,3,0.73
1014,25395,5,5,1,0.107
1014,36955,5,5,2,0.59
1014,42896,5,5,2,0.232
1027,36531,5,5,2,1.111
1027,39421,5,5,2,1.815
1027,45156,5,5,1,0.416
1110,4921,5,5,1,0.67
1110,12449,5,5,1,0.581
1110,12486,5,5,5,2.999
1110,48947,5,5,2,1.187
1110,48949,5,5,4,1.06
1262,8295,5,5,1,0.722
1262,17974,5,5,1,0.247
1295,14597,5,5,2,0.556
1295,15048,5,5,1,0.796
1295,15108,5,5,15,3.526
1295,17091,5,5,1,0.347
1295,18351,5,5,1,0.122
1295,41543,5,5,1,0.584
1295,118814,5,5,2,0.705
1295,128449,5,5,4,0.673
1296,18871,5,5,1,0.527
1296,36531,5,5,1,0.447
1319,14582,5,5,1,0.473
1319,45676,5,5,1,0.286
1427,10610,5,5,1,0.324
1427,48808,5,5,2,0.401
1472,4900,5,5,4,1.953
1472,12486,5,5,1,0.247
1472,41653,5,5,1,0.582
1474,37297,5,5,1,0.295
1474,53488,5,5,1,0.253
1485,14730,5,5,1,0.426
1485,33828,5,5,1,0.372
1495,1495,5,5,1,0
1495,2804,5,5,1,0.537
1495,3027,5,5,4,1.932
1495,6791,5,5,2,0.901
1495,9550,5,5,1,0.611
1495,12900,5,5,1,0.573
1495,13466,5,5,7,1.706
1495,16230,5,5,1,1.143
1495,23475,5,5,1,0.603
1495,26185,5,5,1,0.556
1495,33666,5,5,1,0.719
1495,50837,5,5,1,0.591
1495,53768,5,5,4,0.48
1495,65581,5,5,1,0.542
1495,115576,5,5,7,1.327
1495,124062,5,5,1,0.663
1495,145847,5,5,7,1.87
1496,20615,5,5,1,0.364
1496,33933,5,5,1,0.201
1550,6859,5,5,1,0.171
1550,35589,5,5,1,0.696
1562,7135,5,5,1,0.725
1562,20585,5,5,1,0.245
1628,14100,5,5,1,0.176
1628,28374,5,5,2,0.433
1652,38300,5,5,1,0.377
1652,120187,5,5,1,0.301
1713,8069,5,5,1,1.027
1713,46121,5,5,2,1.334
1728,13466,5,5,18,6.392
1728,20782,5,5,1,0.553
1728,39892,5,5,2,1.172
1728,44401,5,5,2,0.59
1728,44775,5,5,1,0.894
1728,240510,5,5,10,6.227
1762,3027,5,5,1,0.27
1762,38043,5,5,1,0.361
1762,39439,5,5,2,0.475
1762,41158,5,5,1,0.422
1778,2415,5,5,1,0.317
1778,34109,5,5,1,0.157
1778,47417,5,5,1,0.212
1788,42,5,5,1,0.28
1788,7457,5,5,1,0.558
1788,39941,5,5,1,0.278
1805,7457,5,5,1,0.383
1805,39941,5,5,2,0.686
1805,47823,5,5,1,0.352
1857,49370,5,5,1,0.945
1857,259706,5,5,1,0.49
1921,8074,5,5,1,0.311
1921,40096,5,5,1,0.104
1949,21110,5,5,1,0.166
1966,9833,5,5,2,0.811
1966,15236,5,5,1,0.946
1966,43711,5,5,1,0.797
1966,153128,5,5,2,0.38
2023,32666,5,5,1,0.189
2023,49206,5,5,1,0.656
2061,15375,5,5,1,0.629
2061,27375,5,5,3,1.093
2091,37408,5,5,1,0.437
2091,249246,5,5,10,0.203
2112,303,5,5,1,0.173
2112,19797,5,5,1,0.442
2112,37105,5,5,1,0.547
2112,259514,5,5,1,0.449
2119,6710,5,5,1,0.211
2119,41966,5,5,1,0.279
2156,10495,5,5,2,1.949
2156,16687,5,5,6,3.134
2156,120187,5,5,2,1.289
2156,120189,5,5,5,1.313
2250,34448,5,5,6,3.413
2250,42345,5,5,2,1.053
