node,layer,lat,lon,degree,geometry
42,5,51.26409,-0.63908,6,"-0.63908, 51.26409"
61,5,51.32189,-0.53594,8,"-0.53594, 51.32189"
64,5,51.24098,-0.73481,5,"-0.73481, 51.24098"
65,5,51.33111,-0.50871,4,"-0.50871, 51.33111"
112,5,51.32052,-0.58189,4,"-0.58189, 51.32052"
113,5,51.31931,-0.69705,9,"-0.69705, 51.31931"
248,5,51.2376,-0.79199,6,"-0.79199, 51.2376"
261,5,51.17144,-0.71398,2,"-0.71398, 51.17144"
303,5,51.18094,-0.62345,7,"-0.62345, 51.18094"
305,5,51.18026,-0.62211,7,"-0.62211, 51.18026"
388,5,51.22601,-0.78125,8,"-0.78125, 51.22601"
389,5,51.22634,-0.78374,7,"-0.78374, 51.22634"
449,5,51.14535,-0.36339,6,"-0.36339, 51.14535"
530,5,51.25021,-0.59238,5,"-0.59238, 51.25021"
564,5,51.24613,-0.53151,6,"-0.53151, 51.24613"
566,5,51.29054,-0.75423,20,"-0.75423, 51.29054"
633,5,51.30371,-0.72231,5,"-0.72231, 51.30371"
644,5,51.23311,-0.59233,5,"-0.59233, 51.23311"
652,5,51.26181,-0.54073,4,"-0.54073, 51.26181"
774,5,51.2044,-0.59976,5,"-0.59976, 51.2044"
775,5,51.2029,-0.59892,4,"-0.59892, 51.2029"
776,5,51.20208,-0.59751,4,"-0.59751, 51.20208"
777,5,51.20206,-0.59887,4,"-0.59887, 51.20206"
820,5,51.35003,-0.49816,6,"-0.49816, 51.35003"
833,5,51.18661,-0.6005,5,"-0.6005, 51.18661"
1014,5,51.32839,-0.57252,6,"-0.57252, 51.32839"
1027,5,51.29033,-0.64416,6,"-0.64416, 51.29033"
1110,5,51.34044,-0.64466,9,"-0.64466, 51.34044"
1262,5,51.17371,-0.78846,4,"-0.78846, 51.17371"
1295,5,51.24005,-0.60373,28,"-0.60373, 51.24005"
1296,5,51.28088,-0.63477,4,"-0.63477, 51.28088"
1319,5,51.25312,-0.504,4,"-0.504, 51.25312"
1427,5,51.25201,-0.58655,4,"-0.58655, 51.25201"
1472,5,51.34563,-0.6028,5,"-0.6028, 51.34563"
1474,5,51.23358,-0.79357,4,"-0.79357, 51.23358"
1485,5,51.18256,-0.70811,5,"-0.70811, 51.18256"
