node,layer,lat,lon,degree,geometry
3489,5,53.99901,-1.50114,17,"-1.50114, 53.99901"
4379,5,54.00877,-1.4705,33,"-1.4705, 54.00877"
6286,5,53.93391,-1.40225,4,"-1.40225, 53.93391"
6288,5,53.93315,-1.37797,4,"-1.37797, 53.93315"
6989,5,53.90488,-1.64036,4,"-1.64036, 53.90488"
9098,5,53.92319,-1.58121,16,"-1.58121, 53.92319"
10721,5,53.93183,-1.37829,6,"-1.37829, 53.93183"
10778,5,53.9282,-1.3792,4,"-1.3792, 53.9282"
13714,5,53.93764,-1.38564,8,"-1.38564, 53.93764"
16820,5,53.9261,-1.78316,4,"-1.78316, 53.9261"
21543,5,53.93405,-1.38338,4,"-1.38338, 53.93405"
21544,5,53.93205,-1.38356,7,"-1.38356, 53.93205"
24555,5,53.95834,-1.53346,15,"-1.53346, 53.95834"
26755,5,53.93204,-1.38208,8,"-1.38208, 53.93204"
28244,5,53.93922,-1.39678,4,"-1.39678, 53.93922"
28843,5,53.99319,-1.53762,43,"-1.53762, 53.99319"
30078,5,53.97988,-1.52683,20,"-1.52683, 53.97988"
42838,5,53.93994,-1.3875,5,"-1.3875, 53.93994"
43510,5,53.93801,-1.38874,4,"-1.38874, 53.93801"
43512,5,53.9398,-1.39383,4,"-1.39383, 53.9398"
43514,5,53.93816,-1.39107,4,"-1.39107, 53.93816"
43516,5,53.94134,-1.39109,4,"-1.39109, 53.94134"
44088,5,53.93391,-1.37892,4,"-1.37892, 53.93391"
44095,5,53.93581,-1.37884,4,"-1.37884, 53.93581"
44158,5,53.92728,-1.38218,6,"-1.38218, 53.92728"
44167,5,53.92652,-1.37964,6,"-1.37964, 53.92652"
45414,5,53.92655,-1.37881,4,"-1.37881, 53.92655"
51569,5,54.05756,-1.69389,2,"-1.69389, 54.05756"
52704,5,54.08447,-1.39587,4,"-1.39587, 54.08447"
52788,5,53.97512,-1.52783,2,"-1.52783, 53.97512"
53211,5,54.03321,-1.7058,2,"-1.7058, 54.03321"
53221,5,54.09268,-1.40207,2,"-1.40207, 54.09268"
53988,5,53.98762,-1.50322,2,"-1.50322, 53.98762"
54048,5,53.96121,-1.52878,2,"-1.52878, 53.96121"
54480,5,54.01206,-1.52535,3,"-1.52535, 54.01206"
55737,5,54.00548,-1.4559,5,"-1.4559, 54.00548"
55768,5,54.00687,-1.54772,3,"-1.54772, 54.00687"
55848,5,54.01107,-1.54244,2,"-1.54244, 54.01107"
55932,5,54.01363,-1.55744,2,"-1.55744, 54.01363"
56607,5,54.05916,-1.44597,3,"-1.44597, 54.05916"
56632,5,54.12696,-1.52744,2,"-1.52744, 54.12696"
56652,5,54.01234,-1.46685,4,"-1.46685, 54.01234"
56778,5,53.92745,-1.38675,4,"-1.38675, 53.92745"
56779,5,53.92991,-1.39183,3,"-1.39183, 53.92991"
57602,5,53.99693,-1.54082,4,"-1.54082, 53.99693"
57743,5,53.9892,-1.54884,2,"-1.54884, 53.9892"
57901,5,54.06002,-1.69711,3,"-1.69711, 54.06002"
58149,5,54.06525,-1.6007,2,"-1.6007, 54.06525"
58931,5,54.00596,-1.43145,2,"-1.43145, 54.00596"
59445,5,53.97491,-1.55375,6,"-1.55375, 53.97491"
59627,5,54.08958,-1.77135,2,"-1.77135, 54.08958"
59906,5,53.99588,-1.51414,4,"-1.51414, 53.99588"
59935,5,53.99045,-1.53993,5,"-1.53993, 53.99045"
60157,5,53.99601,-1.51026,2,"-1.51026, 53.99601"
60612,5,54.01288,-1.5279,2,"-1.5279, 54.01288"
61190,5,53.97678,-1.41193,2,"-1.41193, 53.97678"
61277,5,54.06018,-1.69744,3,"-1.69744, 54.06018"
61803,5,54.05204,-1.54015,2,"-1.54015, 54.05204"
62048,5,53.99584,-1.59522,4,"-1.59522, 53.99584"
62054,5,54.00569,-1.45025,5,"-1.45025, 54.00569"
62180,5,53.9317,-1.53758,2,"-1.53758, 53.9317"
62470,5,53.97714,-1.52954,2,"-1.52954, 53.97714"
62869,5,54.03136,-1.70392,5,"-1.70392, 54.03136"
63673,5,54.04277,-1.40755,2,"-1.40755, 54.04277"
64114,5,54.00335,-1.53386,2,"-1.53386, 54.00335"
64143,5,54.01126,-1.52376,2,"-1.52376, 54.01126"
64623,5,53.98732,-1.5021,2,"-1.5021, 53.98732"
64693,5,54.00372,-1.45168,3,"-1.45168, 54.00372"
65322,5,54.00653,-1.44201,3,"-1.44201, 54.00653"
65443,5,54.01009,-1.54356,2,"-1.54356, 54.01009"
66713,5,54.13437,-1.81969,4,"-1.81969, 54.13437"
66716,5,54.15575,-1.84578,2,"-1.84578, 54.15575"
66721,5,54.07696,-1.32933,2,"-1.32933, 54.07696"
66731,5,54.15583,-1.84557,2,"-1.84557, 54.15583"
66732,5,54.15683,-1.85096,4,"-1.85096, 54.15683"
67011,5,53.9386,-1.57458,2,"-1.57458, 53.9386"
67204,5,54.05081,-1.70273,4,"-1.70273, 54.05081"
67211,5,53.99957,-1.53985,3,"-1.53985, 53.99957"
67571,5,54.05751,-1.69375,2,"-1.69375, 54.05751"
68229,5,54.04384,-1.40941,3,"-1.40941, 54.04384"
69205,5,54.08631,-1.761,9,"-1.761, 54.08631"
69490,5,53.9963,-1.51102,4,"-1.51102, 53.9963"
69878,5,53.98421,-1.51932,5,"-1.51932, 53.98421"
70169,5,54.00722,-1.53043,2,"-1.53043, 54.00722"
70465,5,54.03925,-1.43823,3,"-1.43823, 54.03925"
70822,5,54.07362,-1.71635,3,"-1.71635, 54.07362"
70908,5,54.02187,-1.60202,2,"-1.60202, 54.02187"
71483,5,54.0806,-1.56055,2,"-1.56055, 54.0806"
71726,5,53.94934,-1.54157,3,"-1.54157, 53.94934"
71989,5,53.97843,-1.53014,2,"-1.53014, 53.97843"
72094,5,54.01058,-1.5209,2,"-1.5209, 54.01058"
