node,layer,lat,lon,degree,geometry
1606,5,54.67955,-1.2179,4,"-1.2179, 54.67955"
1607,5,54.68903,-1.25173,7,"-1.25173, 54.68903"
1608,5,54.69163,-1.27082,7,"-1.27082, 54.69163"
1609,5,54.68613,-1.24663,4,"-1.24663, 54.68613"
1610,5,54.70862,-1.22818,7,"-1.22818, 54.70862"
3694,5,54.70461,-1.22335,6,"-1.22335, 54.70461"
3695,5,54.70642,-1.22799,4,"-1.22799, 54.70642"
3696,5,54.70806,-1.22319,4,"-1.22319, 54.70806"
4082,5,54.69873,-1.25206,8,"-1.25206, 54.69873"
4537,5,54.68571,-1.23863,4,"-1.23863, 54.68571"
4541,5,54.68588,-1.23594,5,"-1.23594, 54.68588"
6781,5,54.69637,-1.23612,4,"-1.23612, 54.69637"
6782,5,54.69473,-1.24079,4,"-1.24079, 54.69473"
6783,5,54.65685,-1.20822,4,"-1.20822, 54.65685"
6784,5,54.65467,-1.20704,4,"-1.20704, 54.65467"
6785,5,54.64874,-1.20253,4,"-1.20253, 54.64874"
6786,5,54.69914,-1.24003,4,"-1.24003, 54.69914"
6787,5,54.69452,-1.24379,12,"-1.24379, 54.69452"
7168,5,54.65585,-1.19038,6,"-1.19038, 54.65585"
7171,5,54.66805,-1.21892,4,"-1.21892, 54.66805"
7172,5,54.67036,-1.21281,4,"-1.21281, 54.67036"
7173,5,54.66195,-1.22261,4,"-1.22261, 54.66195"
7175,5,54.69994,-1.25469,5,"-1.25469, 54.69994"
7176,5,54.70068,-1.2074,4,"-1.2074, 54.70068"
9325,5,54.68168,-1.20279,4,"-1.20279, 54.68168"
9326,5,54.66812,-1.29925,3,"-1.29925, 54.66812"
9327,5,54.68133,-1.20555,4,"-1.20555, 54.68133"
9328,5,54.70487,-1.28209,3,"-1.28209, 54.70487"
9329,5,54.68079,-1.20994,4,"-1.20994, 54.68079"
9330,5,54.6646,-1.19007,4,"-1.19007, 54.6646"
9600,5,54.65832,-1.20042,18,"-1.20042, 54.65832"
10665,5,54.69454,-1.22663,4,"-1.22663, 54.69454"
10666,5,54.69648,-1.2204,4,"-1.2204, 54.69648"
10672,5,54.6899,-1.279,4,"-1.279, 54.6899"
10677,5,54.70202,-1.22318,8,"-1.22318, 54.70202"
12992,5,54.71284,-1.24572,7,"-1.24572, 54.71284"
12993,5,54.71501,-1.24408,4,"-1.24408, 54.71501"
12994,5,54.71848,-1.25458,4,"-1.25458, 54.71848"
12995,5,54.71216,-1.24945,4,"-1.24945, 54.71216"
12996,5,54.67381,-1.28073,5,"-1.28073, 54.67381"
12997,5,54.70719,-1.27352,6,"-1.27352, 54.70719"
13001,5,54.71277,-1.24122,6,"-1.24122, 54.71277"
13002,5,54.7114,-1.23733,4,"-1.23733, 54.7114"
14857,5,54.65961,-1.24374,4,"-1.24374, 54.65961"
14859,5,54.63307,-1.2049,4,"-1.2049, 54.63307"
14860,5,54.62499,-1.21142,4,"-1.21142, 54.62499"
14861,5,54.67981,-1.21094,4,"-1.21094, 54.67981"
14862,5,54.66855,-1.23415,4,"-1.23415, 54.66855"
14863,5,54.6609,-1.23963,5,"-1.23963, 54.6609"
14864,5,54.66519,-1.23561,6,"-1.23561, 54.66519"
14865,5,54.669,-1.23059,4,"-1.23059, 54.669"
15097,5,54.6367,-1.20055,4,"-1.20055, 54.6367"
15098,5,54.6406,-1.19305,4,"-1.19305, 54.6406"
15103,5,54.66252,-1.18766,6,"-1.18766, 54.66252"
15104,5,54.66056,-1.18751,6,"-1.18751, 54.66056"
15105,5,54.65809,-1.18635,4,"-1.18635, 54.65809"
15106,5,54.64451,-1.18884,4,"-1.18884, 54.64451"
15107,5,54.64918,-1.18916,4,"-1.18916, 54.64918"
15499,5,54.6998,-1.23164,6,"-1.23164, 54.6998"
15500,5,54.67004,-1.24597,4,"-1.24597, 54.67004"
