node,layer,lat,lon,degree,geometry
6637,2,50.83337,0.42687,20,"0.42687, 50.83337"
6704,2,50.85586,0.56052,42,"0.56052, 50.85586"
13568,2,50.85315,0.53994,23,"0.53994, 50.85315"
17092,2,50.84104,0.47703,47,"0.47703, 50.84104"
21600,2,50.85759,0.57646,46,"0.57646, 50.85759"
33116,2,50.83928,0.45788,24,"0.45788, 50.83928"
33207,2,50.88514,0.49892,11,"0.49892, 50.88514"
39763,2,50.91291,0.49471,26,"0.49471, 50.91291"
41469,2,50.86694,0.59157,19,"0.59157, 50.86694"
44071,2,50.95237,0.73071,27,"0.73071, 50.95237"
48204,2,50.98493,0.46879,21,"0.46879, 50.98493"
163857,2,50.93376,0.70227,4,"0.70227, 50.93376"
197942,2,50.90089,0.61337,4,"0.61337, 50.90089"
201438,2,50.91875,0.6107,4,"0.6107, 50.91875"
245397,2,50.8261,0.38948,7,"0.38948, 50.8261"
