node,layer,lat,lon,degree,geometry
3780,5,52.00446,-4.99375,13,"-4.99375, 52.00446"
7564,5,51.75675,-4.99636,28,"-4.99636, 51.75675"
16189,5,51.84055,-4.73188,12,"-4.73188, 51.84055"
17341,5,51.85167,-4.88357,21,"-4.88357, 51.85167"
19714,5,51.72802,-5.01805,12,"-5.01805, 51.72802"
21648,5,51.71498,-5.041,17,"-5.041, 51.71498"
32925,5,51.80264,-4.96023,16,"-4.96023, 51.80264"
50906,5,51.79937,-4.72721,14,"-4.72721, 51.79937"
52797,5,51.76266,-4.69487,2,"-4.69487, 51.76266"
52798,5,51.78171,-4.70443,2,"-4.70443, 51.78171"
52799,5,51.78181,-4.70456,2,"-4.70456, 51.78181"
52816,5,51.89813,-5.24729,2,"-5.24729, 51.89813"
52818,5,51.88727,-5.09896,4,"-5.09896, 51.88727"
52819,5,51.89737,-5.11366,2,"-5.11366, 51.89737"
52821,5,51.92857,-5.15971,3,"-5.15971, 51.92857"
54770,5,51.88631,-5.03438,4,"-5.03438, 51.88631"
54771,5,51.91401,-5.12831,2,"-5.12831, 51.91401"
54772,5,51.89739,-5.11394,2,"-5.11394, 51.89739"
54773,5,51.92786,-5.16139,3,"-5.16139, 51.92786"
54774,5,51.72867,-5.19273,3,"-5.19273, 51.72867"
54775,5,51.72157,-5.13055,2,"-5.13055, 51.72157"
57234,5,51.79718,-5.09591,2,"-5.09591, 51.79718"
57966,5,51.71506,-5.04977,4,"-5.04977, 51.71506"
59101,5,51.71158,-5.05241,5,"-5.05241, 51.71158"
59102,5,51.71508,-5.05555,5,"-5.05555, 51.71508"
59105,5,51.71331,-5.0341,3,"-5.0341, 51.71331"
59106,5,51.71875,-5.03348,3,"-5.03348, 51.71875"
59107,5,51.72055,-5.03215,5,"-5.03215, 51.72055"
59109,5,51.7111,-5.04717,5,"-5.04717, 51.7111"
59449,5,51.93766,-5.17343,3,"-5.17343, 51.93766"
59451,5,51.92371,-5.20873,4,"-5.20873, 51.92371"
59455,5,51.88107,-5.26452,4,"-5.26452, 51.88107"
59457,5,51.91415,-5.1281,2,"-5.1281, 51.91415"
59464,5,51.88642,-5.03437,4,"-5.03437, 51.88642"
59466,5,51.90394,-5.05624,2,"-5.05624, 51.90394"
61166,5,51.70597,-4.94569,5,"-4.94569, 51.70597"
62505,5,51.8467,-5.01023,2,"-5.01023, 51.8467"
62508,5,51.80913,-4.96359,9,"-4.96359, 51.80913"
62509,5,51.80909,-4.96383,9,"-4.96383, 51.80909"
62510,5,51.82609,-4.96105,2,"-4.96105, 51.82609"
63048,5,51.71548,-4.95429,14,"-4.95429, 51.71548"
63050,5,51.71031,-4.95121,4,"-4.95121, 51.71031"
63053,5,51.70935,-4.94881,2,"-4.94881, 51.70935"
63064,5,51.75372,-4.99887,4,"-4.99887, 51.75372"
64041,5,52.01676,-4.83057,3,"-4.83057, 52.01676"
64399,5,51.74415,-4.91255,2,"-4.91255, 51.74415"
64400,5,51.7351,-4.92222,2,"-4.92222, 51.7351"
64401,5,51.74783,-4.91302,2,"-4.91302, 51.74783"
64402,5,51.73044,-5.01752,2,"-5.01752, 51.73044"
64403,5,51.72718,-5.08588,2,"-5.08588, 51.72718"
64404,5,51.72985,-5.0877,2,"-5.0877, 51.72985"
64405,5,51.72663,-4.92092,3,"-4.92092, 51.72663"
68101,5,51.80096,-4.96739,2,"-4.96739, 51.80096"
68965,5,51.99721,-4.98616,4,"-4.98616, 51.99721"
69610,5,51.83302,-5.06486,3,"-5.06486, 51.83302"
70570,5,51.71767,-4.95397,4,"-4.95397, 51.71767"
71949,5,51.8006,-4.97459,6,"-4.97459, 51.8006"
71950,5,51.83793,-4.93498,3,"-4.93498, 51.83793"
71952,5,51.79505,-4.98087,2,"-4.98087, 51.79505"
71953,5,51.83283,-4.94102,3,"-4.94102, 51.83283"
71954,5,51.8032,-4.97341,3,"-4.97341, 51.8032"
72017,5,51.80427,-4.97728,2,"-4.97728, 51.80427"
72018,5,51.80178,-4.98847,2,"-4.98847, 51.80178"
72019,5,51.79804,-4.97201,2,"-4.97201, 51.79804"
72020,5,51.79666,-4.97687,8,"-4.97687, 51.79666"
72022,5,51.79619,-4.97745,5,"-4.97745, 51.79619"
73319,5,51.91161,-4.7284,2,"-4.7284, 51.91161"
73838,5,51.93018,-4.89984,2,"-4.89984, 51.93018"
73839,5,51.91735,-4.85141,2,"-4.85141, 51.91735"
73843,5,51.89433,-4.87671,2,"-4.87671, 51.89433"
73844,5,51.86973,-4.94141,2,"-4.94141, 51.86973"
76665,5,51.85788,-4.72853,2,"-4.72853, 51.85788"
77755,5,51.79161,-4.97857,2,"-4.97857, 51.79161"
77757,5,51.71106,-4.93592,2,"-4.93592, 51.71106"
81742,5,51.91365,-4.9743,2,"-4.9743, 51.91365"
81743,5,51.92704,-4.98996,3,"-4.98996, 51.92704"
81746,5,51.86905,-4.96529,3,"-4.96529, 51.86905"
81747,5,51.87019,-4.96463,3,"-4.96463, 51.87019"
81748,5,51.79255,-4.97883,6,"-4.97883, 51.79255"
81749,5,51.79207,-4.98209,4,"-4.98209, 51.79207"
81751,5,51.90123,-4.9706,2,"-4.9706, 51.90123"
81753,5,51.89701,-4.97051,3,"-4.97051, 51.89701"
82665,5,51.96854,-4.9949,4,"-4.9949, 51.96854"
82673,5,51.95503,-4.95996,3,"-4.95996, 51.95503"
82681,5,51.92759,-4.9907,3,"-4.9907, 51.92759"
83606,5,51.97226,-5.06938,2,"-5.06938, 51.97226"
83607,5,51.90382,-5.05612,2,"-5.05612, 51.90382"
83608,5,51.95508,-4.96008,2,"-4.96008, 51.95508"
83609,5,51.93543,-5.01464,3,"-5.01464, 51.93543"
83610,5,51.9803,-4.93301,4,"-4.93301, 51.9803"
83611,5,52.01024,-5.02826,2,"-5.02826, 52.01024"
83612,5,51.99715,-5.06478,2,"-5.06478, 51.99715"
83613,5,52.01801,-5.05714,2,"-5.05714, 52.01801"
83614,5,51.97191,-5.06696,2,"-5.06696, 51.97191"
83778,5,51.83389,-5.04898,2,"-5.04898, 51.83389"
83781,5,51.83415,-5.0472,2,"-5.0472, 51.83415"
88137,5,51.75356,-4.99876,4,"-4.99876, 51.75356"
88138,5,51.73701,-4.96672,2,"-4.96672, 51.73701"
88140,5,51.73029,-4.98648,4,"-4.98648, 51.73029"
88141,5,51.71538,-4.95348,5,"-4.95348, 51.71538"
89414,5,51.71282,-5.02874,4,"-5.02874, 51.71282"
89416,5,51.71635,-5.05473,3,"-5.05473, 51.71635"
89993,5,51.78951,-4.97258,3,"-4.97258, 51.78951"
89994,5,51.78873,-4.97546,2,"-4.97546, 51.78873"
89999,5,51.78906,-4.97576,3,"-4.97576, 51.78906"
91327,5,51.99165,-4.98117,4,"-4.98117, 51.99165"
91328,5,51.99155,-4.98094,3,"-4.98094, 51.99155"
91330,5,51.9679,-4.99379,4,"-4.99379, 51.9679"
91331,5,51.95801,-4.96566,3,"-4.96566, 51.95801"
91332,5,51.92676,-5.00139,2,"-5.00139, 51.92676"
93778,5,51.99161,-4.9726,2,"-4.9726, 51.99161"
93779,5,51.99397,-4.97605,6,"-4.97605, 51.99397"
93780,5,51.99152,-4.97514,2,"-4.97514, 51.99152"
93796,5,51.80274,-4.97948,2,"-4.97948, 51.80274"
93797,5,51.80264,-4.97951,2,"-4.97951, 51.80264"
93798,5,51.80283,-4.97673,2,"-4.97673, 51.80283"
93799,5,51.80275,-4.97668,4,"-4.97668, 51.80275"
93800,5,51.79835,-4.9743,4,"-4.9743, 51.79835"
93801,5,51.80248,-4.96661,8,"-4.96661, 51.80248"
93802,5,51.80357,-4.96705,11,"-4.96705, 51.80357"
93803,5,51.80374,-4.9672,5,"-4.9672, 51.80374"
94834,5,51.71497,-5.04585,6,"-5.04585, 51.71497"
97539,5,51.80055,-4.9723,2,"-4.9723, 51.80055"
97767,5,51.7631,-4.99405,2,"-4.99405, 51.7631"
97768,5,51.7711,-4.9897,2,"-4.9897, 51.7711"
97769,5,51.77257,-4.98923,2,"-4.98923, 51.77257"
97770,5,51.7908,-4.97889,2,"-4.97889, 51.7908"
97771,5,51.76238,-4.99391,2,"-4.99391, 51.76238"
97776,5,51.7904,-4.97865,3,"-4.97865, 51.7904"
99359,5,51.79762,-4.9794,2,"-4.9794, 51.79762"
99621,5,51.74409,-4.91243,3,"-4.91243, 51.74409"
99624,5,51.78505,-4.97399,3,"-4.97399, 51.78505"
99625,5,51.77303,-4.96401,2,"-4.96401, 51.77303"
99626,5,51.76368,-4.96067,2,"-4.96067, 51.76368"
99627,5,51.76372,-4.96053,2,"-4.96053, 51.76372"
99628,5,51.7653,-4.93228,2,"-4.93228, 51.7653"
99629,5,51.7635,-4.93155,2,"-4.93155, 51.7635"
99630,5,51.76323,-4.93069,2,"-4.93069, 51.76323"
101000,5,51.94907,-5.14581,3,"-5.14581, 51.94907"
101001,5,51.92799,-5.16129,3,"-5.16129, 51.92799"
101003,5,51.94326,-5.08587,5,"-5.08587, 51.94326"
101004,5,51.93741,-5.13274,4,"-5.13274, 51.93741"
101005,5,51.93638,-5.13507,3,"-5.13507, 51.93638"
101006,5,51.99377,-4.97607,12,"-4.97607, 51.99377"
101007,5,51.97283,-5.02276,3,"-5.02276, 51.97283"
101008,5,51.95878,-5.05223,5,"-5.05223, 51.95878"
101009,5,51.94972,-5.04931,2,"-5.04931, 51.94972"
101819,5,51.97285,-5.02253,3,"-5.02253, 51.97285"
103445,5,51.84659,-5.08779,3,"-5.08779, 51.84659"
103446,5,51.8495,-5.09025,3,"-5.09025, 51.8495"
103447,5,51.83274,-5.0619,3,"-5.0619, 51.83274"
103449,5,51.83311,-5.06484,2,"-5.06484, 51.83311"
103450,5,51.84625,-5.08717,2,"-5.08717, 51.84625"
103451,5,51.804,-4.98198,4,"-4.98198, 51.804"
103452,5,51.80395,-4.98217,4,"-4.98217, 51.80395"
103453,5,51.82141,-5.02088,3,"-5.02088, 51.82141"
103858,5,51.82354,-4.94705,4,"-4.94705, 51.82354"
103862,5,51.80203,-4.8073,2,"-4.8073, 51.80203"
105065,5,51.95787,-4.96553,3,"-4.96553, 51.95787"
105353,5,51.88956,-5.05813,2,"-5.05813, 51.88956"
105375,5,51.99464,-5.00177,5,"-5.00177, 51.99464"
105378,5,52.00229,-4.99788,4,"-4.99788, 52.00229"
105379,5,51.99823,-5.00081,8,"-5.00081, 51.99823"
105383,5,52.00416,-5.0039,4,"-5.0039, 52.00416"
110915,5,51.76874,-4.7375,2,"-4.7375, 51.76874"
110916,5,51.7745,-4.73663,2,"-4.73663, 51.7745"
