ori_node,des_node,ori_layer,des_layer,minutes,km
9606,208586,5,5,1,1.876
16546,94874,5,5,2,3.425
40124,69793,5,5,1,1.849
40124,254567,5,5,2,2.532
52673,97618,5,5,2,1.687
52675,52677,5,5,2,1.205
52676,93594,5,5,1,0.61
52677,116753,5,5,4,2.408
52677,166492,5,5,1,0.55
52679,58534,5,5,1,0.62
54254,189192,5,5,5,2.405
54254,220373,5,5,1,0.186
54256,54257,5,5,1,0.202
54257,130393,5,5,1,0.473
54257,220753,5,5,1,0.119
55205,189191,5,5,5,1.868
58525,52679,5,5,1,0.978
58534,52675,5,5,2,1.316
60630,234089,5,5,1,0.172
60634,75576,5,5,1,0.885
60635,238152,5,5,1,0.338
62251,71848,5,5,1,0.173
62251,79934,5,5,1,0.293
62251,108961,5,5,1,0.049
62251,175323,5,5,1,0.304
62251,225919,5,5,1,0.411
62251,248067,5,5,1,0.252
62254,71848,5,5,1,0.47
62292,175323,5,5,1,0.216
62292,225919,5,5,1,0.559
62292,248067,5,5,1,0.079
62294,175327,5,5,1,0.208
62295,62294,5,5,1,0.086
62345,62292,5,5,1,0.465
62367,112950,5,5,1,1.204
62368,62367,5,5,4,2.389
62368,108935,5,5,1,1.833
63255,97634,5,5,1,1.36
63266,132615,5,5,2,2.631
65265,223924,5,5,1,0.235
65316,62251,5,5,1,0.344
65316,99719,5,5,1,0.05
65316,238154,5,5,1,0.26
68395,108933,5,5,1,0.458
68882,138345,5,5,2,2.313
69793,159864,5,5,2,1.565
69794,84628,5,5,10,7.98
70173,70177,5,5,2,0.463
70173,70179,5,5,1,0.182
70174,70176,5,5,1,0.275
70175,89580,5,5,2,0.489
70176,118751,5,5,1,0.326
70177,70178,5,5,1,0.36
70178,60634,5,5,1,0.343
70179,70177,5,5,1,0.281
70180,70174,5,5,1,0.19
70181,232231,5,5,1,0.091
70182,65265,5,5,1,0.268
70866,151838,5,5,1,0.1
70866,191093,5,5,1,0.137
70866,200816,5,5,1,0.12
71840,71845,5,5,1,0.108
71841,71840,5,5,1,0.102
71842,71845,5,5,6,0.253
71843,81588,5,5,1,0.188
71845,71847,5,5,1,0.234
71845,175327,5,5,1,0.179
71845,248067,5,5,4,0.127
71846,99742,5,5,1,0.121
71847,174967,5,5,1,0.128
71848,71847,5,5,1,0.281
74818,132576,5,5,1,0.331
74821,177372,5,5,3,2.349
74823,103214,5,5,1,0.281
75576,151983,5,5,1,1.121
78258,248070,5,5,1,0.34
78853,81474,5,5,1,0.191
79789,63255,5,5,4,2.618
79789,97634,5,5,6,3.874
79789,138337,5,5,5,3.888
79934,89575,5,5,1,0.301
80009,172982,5,5,2,1.575
80010,224421,5,5,3,1.589
80011,95358,5,5,5,2.77
80014,154935,5,5,2,0.927
81332,81477,5,5,1,0.235
81472,241967,5,5,1,0.164
81474,81472,5,5,1,0.218
81476,78853,5,5,1,0.129
81477,81476,5,5,1,0.188
81479,81332,5,5,1,0.142
81480,81479,5,5,1,0.147
81491,81589,5,5,1,0.248
81491,81594,5,5,1,0.171
81587,81593,5,5,1,0.339
81588,233754,5,5,1,0.169
81589,81590,5,5,1,0.156
81590,81594,5,5,1,0.048
81591,91121,5,5,1,0.057
81592,81587,5,5,1,0.285
81593,81591,5,5,1,0.128
81594,81595,5,5,1,0.113
81595,71841,5,5,1,0.18
81897,71888,5,5,3,2.873
82773,161423,5,5,1,0.124
84628,71888,5,5,7,7.444
84628,81897,5,5,4,4.671
84635,103998,5,5,3,2.69
89575,82773,5,5,1,0.116
89576,89583,5,5,1,0.14
89577,89576,5,5,1,0.198
89578,89577,5,5,1,0.254
89579,225919,5,5,1,0.234
89580,232232,5,5,1,0.147
89581,70175,5,5,1,0.221
89582,89581,5,5,1,0.208
89583,89582,5,5,1,0.239
91121,81491,5,5,1,0.138
91150,120728,5,5,1,2.259
91150,128174,5,5,10,0.424
91150,161801,5,5,1,0.3
91150,181318,5,5,1,0.488
91170,251449,5,5,4,4.676
91612,80014,5,5,5,2.745
92965,220370,5,5,2,0.731
92965,220376,5,5,1,0.565
92966,220376,5,5,2,0.534
92967,179515,5,5,1,0.616
93586,166497,5,5,2,2.882
93586,254568,5,5,1,0.759
93594,93586,5,5,1,1.006
94764,40124,5,5,2,1.844
94874,94764,5,5,1,1.563
95358,130482,5,5,9,5.185
97615,228143,5,5,1,1.738
97616,62368,5,5,1,1.845
97617,206343,5,5,1,0.277
97618,254569,5,5,1,0.834
97634,92967,5,5,1,0.655
99719,62251,5,5,1,0.306
99742,62254,5,5,1,0.324
99742,79934,5,5,1,0.315
99742,225919,5,5,1,0.488
99788,248069,5,5,1,0.259
101492,179497,5,5,3,4.234
102655,70866,5,5,1,0.199
102673,179502,5,5,3,2.973
103214,97634,5,5,1,0.141
103214,132615,5,5,5,3.883
103998,151838,5,5,1,0.654
103998,177360,5,5,1,0.155
103999,190907,5,5,1,0.239
107021,241962,5,5,1,0.216
107326,120422,5,5,2,1.593
107326,176163,5,5,2,2.334
107326,228147,5,5,1,0.252
108934,254568,5,5,7,3.55
108935,62367,5,5,1,0.559
108961,175323,5,5,1,0.254
110386,145080,5,5,10,3.961
112107,138578,5,5,4,2.79
112950,52676,5,5,1,1.336
113858,153652,5,5,1,0.249
113859,113861,5,5,1,0.262
113861,151985,5,5,2,2.383
115538,159868,5,5,5,2.625
116753,97617,5,5,3,1.81
118751,238154,5,5,1,0.134
119957,253614,5,5,1,0.9
120417,119957,5,5,1,1.669
120421,150016,5,5,4,1.943
120422,130388,5,5,2,1.521
120426,108934,5,5,2,1.035
120726,159868,5,5,3,1.585
120727,120729,5,5,1,0.17
120728,145077,5,5,7,6.169
120728,159867,5,5,2,1.608
120728,227939,5,5,5,2.608
120729,91150,5,5,1,0.48
120729,120728,5,5,3,2.718
120729,161801,5,5,2,0.422
120732,145073,5,5,2,0.973
120732,171497,5,5,1,0.421
122531,197073,5,5,1,0.228
126660,148758,5,5,1,0.492
128174,91150,5,5,2,0.424
128174,181318,5,5,1,0.192
128645,91612,5,5,8,5.185
130388,116753,5,5,3,1.887
130393,54254,5,5,5,0.479
130393,102655,5,5,1,0.425
130393,177360,5,5,1,0.066
130482,69794,5,5,7,5.881
131710,58526,5,5,1,1.335
131711,58526,5,5,2,1.337
131711,150016,5,5,3,2.605
131711,150018,5,5,2,2.607
131711,196681,5,5,3,1.836
132576,222658,5,5,1,0.211
132615,68882,5,5,2,1.777
133927,135053,5,5,7,3.371
133930,135048,5,5,3,2.304
135048,135051,5,5,3,2.85
135050,239354,5,5,5,2.843
135051,189195,5,5,5,2.938
135053,135055,5,5,3,4.305
135054,133930,5,5,7,3.367
135056,135054,5,5,3,4.258
138337,206337,5,5,1,0.23
138345,245897,5,5,2,1.655
138346,97616,5,5,1,0.257
138573,112107,5,5,3,1.864
138574,148551,5,5,3,1.11
138575,154328,5,5,4,2.36
138576,168348,5,5,3,2.855
138577,138575,5,5,3,1.296
138578,206735,5,5,4,2.361
141487,241967,5,5,1,0.276
141488,81480,5,5,2,0.268
141488,227935,5,5,2,0.487
141488,241958,5,5,1,0.145
141488,241959,5,5,1,0.054
145073,128174,5,5,3,0.315
145076,159868,5,5,6,6.171
145077,145079,5,5,5,2.5
145078,161801,5,5,2,0.367
145079,234235,5,5,9,3.993
145080,145076,5,5,5,2.485
148550,138573,5,5,3,1.121
148551,148553,5,5,5,2.265
148552,148550,5,5,5,2.242
148758,54256,5,5,1,0.146
148758,189192,5,5,7,2.372
148758,222181,5,5,3,3.677
148859,229743,5,5,1,0.845
