node,layer,lat,lon,degree,geometry
9606,5,55.28713,-2.94397,4,"-2.94397, 55.28713"
16546,5,55.35446,-2.47827,14,"-2.47827, 55.35446"
40124,5,55.41339,-2.50767,12,"-2.50767, 55.41339"
52673,5,55.52309,-2.40481,2,"-2.40481, 55.52309"
52675,5,55.54516,-2.377,2,"-2.377, 55.54516"
52676,5,55.53611,-2.36325,2,"-2.36325, 55.53611"
52677,5,55.55,-2.39418,3,"-2.39418, 55.55"
52679,5,55.53083,-2.36012,2,"-2.36012, 55.53083"
54254,5,55.60468,-2.43925,4,"-2.43925, 55.60468"
54256,5,55.60485,-2.44233,2,"-2.44233, 55.60485"
54257,5,55.60478,-2.43911,4,"-2.43911, 55.60478"
55205,5,55.63764,-2.46011,2,"-2.46011, 55.63764"
58525,5,55.52234,-2.35594,2,"-2.35594, 55.52234"
58526,5,55.51307,-2.51669,4,"-2.51669, 55.51307"
58534,5,55.53608,-2.36351,2,"-2.36351, 55.53608"
60630,5,55.60718,-2.43621,2,"-2.43621, 55.60718"
60634,5,55.43237,-2.76102,2,"-2.76102, 55.43237"
60635,5,55.43222,-2.76091,2,"-2.76091, 55.43222"
62251,5,55.42198,-2.78743,8,"-2.78743, 55.42198"
62254,5,55.42273,-2.79308,2,"-2.79308, 55.42273"
62292,5,55.42131,-2.79244,5,"-2.79244, 55.42131"
62294,5,55.41791,-2.78875,2,"-2.78875, 55.41791"
62295,5,55.41716,-2.78912,2,"-2.78912, 55.41716"
62345,5,55.42068,-2.79974,2,"-2.79974, 55.42068"
62367,5,55.55013,-2.39407,3,"-2.39407, 55.55013"
62368,5,55.56737,-2.41686,3,"-2.41686, 55.56737"
63255,5,55.55572,-2.30126,2,"-2.30126, 55.55572"
63266,5,55.55557,-2.30128,2,"-2.30128, 55.55557"
65265,5,55.4331,-2.7863,2,"-2.7863, 55.4331"
65316,5,55.42474,-2.78492,5,"-2.78492, 55.42474"
68395,5,55.63724,-2.52117,2,"-2.52117, 55.63724"
68882,5,55.56982,-2.36669,2,"-2.36669, 55.56982"
69793,5,55.39749,-2.49892,2,"-2.49892, 55.39749"
69794,5,55.24847,-2.77621,2,"-2.77621, 55.24847"
70173,5,55.42748,-2.77738,3,"-2.77738, 55.42748"
70174,5,55.42833,-2.77328,2,"-2.77328, 55.42833"
70175,5,55.43257,-2.79222,2,"-2.79222, 55.43257"
70176,5,55.42732,-2.77728,2,"-2.77728, 55.42732"
70177,5,55.42915,-2.77063,3,"-2.77063, 55.42915"
70178,5,55.43061,-2.76551,2,"-2.76551, 55.43061"
70179,5,55.42816,-2.77475,2,"-2.77475, 55.42816"
70180,5,55.42906,-2.77055,2,"-2.77055, 55.42906"
70181,5,55.43156,-2.78947,2,"-2.78947, 55.43156"
70182,5,55.43164,-2.78969,2,"-2.78969, 55.43164"
70866,5,55.6,-2.43283,6,"-2.43283, 55.6"
71840,5,55.41973,-2.79201,2,"-2.79201, 55.41973"
71841,5,55.41974,-2.79364,2,"-2.79364, 55.41974"
71842,5,55.4185,-2.79325,1,"-2.79325, 55.4185"
71843,5,55.41836,-2.79315,2,"-2.79315, 55.41836"
71845,5,55.42014,-2.79044,5,"-2.79044, 55.42014"
71846,5,55.42065,-2.78702,2,"-2.78702, 55.42065"
71847,5,55.41822,-2.78887,3,"-2.78887, 55.41822"
71848,5,55.42046,-2.78678,3,"-2.78678, 55.42046"
71888,5,55.11714,-2.85514,3,"-2.85514, 55.11714"
74818,5,55.571,-2.456,2,"-2.456, 55.571"
74821,5,55.57125,-2.45616,2,"-2.45616, 55.57125"
74823,5,55.54352,-2.28927,2,"-2.28927, 55.54352"
75576,5,55.4365,-2.74899,2,"-2.74899, 55.4365"
78258,5,55.43845,-2.77775,4,"-2.77775, 55.43845"
78853,5,55.43559,-2.77622,2,"-2.77622, 55.43559"
79789,5,55.56308,-2.34088,4,"-2.34088, 55.56308"
79934,5,55.42385,-2.79073,3,"-2.79073, 55.42385"
80009,5,55.38855,-2.7796,2,"-2.7796, 55.38855"
80010,5,55.40263,-2.78398,2,"-2.78398, 55.40263"
80011,5,55.36923,-2.7623,2,"-2.7623, 55.36923"
80014,5,55.36904,-2.7626,2,"-2.7626, 55.36904"
81332,5,55.43845,-2.77214,2,"-2.77214, 55.43845"
81472,5,55.43667,-2.77079,2,"-2.77079, 55.43667"
81474,5,55.4369,-2.77423,2,"-2.77423, 55.4369"
81476,5,55.43652,-2.77746,2,"-2.77746, 55.43652"
81477,5,55.43792,-2.77576,2,"-2.77576, 55.43792"
81479,5,55.43879,-2.76996,2,"-2.76996, 55.43879"
81480,5,55.43822,-2.76785,3,"-2.76785, 55.43822"
81491,5,55.41715,-2.79442,3,"-2.79442, 55.41715"
81587,5,55.41256,-2.79924,2,"-2.79924, 55.41256"
81588,5,55.41727,-2.79544,2,"-2.79544, 55.41727"
81589,5,55.41735,-2.79835,2,"-2.79835, 55.41735"
81590,5,55.4181,-2.79624,2,"-2.79624, 55.4181"
81591,5,55.41592,-2.79552,2,"-2.79552, 55.41592"
81592,5,55.41492,-2.79743,2,"-2.79743, 55.41492"
81593,5,55.41543,-2.79737,2,"-2.79737, 55.41543"
81594,5,55.41847,-2.79582,3,"-2.79582, 55.41847"
81595,5,55.41943,-2.79646,2,"-2.79646, 55.41943"
81897,5,55.13882,-2.83041,2,"-2.83041, 55.13882"
