ori_node,des_node,ori_layer,des_layer,minutes,km
2879,55842,5,5,7,2.839
2879,69807,5,5,3,0.523
2879,153983,5,5,10,6.36
2879,190495,5,5,2,0.677
2879,206660,5,5,5,2.989
2879,228091,5,5,2,0.801
2879,236654,5,5,3,0.696
6950,6950,5,5,1,0
6950,137421,5,5,1,0.318
6950,205876,5,5,1,0.452
35978,94291,5,5,1,0.396
35978,135759,5,5,1,0.52
35978,179953,5,5,4,3.383
35978,256410,5,5,2,1.358
43880,94285,5,5,1,0.332
43880,94287,5,5,1,0.339
43880,121430,5,5,7,2.261
43880,127426,5,5,9,5.88
43880,138921,5,5,1,0.799
43880,185812,5,5,1,0.143
43880,205879,5,5,5,3.361
43880,209635,5,5,2,0.492
43880,221068,5,5,5,4.132
44423,44423,5,5,1,0
44423,64990,5,5,1,0.569
44423,119705,5,5,2,0.319
44423,122529,5,5,1,0.312
44423,122530,5,5,2,0.3
44423,163862,5,5,2,0.304
44423,163865,5,5,2,0.287
44423,173626,5,5,1,0.382
44423,173627,5,5,4,0.306
44423,183386,5,5,1,0.359
44423,192624,5,5,2,0.426
44423,220090,5,5,1,0.327
51602,124180,5,5,3,2.169
51602,173679,5,5,3,1.295
51989,256460,5,5,1,0.404
51995,79327,5,5,5,1.217
53237,79083,5,5,1,0.061
53354,173613,5,5,1,0.422
53355,90323,5,5,1,0.148
53355,199153,5,5,1,0.437
53355,251703,5,5,2,0.478
53356,57099,5,5,1,0.017
53356,181711,5,5,1,0.383
53359,165001,5,5,1,0.184
53651,79627,5,5,1,0.502
53653,144073,5,5,13,4.648
53655,56109,5,5,4,1.85
53656,103986,5,5,4,1.837
54841,252716,5,5,3,1.498
55052,55053,5,5,1,0.188
55053,159945,5,5,1,0.2
55054,55056,5,5,1,0.157
55055,256050,5,5,1,0.25
55056,55055,5,5,1,0.123
55402,260991,5,5,2,0.432
55403,105415,5,5,1,0.965
55403,130630,5,5,1,0.258
55742,135447,5,5,1,0.616
55742,175501,5,5,1,0.594
55742,203810,5,5,1,1.445
55743,127981,5,5,1,0.315
55746,127981,5,5,8,1.639
55842,51602,5,5,9,3.139
55842,206660,5,5,4,1.199
55862,177981,5,5,3,4.197
55863,96720,5,5,3,4.364
56010,64746,5,5,2,1.075
56109,53653,5,5,3,2.157
56248,136356,5,5,1,0.228
56551,56553,5,5,1,0.24
56552,55403,5,5,1,1.066
56552,86944,5,5,2,1.041
56552,130630,5,5,2,1.312
56553,66187,5,5,1,0.582
56553,138527,5,5,1,0.54
56554,56552,5,5,1,0.204
56726,172914,5,5,3,1.977
56726,208838,5,5,8,2.077
57099,181711,5,5,1,0.4
57099,254358,5,5,1,0.24
57973,57974,5,5,1,0.098
57974,57978,5,5,1,0.148
57975,148719,5,5,2,0.671
57975,257849,5,5,1,1.472
57976,57973,5,5,1,0.406
57978,147452,5,5,1,0.122
58084,131759,5,5,1,0.12
58085,187741,5,5,2,0.536
58085,206777,5,5,1,0.22
58116,103249,5,5,5,4.937
58116,172402,5,5,3,0.806
58116,209065,5,5,7,2.57
58116,238540,5,5,6,5.505
58370,59861,5,5,4,4.641
58370,68019,5,5,3,4.666
58370,104688,5,5,8,4.899
58371,86945,5,5,1,0.181
58374,55862,5,5,3,1.525
58374,119699,5,5,4,1.735
58374,177981,5,5,8,3.925
58375,103934,5,5,2,0.952
58375,241555,5,5,1,0.625
58816,55400,5,5,1,0.607
59248,229500,5,5,3,2.43
59292,93559,5,5,6,2.995
59385,56552,5,5,1,0.734
59385,56554,5,5,1,0.529
59753,239481,5,5,2,0.579
59753,247766,5,5,1,0.023
59754,247766,5,5,2,0.57
59861,103429,5,5,1,0.197
59861,103937,5,5,2,0.123
59861,120936,5,5,4,3.802
59861,126311,5,5,8,4.617
59861,152251,5,5,6,4.615
60064,60066,5,5,2,1.687
60065,191824,5,5,3,1.543
60066,149907,5,5,1,1.157
60068,159714,5,5,1,0.94
60069,149908,5,5,1,2.061
60069,250837,5,5,2,0.671
60372,231326,5,5,1,1.033
60697,121882,5,5,3,2.269
60697,128680,5,5,2,2.015
60697,158005,5,5,4,2.329
61354,81605,5,5,3,0.529
61474,229952,5,5,2,0.933
61493,205964,5,5,1,0.223
61494,61497,5,5,1,0.302
61494,176019,5,5,1,0.166
61496,61493,5,5,1,0.141
61497,222033,5,5,2,0.638
61497,251703,5,5,2,0.173
61499,61496,5,5,1,0.314
61499,185806,5,5,1,0.164
61852,79612,5,5,1,0.684
63039,63042,5,5,1,0.263
63039,197415,5,5,1,0.603
63040,177985,5,5,1,0.168
63041,63040,5,5,1,0.222
63042,63044,5,5,1,0.223
63044,206778,5,5,1,0.194
63797,173679,5,5,2,1.267
63797,206660,5,5,6,3.145
63806,210187,5,5,1,0.323
64746,144037,5,5,1,0.867
64978,190506,5,5,3,1.046
64987,234618,5,5,1,0.115
64987,234620,5,5,1,0.161
64988,64987,5,5,1,0.222
64989,82279,5,5,1,0.363
64989,244465,5,5,1,0.301
64989,251703,5,5,6,0.94
64990,87898,5,5,2,0.303
64990,100506,5,5,2,0.4
64990,255578,5,5,1,0.358
65329,71197,5,5,1,0.306
65332,98736,5,5,3,1.206
65332,254132,5,5,2,1.208
65832,65833,5,5,1,0.158
65833,149650,5,5,2,0.202
65973,75458,5,5,1,0.721
65974,65973,5,5,1,0.272
65976,65978,5,5,1,0.273
65977,65974,5,5,1,0.836
65978,173559,5,5,1,0.829
65978,173561,5,5,1,0.943
66112,72529,5,5,1,0.221
66113,72531,5,5,1,0.182
66113,207073,5,5,1,0.145
66183,66189,5,5,1,0.115
66186,66188,5,5,1,0.112
66187,66186,5,5,1,0.206
66188,222581,5,5,1,0.093
66189,59385,5,5,1,0.302
66581,79083,5,5,5,1.568
66583,221986,5,5,5,2.926
67004,221521,5,5,3,2.432
67286,103248,5,5,6,2.68
67286,140995,5,5,5,4.602
67286,171445,5,5,1,0.391
67286,188088,5,5,5,4.448
67286,238539,5,5,5,6.107
67809,166229,5,5,2,2.497
67810,238069,5,5,5,2.233
67973,152379,5,5,1,0.226
68017,55743,5,5,2,1.539
68017,55746,5,5,1,0.222
68018,139745,5,5,5,2.062
68019,104688,5,5,1,0.334
68313,70334,5,5,1,0.383
68585,138644,5,5,3,0.393
68698,136843,5,5,1,0.388
68845,80689,5,5,2,1.52
68845,156410,5,5,1,1.266
69167,122529,5,5,30,3.525
69167,139248,5,5,1,0.142
69167,187063,5,5,5,1.757
69356,121882,5,5,2,0.905
69356,160328,5,5,2,2.01
69413,126306,5,5,3,3.028
69414,226941,5,5,3,1.066
69659,176322,5,5,3,1.131
69659,214910,5,5,3,2.604
69662,193807,5,5,1,1.465
69663,193805,5,5,1,1.184
69807,228091,5,5,3,0.297
70332,68313,5,5,3,0.462
70334,217045,5,5,1,0.203
70334,254922,5,5,2,0.334
70335,166283,5,5,2,0.37
70335,202519,5,5,1,0.135
70337,99363,5,5,2,0.73
70995,53354,5,5,1,0.411
70995,82280,5,5,4,0.856
70995,256766,5,5,3,0.435
70999,170296,5,5,1,0.099
71000,195784,5,5,1,0.145
71197,65332,5,5,1,0.243
71637,117431,5,5,3,3.012
71638,114733,5,5,3,2.46
71638,199698,5,5,3,2.444
71639,86073,5,5,1,2.498
71639,260712,5,5,4,1.846
72009,199354,5,5,2,1.673
72009,236656,5,5,5,2.942
72528,72532,5,5,1,0.262
72528,195119,5,5,1,0.59
72529,72530,5,5,1,0.246
72530,74439,5,5,1,0.251
72530,187064,5,5,1,0.671
72531,63041,5,5,1,0.288
72532,66113,5,5,1,0.29
72889,127492,5,5,1,0.418
72890,132947,5,5,1,0.812
74087,260230,5,5,1,0.136
74438,72528,5,5,1,0.281
74439,187064,5,5,1,0.421
74440,207350,5,5,1,0.204
74748,74752,5,5,1,0.191
74750,74748,5,5,1,0.147
74751,84568,5,5,1,0.164
74752,155488,5,5,1,0.162
74979,166087,5,5,1,0.41
75454,75457,5,5,1,0.227
75454,75459,5,5,1,0.474
75455,196664,5,5,1,0.244
75457,75459,5,5,1,0.246
75458,75455,5,5,1,0.205
75458,196664,5,5,1,0.449
75459,65976,5,5,1,0.683
76693,146483,5,5,1,0.324
76909,107117,5,5,1,0.189
77034,137422,5,5,1,0.231
77058,137423,5,5,1,0.256
77058,137424,5,5,1,0.269
77267,136468,5,5,1,0.294
77267,225374,5,5,4,2.338
77316,58022,5,5,2,0.743
77316,84251,5,5,1,0.245
77317,87010,5,5,3,2.335
77736,218615,5,5,1,0.385
77736,243223,5,5,1,0.39
77737,194382,5,5,3,1.347
77842,204021,5,5,1,0.249
78034,77676,5,5,3,1.159
78167,106799,5,5,2,0.377
78167,122529,5,5,5,0.592
78167,155706,5,5,1,0.388
78167,173628,5,5,4,0.547
78167,192525,5,5,1,0.401
78167,224347,5,5,1,0.401
78936,151833,5,5,6,2.51
78936,160357,5,5,6,5.488
78936,248794,5,5,6,4.572
79079,194057,5,5,3,1.815
79080,145178,5,5,5,2.231
79081,136852,5,5,3,2.185
79082,79081,5,5,3,0.877
79083,79082,5,5,2,1.908
79083,160332,5,5,6,2.007
79327,58116,5,5,7,2.558
79327,87282,5,5,7,2.56
79612,186981,5,5,1,0.659
79627,75454,5,5,1,0.675
79639,98737,5,5,1,0.659
79979,89337,5,5,2,1.21
79981,119019,5,5,1,0.217
80079,128709,5,5,1,0.554
80079,237356,5,5,1,0.198
80080,194994,5,5,1,0.879
80081,84271,5,5,2,0.747
80082,80081,5,5,1,1.459
80082,194995,5,5,1,0.551
80083,70335,5,5,1,0.294
80412,194060,5,5,3,1.822
80412,253078,5,5,4,1.768
80614,99971,5,5,1,0.95
80689,119702,5,5,1,0.663
80690,109746,5,5,1,0.614
