node,layer,lat,lon,degree,geometry
8858,5,55.2769,-2.27135,12,"-2.27135, 55.2769"
9759,5,55.32345,-2.39779,12,"-2.39779, 55.32345"
13384,5,55.23192,-2.18095,24,"-2.18095, 55.23192"
17665,5,54.97418,-2.09527,16,"-2.09527, 54.97418"
22517,5,55.16506,-2.01887,18,"-2.01887, 55.16506"
24932,5,54.96785,-2.46356,33,"-2.46356, 54.96785"
26763,5,54.8107,-2.40852,4,"-2.40852, 54.8107"
27636,5,54.94905,-1.97077,22,"-1.97077, 54.94905"
27906,5,54.80616,-2.37829,5,"-2.37829, 54.80616"
27907,5,54.7881,-2.34287,5,"-2.34287, 54.7881"
29028,5,55.31901,-2.37309,16,"-2.37309, 55.31901"
30323,5,55.30751,-2.34777,12,"-2.34777, 55.30751"
41835,5,55.27556,-2.26635,16,"-2.26635, 55.27556"
47684,5,54.97449,-2.3465,16,"-2.3465, 54.97449"
48352,5,54.96631,-2.01856,12,"-2.01856, 54.96631"
48515,5,54.97486,-2.2479,16,"-2.2479, 54.97486"
50907,5,54.81119,-2.4377,4,"-2.4377, 54.81119"
50908,5,54.81092,-2.44186,7,"-2.44186, 54.81092"
51926,5,55.1755,-2.14678,2,"-2.14678, 55.1755"
52038,5,55.17323,-2.47395,4,"-2.47395, 55.17323"
52105,5,54.97588,-2.35474,2,"-2.35474, 54.97588"
52634,5,54.96983,-2.08581,8,"-2.08581, 54.96983"
52805,5,55.16236,-2.33293,2,"-2.33293, 55.16236"
52806,5,55.16248,-2.33293,2,"-2.33293, 55.16248"
53415,5,54.99054,-2.38516,9,"-2.38516, 54.99054"
53416,5,54.99056,-2.38533,9,"-2.38533, 54.99056"
54320,5,54.99753,-2.38021,11,"-2.38021, 54.99753"
54505,5,54.9696,-2.09408,7,"-2.09408, 54.9696"
54506,5,54.96696,-2.09444,2,"-2.09444, 54.96696"
55430,5,55.21892,-2.19936,2,"-2.19936, 55.21892"
55639,5,54.95577,-2.10979,2,"-2.10979, 54.95577"
56463,5,54.96016,-2.16559,2,"-2.16559, 54.96016"
57224,5,55.04104,-2.10962,3,"-2.10962, 55.04104"
57649,5,54.93283,-2.49028,2,"-2.49028, 54.93283"
57655,5,54.92952,-2.48862,2,"-2.48862, 54.92952"
57697,5,54.91761,-2.11911,2,"-2.11911, 54.91761"
57698,5,54.91769,-2.11908,2,"-2.11908, 54.91769"
