ori_node,des_node,ori_layer,des_layer,minutes,km
922,122694,5,5,2,0.944
2514,111322,5,5,1,0.203
4635,55342,5,5,1,0.184
4635,64928,5,5,1,0.238
4635,216133,5,5,1,0.102
4685,4687,5,5,1,0.312
4685,4691,5,5,1,0.223
4687,4685,5,5,1,0.312
4687,45077,5,5,1,0.202
4689,4691,5,5,1,0.249
4689,38510,5,5,1,0.713
4691,4685,5,5,1,0.223
4691,4689,5,5,1,0.249
5099,5099,5,5,1,0
5099,104868,5,5,4,1.753
5099,113500,5,5,1,0.592
5099,152433,5,5,6,0.567
5099,202939,5,5,1,0.389
5099,202941,5,5,1,1.071
5099,212588,5,5,1,0.607
5739,167849,5,5,1,0.632
5739,167850,5,5,2,0.459
7124,69723,5,5,1,0.45
7124,89158,5,5,1,0.344
7124,226041,5,5,2,2.115
8438,100120,5,5,3,1.466
8438,252226,5,5,7,1.206
9217,9217,5,5,1,0
9217,70492,5,5,2,1.81
9217,149353,5,5,1,0.545
9217,208307,5,5,2,0.79
10138,10138,5,5,1,0
10138,62152,5,5,1,0.27
10138,150695,5,5,1,0.274
11430,11430,5,5,1,0
11430,22427,5,5,5,1.064
11430,156130,5,5,1,0.736
11430,158105,5,5,5,2.055
11430,158110,5,5,2,0.183
11430,195274,5,5,1,0.549
11430,199820,5,5,2,0.443
11430,206448,5,5,3,0.945
11430,216457,5,5,1,0.573
11430,256383,5,5,2,1.12
12572,12572,5,5,1,0
12572,205089,5,5,3,2.218
12572,214768,5,5,1,0.598
12572,224751,5,5,1,0.383
12572,234341,5,5,1,0.257
12572,244166,5,5,1,0.539
13156,13156,5,5,1,0
13156,179941,5,5,1,0.501
13156,222212,5,5,1,0.42
13156,231858,5,5,1,1.05
14751,50313,5,5,7,1.589
14751,118410,5,5,1,0.235
14751,123058,5,5,1,0.33
14751,128045,5,5,5,0.631
14751,145031,5,5,1,0.639
14751,146172,5,5,3,1.182
14751,177375,5,5,5,0.597
14751,189615,5,5,3,1.484
16920,16920,5,5,1,0
16920,85429,5,5,1,0.436
16920,199981,5,5,1,0.598
16920,229831,5,5,1,0.472
19015,19015,5,5,1,0
19015,70509,5,5,2,1.421
19015,102882,5,5,6,1.754
19015,110856,5,5,4,1.67
19015,116449,5,5,1,0.472
19015,138816,5,5,10,1.161
19015,155848,5,5,1,0.528
19015,194891,5,5,1,0.394
19015,194892,5,5,1,0.435
19015,208197,5,5,1,0.46
19015,233151,5,5,9,2.078
22427,11430,5,5,6,1.064
22427,22428,5,5,1,0.325
22427,107037,5,5,2,0.676
22428,22427,5,5,1,0.325
22428,45309,5,5,4,1.982
23825,38510,5,5,2,0.826
23825,158106,5,5,2,0.744
26813,77454,5,5,1,0.463
26813,116363,5,5,1,0.412
26813,253484,5,5,1,0.213
26813,253894,5,5,1,0.321
28519,28519,5,5,1,0
28519,102548,5,5,1,0.296
28519,105248,5,5,7,2.501
28519,211061,5,5,1,0.372
28519,241621,5,5,1,0.923
28519,242728,5,5,1,0.393
28519,251567,5,5,1,0.682
30117,30117,5,5,1,0
30117,97440,5,5,1,0.925
30117,97447,5,5,1,0.481
30117,116979,5,5,1,0.564
30117,116980,5,5,1,0.523
31922,31922,5,5,1,0
31922,79198,5,5,1,0.525
31922,165626,5,5,3,2.055
31922,192766,5,5,1,0.785
32927,32927,5,5,1,0
32927,58201,5,5,1,0.285
32927,58203,5,5,1,0.466
32927,58204,5,5,1,0.444
32927,95245,5,5,1,0.416
32927,239601,5,5,1,0.623
32927,259382,5,5,4,1.087
33667,169335,5,5,2,1.623
33667,241624,5,5,1,0.434
34868,34868,5,5,1,0
34868,88912,5,5,1,0.608
34868,88918,5,5,1,0.687
34868,98512,5,5,1,0.737
34868,225812,5,5,1,0.465
37324,37324,5,5,1,0
37324,107129,5,5,1,0.5
37324,121742,5,5,1,0.414
37324,157522,5,5,3,1.367
37324,178153,5,5,1,0.35
38102,99640,5,5,1,0.668
38102,137663,5,5,1,0.791
38102,198589,5,5,3,1.011
38510,4689,5,5,1,0.713
38510,23825,5,5,2,0.826
38510,38510,5,5,1,0
38510,57037,5,5,1,0.279
38510,76406,5,5,1,0.473
39569,41430,5,5,3,0.93
39569,45309,5,5,2,0.502
41430,39569,5,5,4,0.93
42467,42467,5,5,1,0
42467,58564,5,5,1,0.478
42467,105250,5,5,1,0.49
42467,147033,5,5,1,0.344
42467,167087,5,5,1,0.559
42467,249863,5,5,1,0.618
45077,4687,5,5,1,0.202
45309,22428,5,5,3,1.982
45309,39569,5,5,2,0.502
45405,89159,5,5,1,0.277
45405,98792,5,5,1,0.45
49616,103133,5,5,1,0.404
49616,113498,5,5,1,0.385
49616,142492,5,5,4,0.932
49616,152433,5,5,20,6.479
49616,162282,5,5,1,0.403
49616,186546,5,5,1,0.562
49616,220147,5,5,8,0.848
49616,249503,5,5,1,0.32
50313,14751,5,5,9,1.589
50313,74373,5,5,1,0.171
50313,95625,5,5,1,0.215
50313,108543,5,5,10,1.995
50313,118406,5,5,2,1.604
50313,118409,5,5,5,0.501
50313,128045,5,5,5,1.453
50313,128050,5,5,2,0.457
50313,226926,5,5,1,0.253
52143,52151,5,5,1,0.263
52143,52152,5,5,1,0.26
52144,253091,5,5,1,0.106
52145,52144,5,5,1,0.173
52145,52151,5,5,1,0.26
52146,52148,5,5,1,0.507
52147,52145,5,5,1,0.465
52148,61891,5,5,1,0.67
52149,61895,5,5,1,0.393
52149,61898,5,5,1,0.383
52149,236633,5,5,6,3.522
52149,253088,5,5,1,0.156
52150,52144,5,5,1,0.171
52151,52149,5,5,1,0.348
52152,52146,5,5,1,0.493
52447,62149,5,5,1,0.462
52698,104875,5,5,1,0.357
53100,98794,5,5,1,0.326
53101,195273,5,5,1,0.729
53102,53104,5,5,1,0.169
53103,230172,5,5,2,0.432
53104,53106,5,5,1,0.306
53105,53103,5,5,1,0.187
53106,195502,5,5,2,0.586
53106,195504,5,5,1,0.52
53107,53105,5,5,1,0.291
53108,185791,5,5,2,1.337
53626,53628,5,5,1,0.268
53627,111664,5,5,1,0.043
53628,53626,5,5,1,0.268
53628,53630,5,5,1,0.399
53629,189620,5,5,1,0.153
53630,53632,5,5,1,0.43
53630,206449,5,5,1,0.145
53631,72828,5,5,1,0.243
53632,111662,5,5,1,0.453
53633,187103,5,5,1,0.155
53634,53626,5,5,1,0.534
53634,53628,5,5,1,0.794
53634,53632,5,5,2,1.624
54485,188610,5,5,3,0.416
54485,249868,5,5,1,0.185
54888,54894,5,5,1,0.186
54894,147707,5,5,1,0.255
55333,55335,5,5,1,0.27
55334,141252,5,5,1,0.201
55335,151134,5,5,1,0.123
55336,55334,5,5,1,0.238
55337,179940,5,5,1,0.222
55338,55341,5,5,2,0.478
55339,55333,5,5,1,0.184
55340,55338,5,5,2,0.283
55341,151132,5,5,1,0.217
55342,55340,5,5,1,0.229
55342,151132,5,5,3,0.583
55342,256380,5,5,1,0.25
55503,162281,5,5,2,0.207
56169,79717,5,5,3,2.084
56175,217932,5,5,4,3.076
57037,38510,5,5,1,0.279
57785,87208,5,5,1,0.199
57793,87207,5,5,1,0.353
58201,259384,5,5,1,0.257
58202,32927,5,5,1,0.3
58203,58205,5,5,1,0.401
58203,95247,5,5,2,0.572
58203,129290,5,5,2,0.541
58203,147646,5,5,1,0.081
58204,32927,5,5,1,0.444
58205,124434,5,5,1,0.458
58205,246233,5,5,1,0.367
58353,142492,5,5,1,0.559
58353,220147,5,5,2,0.625
58563,259751,5,5,1,0.332
58564,171684,5,5,1,0.324
58564,259750,5,5,1,0.267
58565,58568,5,5,1,0.264
58566,58565,5,5,1,0.249
58567,58563,5,5,1,0.316
58568,58567,5,5,1,0.332
58568,254693,5,5,2,0.321
59256,234584,5,5,1,0.238
59876,59877,5,5,1,0.258
59877,59879,5,5,1,0.256
59877,98157,5,5,1,1.613
59878,161035,5,5,1,0.648
59879,59878,5,5,1,0.287
60470,79767,5,5,1,0.346
60471,60473,5,5,1,0.435
60472,60470,5,5,1,0.423
60473,60475,5,5,1,0.316
60474,60472,5,5,1,0.456
60475,60477,5,5,1,0.524
60478,258098,5,5,1,0.472
60479,60471,5,5,1,0.306
60975,262171,5,5,1,0.199
60976,60979,5,5,1,0.448
60977,60975,5,5,1,0.244
60978,60977,5,5,1,0.4
60979,60981,5,5,1,0.511
60979,110856,5,5,1,0.426
60980,60978,5,5,1,0.208
60981,242257,5,5,1,0.157
60981,247848,5,5,1,0.228
60982,60980,5,5,1,0.327
61133,181886,5,5,1,0.285
61891,217031,5,5,1,0.912
61892,52147,5,5,1,0.519
61894,61896,5,5,1,0.217
61895,71400,5,5,1,0.551
61896,253088,5,5,1,0.069
61896,253090,5,5,1,0.509
61897,253088,5,5,1,0.457
61897,253090,5,5,1,0.225
61898,61900,5,5,3,2.335
61898,175751,5,5,5,5.878
61899,61897,5,5,3,2.358
61900,236637,5,5,1,0.707
