node,layer,lat,lon,degree,geometry
5099,2,51.70352,-0.70914,24,"-0.70914, 51.70352"
5739,2,51.73577,-0.82933,13,"-0.82933, 51.73577"
8438,2,51.83117,-0.86018,11,"-0.86018, 51.83117"
9217,2,51.77086,-0.94214,21,"-0.94214, 51.77086"
10138,2,51.58902,-0.55527,32,"-0.55527, 51.58902"
11430,2,51.57282,-0.77234,25,"-0.77234, 51.57282"
12572,2,51.57712,-0.71047,20,"-0.71047, 51.57712"
13156,2,51.75224,-0.80845,16,"-0.80845, 51.75224"
16920,2,51.66811,-0.56052,30,"-0.56052, 51.66811"
19015,2,51.8139,-0.81509,33,"-0.81509, 51.8139"
28519,2,51.71757,-0.84036,32,"-0.84036, 51.71757"
31922,2,51.76176,-0.74737,16,"-0.74737, 51.76176"
32927,2,51.67421,-0.60759,34,"-0.60759, 51.67421"
33667,2,51.6759,-0.82547,12,"-0.82547, 51.6759"
34868,2,51.7878,-0.78408,17,"-0.78408, 51.7878"
37324,2,51.61129,-0.64382,23,"-0.64382, 51.61129"
38102,2,51.60967,-0.60743,18,"-0.60743, 51.60967"
38510,2,51.55746,-0.72208,17,"-0.72208, 51.55746"
42467,2,51.62959,-0.74541,32,"-0.74541, 51.62959"
