ori_node,des_node,ori_layer,des_layer,minutes,km
816,1986,2,2,4,3.917
816,23407,2,2,5,4.535
816,30453,2,2,3,2.473
1899,19924,2,2,5,3.28
1899,22658,2,2,2,1.345
1986,816,2,2,4,3.917
1986,9433,2,2,4,3.094
2667,9433,2,2,4,1.86
2667,23672,2,2,2,1.596
9433,1986,2,2,3,3.094
9433,2667,2,2,3,1.86
9433,18401,2,2,7,6.941
9433,23407,2,2,8,11.084
18401,9433,2,2,6,6.941
18401,50912,2,2,5,3.967
18609,23672,2,2,2,1.641
18609,48070,2,2,2,1.453
19924,1899,2,2,4,3.28
22658,1899,2,2,2,1.345
22658,48070,2,2,3,3.076
23407,816,2,2,5,4.535
23407,9433,2,2,8,11.084
23407,30453,2,2,3,2.363
23407,46654,2,2,3,2.086
23672,2667,2,2,2,1.596
23672,18609,2,2,3,1.641
30453,816,2,2,3,2.473
30453,23407,2,2,3,2.363
46654,23407,2,2,3,2.086
48070,18609,2,2,2,1.453
48070,22658,2,2,4,3.076
50912,9433,2,2,11,10.853
50912,18401,2,2,4,3.967
