node,layer,lat,lon,degree,geometry
816,2,53.67142,-1.69254,45,"-1.69254, 53.67142"
1899,2,53.58875,-1.70493,17,"-1.70493, 53.58875"
1986,2,53.6685,-1.7519,24,"-1.7519, 53.6685"
2667,2,53.63475,-1.80079,35,"-1.80079, 53.63475"
9433,2,53.64852,-1.78469,89,"-1.78469, 53.64852"
18401,2,53.62384,-1.88158,42,"-1.88158, 53.62384"
18609,2,53.60824,-1.78097,19,"-1.78097, 53.60824"
19924,2,53.57264,-1.66321,20,"-1.66321, 53.57264"
22658,2,53.5941,-1.72325,12,"-1.72325, 53.5941"
23407,2,53.69215,-1.6331,64,"-1.6331, 53.69215"
23672,2,53.62105,-1.79343,23,"-1.79343, 53.62105"
30453,2,53.67554,-1.65558,13,"-1.65558, 53.67554"
46654,2,53.70996,-1.62295,23,"-1.62295, 53.70996"
48070,2,53.59699,-1.76969,16,"-1.76969, 53.59699"
50912,2,53.6032,-1.93076,34,"-1.93076, 53.6032"
