ori_node,des_node,ori_layer,des_layer,minutes,km
7551,129986,5,5,1,0.306
7551,158840,5,5,2,0.424
11956,11956,5,5,1,0
11956,54858,5,5,2,0.498
11956,54860,5,5,2,0.494
11956,54864,5,5,1,0.378
11956,147745,5,5,1,0.269
11956,156339,5,5,1,0.398
11956,247807,5,5,3,0.495
13144,174284,5,5,4,1.34
13144,252317,5,5,2,0.44
13754,77151,5,5,1,0.221
13754,108277,5,5,3,1.206
13754,108282,5,5,3,1.892
13754,158324,5,5,2,2.4
13754,158326,5,5,1,1.583
13754,198250,5,5,1,0.233
21108,21108,5,5,1,0
21108,71335,5,5,5,3.988
21108,96403,5,5,1,0.49
21108,96917,5,5,1,0.412
21108,96921,5,5,3,0.42
21108,97405,5,5,2,1.151
21108,106582,5,5,1,0.392
21108,135592,5,5,1,0.448
21108,160182,5,5,9,2.767
21108,182947,5,5,4,0.569
21686,196780,5,5,1,0.516
21686,216023,5,5,1,0.251
27803,27803,5,5,1,0
27803,117176,5,5,1,0.685
27803,174286,5,5,2,0.567
42150,42150,5,5,1,0
42150,77464,5,5,1,0.383
42150,77465,5,5,2,0.364
42150,77466,5,5,2,0.345
42150,77467,5,5,1,0.413
42150,95161,5,5,1,1.307
42150,155883,5,5,5,1.083
42150,165722,5,5,1,0.361
42150,165723,5,5,5,1.126
42150,182943,5,5,2,0.776
45116,45116,5,5,1,0
45116,56719,5,5,4,0.612
45116,93692,5,5,5,2.858
45116,109855,5,5,1,0.693
45116,112149,5,5,1,0.295
45116,118161,5,5,1,0.51
45116,118162,5,5,2,0.747
45116,130785,5,5,2,0.616
45116,130793,5,5,2,0.823
45116,139362,5,5,11,4.337
45116,144679,5,5,1,0.355
45116,144680,5,5,1,0.345
45116,144681,5,5,1,0.297
45116,144682,5,5,1,0.309
45116,150930,5,5,1,0.345
45116,154591,5,5,1,0.268
45116,161045,5,5,2,0.317
45116,170822,5,5,2,0.404
45116,170823,5,5,1,0.384
45116,177385,5,5,26,4.976
45116,198155,5,5,1,0.364
45116,199529,5,5,1,0.61
45116,219522,5,5,1,0.345
45116,227963,5,5,1,0.374
45116,227985,5,5,1,0.315
49143,49143,5,5,1,0
49143,89095,5,5,1,0.284
49143,89098,5,5,3,0.551
49143,206097,5,5,1,0.272
51923,51924,5,5,1,0.104
51924,164530,5,5,1,0.33
52086,53475,5,5,17,4.461
52087,187688,5,5,3,0.41
52088,201204,5,5,4,1.663
52089,73529,5,5,5,2.86
52570,227146,5,5,1,0.359
52582,52583,5,5,1,0.16
52583,254483,5,5,1,0.318
52584,132722,5,5,1,0.112
52584,230542,5,5,2,0.753
53475,234323,5,5,3,2.513
53476,63880,5,5,2,1.135
53476,166198,5,5,4,2.679
53671,62283,5,5,1,0.229
